# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
5.602253996834716254e-01 3.631159999999999943e-02 3.283699999999999813e-02 6.914860000000000451e-02 4.549430774329167006e-07 3.083817694570592139e-07 7.288991684630718559e+00 4.940820653756751391e+00 1.548848721387311713e-07
5.729577951308232331e-01 4.034610000000000279e-02 3.516570000000000112e-02 7.551180000000000392e-02 4.968078988511541974e-07 3.066997111443081270e-07 7.959740071259546745e+00 4.913871108499598961e+00 1.588006024604107465e-07
5.856901905781748408e-01 4.390899999999999664e-02 3.598189999999999722e-02 7.989089999999998692e-02 5.256189120948998657e-07 3.037530382744536692e-07 8.421343393469484795e+00 4.866660204298373316e+00 1.626868653641720942e-07
5.984225860255264484e-01 4.660070000000000184e-02 3.498529999999999696e-02 8.158599999999999186e-02 5.367713289270055180e-07 2.996494458236322972e-07 8.600024810079764492e+00 4.800913404896725467e+00 1.665282448848976550e-07
6.111549814728780561e-01 4.827549999999999897e-02 3.234259999999999913e-02 8.061809999999999810e-02 5.304033127322117898e-07 2.947046857750559120e-07 8.497997942557443452e+00 4.721689614791067413e+00 1.703120208045385382e-07
6.238873769202297748e-01 4.899549999999999739e-02 2.861999999999999961e-02 7.761550000000000393e-02 5.106485803977888741e-07 2.893445747152185182e-07 8.181492236986077415e+00 4.635811167833902680e+00 1.740301938771863037e-07
6.366197723675813824e-01 4.893539999999999696e-02 2.459860000000000171e-02 7.353400000000000214e-02 4.837955396920848348e-07 2.840008634916195728e-07 7.751259093280778778e+00 4.550195475220965236e+00 1.776802243007785727e-07
6.493521678149329901e-01 4.827619999999999828e-02 2.102940000000000018e-02 6.930559999999999499e-02 4.559760132140744223e-07 2.790284765113195467e-07 7.305541140360652719e+00 4.470529052870539921e+00 1.812645804034679853e-07
6.620845632622845978e-01 4.713200000000000028e-02 1.840690000000000034e-02 6.553889999999999716e-02 4.311941074377237117e-07 2.746605392626794708e-07 6.908491236552065651e+00 4.400546982885046532e+00 1.847894741553127024e-07
6.748169587096363164e-01 4.553050000000000153e-02 1.683170000000000152e-02 6.236220000000000652e-02 4.102939348517112492e-07 2.710031709920620768e-07 6.573633554913300259e+00 4.341949483033884505e+00 1.882632772254289734e-07
6.875493541569879241e-01 4.344669999999999782e-02 1.600400000000000086e-02 5.945069999999999522e-02 3.911385684387116498e-07 2.680595134384649241e-07 6.266730750087136315e+00 4.294786889525174622e+00 1.916950568599691669e-07
7.002817496043395318e-01 4.086839999999999917e-02 1.534620000000000081e-02 5.621460000000000345e-02 3.698475908501464675e-07 2.657662199409606154e-07 5.925611682012968728e+00 4.258044276959119578e+00 1.950934970286488396e-07
7.130141450516912505e-01 3.785789999999999988e-02 1.420970000000000046e-02 5.206759999999999861e-02 3.425636119682268329e-07 2.640260812995970761e-07 5.488474147541357873e+00 4.230164182247987625e+00 1.984662595708274791e-07
7.257465404990427471e-01 3.458039999999999725e-02 1.209569999999999916e-02 4.667609999999999815e-02 3.070918077382124764e-07 2.627269544371016505e-07 4.920153188509844178e+00 4.209349875211068515e+00 2.018196735478737431e-07
7.384789359463943548e-01 3.128269999999999662e-02 8.817250000000000434e-03 4.009994999999999532e-02 2.638259438066148126e-07 2.617458869141429740e-07 4.226957626099552279e+00 4.193631440594462134e+00 2.051585713566138111e-07
7.512113313937459624e-01 2.822859999999999953e-02 4.554009999999999829e-03 3.278260999999999675e-02 2.156836361066327832e-07 2.609445698620672096e-07 3.455632821062057936e+00 4.180792926021847045e+00 2.084861221527295934e-07
7.639437268410975701e-01 2.561499999999999888e-02 -2.102969999999999959e-04 2.540470299999999723e-02 1.671428454674317141e-07 2.601658380291483854e-07 2.677923615481919040e+00 4.168316266553301119e+00 2.118036140452304324e-07
7.766761222884492888e-01 2.350340000000000068e-02 -4.838610000000000133e-03 1.866479000000000055e-02 1.227995505655809156e-07 2.592389581671520154e-07 1.967465705818752353e+00 4.153466013979143945e+00 2.151102476764416444e-07
7.894085177358008965e-01 2.179419999999999968e-02 -8.721420000000000561e-03 1.307277999999999912e-02 8.600854917964331805e-08 2.579969516247742133e-07 1.378008878198643927e+00 4.133566875364415694e+00 2.184030737479623860e-07
8.021409131831525041e-01 2.026050000000000073e-02 -1.142579999999999985e-02 8.834700000000000886e-03 5.812533596047626536e-08 2.563027117679377247e-07 9.312705511927501512e-01 4.106422160254266096e+00 2.216772070943402965e-07
8.148733086305042228e-01 1.863290000000000085e-02 -1.276700000000000057e-02 5.865900000000000281e-03 3.859298088339816325e-08 2.540764928407961274e-07 6.183277220778921057e-01 4.070754200781918186e+00 2.249263820249319065e-07
8.276057040778558305e-01 1.670750000000000013e-02 -1.279049999999999979e-02 3.917000000000000343e-03 2.577076085856741432e-08 2.513160977582708094e-07 4.128931088799848714e-01 4.026527795763612971e+00 2.281438111847662984e-07
8.403380995252074381e-01 1.443969999999999976e-02 -1.168429999999999989e-02 2.755399999999999863e-03 1.812835191975916433e-08 2.481029141131303431e-07 2.904482185876717804e-01 3.975046918193662737e+00 2.313232113613024436e-07
8.530704949725590458e-01 1.198770000000000044e-02 -9.669219999999999204e-03 2.318480000000001234e-03 1.525376401209379714e-08 2.445915255126346843e-07 2.443922428072677622e-01 3.918788270507581384e+00 2.344598015813157099e-07
8.658028904199107645e-01 9.683960000000000137e-03 -6.914629999999999735e-03 2.769330000000000402e-03 1.822000029830393113e-08 2.409846086537023004e-07 2.919165874941558880e-01 3.860999091385960202e+00 2.375510752613167729e-07
8.785352858672622611e-01 7.938640000000000280e-03 -3.516039999999999791e-03 4.422600000000000489e-03 2.909720882642334778e-08 2.374980542497931769e-07 4.661886809631404782e-01 3.805138331394830153e+00 2.405971905007112925e-07
8.912676813146138688e-01 7.100770000000000172e-03 4.596369999999999905e-04 7.560406999999999891e-03 4.974149624468702096e-08 2.343225666911132007e-07 7.969466302343629627e-01 3.754261411714082453e+00 2.436008938637285963e-07
9.040000767619654765e-01 7.321860000000000347e-03 4.885129999999999681e-03 1.220699000000000090e-02 8.031233599512990400e-08 2.315873486653511956e-07 1.286745481533542623e+00 3.710438387616367795e+00 2.465669685063088918e-07
9.167324722093170841e-01 8.468279999999999905e-03 9.484249999999999625e-03 1.795253000000000126e-02 1.181134433076990771e-07 2.293313101693231999e-07 1.892385990288791398e+00 3.674292665978962091e+00 2.495012678229819175e-07
9.294648676566688028e-01 1.011699999999999926e-02 1.379119999999999999e-02 2.390819999999999751e-02 1.572970397648203709e-07 2.274860088985559817e-07 2.520176417085640441e+00 3.644727680191824692e+00 2.524094571997675431e-07
9.421972631040204105e-01 1.164379999999999929e-02 1.718920000000000170e-02 2.883300000000000099e-02 1.896983272491892356e-07 2.258747977300908448e-07 3.039302274275364812e+00 3.618913231326277735e+00 2.552956417349306578e-07
9.549296585513720181e-01 1.238380000000000036e-02 1.903029999999999999e-02 3.141410000000000036e-02 2.066799230755993387e-07 2.242316820322049639e-07 3.311377434686426646e+00 3.592587615545164148e+00 2.581611085818050933e-07
9.676620539987237368e-01 1.181749999999999988e-02 1.880860000000000171e-02 3.062610000000000332e-02 2.014955065434188325e-07 2.222410043398973009e-07 3.228313924398597656e+00 3.560693442700760603e+00 2.610034419814706380e-07
9.803944494460753445e-01 9.727529999999999857e-03 1.633319999999999911e-02 2.606072999999999723e-02 1.714589840770215746e-07 2.195945274237110067e-07 2.747075779775820070e+00 3.518292207925419746e+00 2.638162543380232210e-07
9.931268448934269522e-01 6.274280000000000135e-03 1.184329999999999931e-02 1.811758000000000118e-02 1.191993417196741986e-07 2.160568159648072977e-07 1.909784000914433788e+00 3.461611821552524226e+00 2.665896969286194942e-07
1.005859240340778671e+00 1.965199999999999846e-03 6.021229999999999812e-03 7.986429999999999224e-03 5.254439051408948411e-08 2.115244605539296463e-07 8.418539472944541746e-01 3.388995482189607777e+00 2.693117638778795151e-07
