#Distance(A)    Macroscopic-Average    Planar-Average
 19.2410            -5.63340            -3.27092
 19.2931            -5.61933            -1.94559
 19.3453            -5.60533            -0.73040
 19.3974            -5.59160             0.34151
 19.4495            -5.57837             1.24232
 19.5017            -5.56591             1.95386
 19.5538            -5.55445             2.48410
 19.6060            -5.54423             2.86389
 19.6581            -5.53546             3.13489
 19.7103            -5.52829             3.33639
 19.7624            -5.52283             3.44753
 19.8145            -5.51913             3.45041
 19.8667            -5.51719             3.34805
 19.9188            -5.51695             3.07824
 19.9710            -5.51830             2.58567
 20.0231            -5.52107             1.86025
 20.0753            -5.52506             0.94007
 20.1274            -5.52999            -0.10253
 20.1795            -5.53555            -1.17025
 20.2317            -5.54138            -2.18596
 20.2838            -5.54703            -3.10897
 20.3360            -5.55206            -3.94224
 20.3881            -5.55594            -4.73510
 20.4403            -5.55813            -5.54979
 20.4924            -5.55809            -6.44238
 20.5446            -5.55528            -7.45159
 20.5967            -5.54917            -8.58606
 20.6488            -5.53927            -9.82222
 20.7010            -5.52513           -11.10321
 20.7531            -5.50633           -12.34957
 20.8053            -5.48250           -13.47221
 20.8574            -5.45333           -14.39117
 20.9096            -5.41854           -15.04919
 20.9617            -5.37791           -15.42344
 21.0138            -5.33128           -15.52599
 21.0660            -5.27852           -15.39938
 21.1181            -5.21956           -15.10268
 21.1703            -5.15439           -14.69492
 21.2224            -5.08304           -14.21352
 21.2746            -5.00559           -13.65792
 21.3267            -4.92213           -12.98569
 21.3788            -4.83277           -12.13922
 21.4310            -4.73762           -11.11028
 21.4831            -4.63678            -9.93980
 21.5353            -4.53034            -8.65345
 21.5874            -4.41840            -7.28154
 21.6396            -4.30109            -5.85876
 21.6917            -4.17856            -4.42428
 21.7439            -4.05102            -3.01813
 21.7960            -3.91873            -1.68022
 21.8481            -3.78201            -0.44795
 21.9003            -3.64125             0.64472
 21.9524            -3.49688             1.57033
 22.0046            -3.34940             2.31642
 22.0567            -3.19933             2.88787
 22.1089            -3.04726             3.33690
 22.1610            -2.89378             3.66552
 22.2131            -2.73953             3.80533
 22.2653            -2.58516             3.72464
