# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
7.79859221e+00 1.71035332e-01 1.90144530e-01 9.50722652e-02
7.83042320e+00 1.71470060e-01 1.86223041e-01 9.31115204e-02
7.86225419e+00 1.71971576e-01 1.81870841e-01 9.09354206e-02
7.89408518e+00 1.72535837e-01 1.77098837e-01 8.85494185e-02
7.92591617e+00 1.73159431e-01 1.71919191e-01 8.59595956e-02
7.95774715e+00 1.73837751e-01 1.66345653e-01 8.31728266e-02
7.98957814e+00 1.74566603e-01 1.60392976e-01 8.01964878e-02
8.02140913e+00 1.75342503e-01 1.54078745e-01 7.70393723e-02
8.05324012e+00 1.76160650e-01 1.47420200e-01 7.37101001e-02
8.08507111e+00 1.77017667e-01 1.40437737e-01 7.02188686e-02
8.11690210e+00 1.77909265e-01 1.33151531e-01 6.65757654e-02
8.14873309e+00 1.78830825e-01 1.25582657e-01 6.27913287e-02
8.18056407e+00 1.79779327e-01 1.17755125e-01 5.88775625e-02
8.21239506e+00 1.80750222e-01 1.09692147e-01 5.48460737e-02
8.24422605e+00 1.81740119e-01 1.01418818e-01 5.07094091e-02
8.27605704e+00 1.82744541e-01 9.29606004e-02 4.64803002e-02
8.30788803e+00 1.83759896e-01 8.43441205e-02 4.21720602e-02
8.33971902e+00 1.84782074e-01 7.55970713e-02 3.77985357e-02
8.37155001e+00 1.85807601e-01 6.67490220e-02 3.33745110e-02
8.40338100e+00 1.86832244e-01 5.78313046e-02 2.89156523e-02
8.43521198e+00 1.87852463e-01 4.88793727e-02 2.44396864e-02
8.46704297e+00 1.88864658e-01 3.99375236e-02 1.99687618e-02
8.49887396e+00 1.89864658e-01 3.10695701e-02 1.55347850e-02
8.53070495e+00 1.90849177e-01 2.23979273e-02 1.11989637e-02
8.56253594e+00 1.91814171e-01 1.42721929e-02 7.13609645e-03
8.59436693e+00 1.92756481e-01 8.31873627e-03 4.15936813e-03
8.62619792e+00 1.93671923e-01 9.70522307e-03 4.85261153e-03
8.65802890e+00 1.94557706e-01 1.65220460e-02 8.26102298e-03
8.68985989e+00 1.95409620e-01 2.44592871e-02 1.22296435e-02
8.72169088e+00 1.96224880e-01 3.25773993e-02 1.62886997e-02
8.75352187e+00 1.96999845e-01 4.06446027e-02 2.03223014e-02
8.78535286e+00 1.97731147e-01 4.85701558e-02 2.42850779e-02
8.81718385e+00 1.98415881e-01 5.63049551e-02 2.81524776e-02
8.84901484e+00 1.99050198e-01 6.38150858e-02 3.19075429e-02
8.88084582e+00 1.99631728e-01 7.10754305e-02 3.55377153e-02
8.91267681e+00 2.00157110e-01 7.80641431e-02 3.90320716e-02
8.94450780e+00 2.00623551e-01 8.47627897e-02 4.23813948e-02
8.97633879e+00 2.01027361e-01 9.11541327e-02 4.55770664e-02
9.00816978e+00 2.01367593e-01 9.72268019e-02 4.86134010e-02
