# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
5.1056905744e+00 4.1471601911e+02
5.1184229698e+00 4.1643199869e+02
5.1311553653e+00 4.1815511144e+02
5.1438877607e+00 4.1988576755e+02
5.1566201562e+00 4.2162437385e+02
5.1693525516e+00 4.2337133385e+02
5.1820849471e+00 4.2512704780e+02
5.1948173425e+00 4.2689191285e+02
5.2075497380e+00 4.2866632306e+02
5.2202821334e+00 4.3045066954e+02
5.2330145289e+00 4.3224534034e+02
5.2457469243e+00 4.3405072041e+02
5.2584793198e+00 4.3586719145e+02
5.2712117152e+00 4.3769513166e+02
5.2839441107e+00 4.3953491543e+02
5.2966765061e+00 4.4138691282e+02
5.3094089015e+00 4.4325148901e+02
5.3221412970e+00 4.4512900366e+02
5.3348736924e+00 4.4701981002e+02
5.3476060879e+00 4.4892425412e+02
5.3603384833e+00 4.5084267367e+02
5.3730708788e+00 4.5277539690e+02
5.3858032742e+00 4.5472274143e+02
5.3985356697e+00 4.5668501294e+02
5.4112680651e+00 4.5866250383e+02
5.4240004606e+00 4.6065549173e+02
5.4367328560e+00 4.6266423820e+02
5.4494652515e+00 4.6468898716e+02
5.4621976469e+00 4.6672996353e+02
5.4749300424e+00 4.6878737183e+02
5.4876624378e+00 4.7086139474e+02
5.5003948333e+00 4.7295219181e+02
5.5131272287e+00 4.7505989834e+02
5.5258596242e+00 4.7718462421e+02
5.5385920196e+00 4.7932645277e+02
5.5513244150e+00 4.8148544002e+02
5.5640568105e+00 4.8366161383e+02
5.5767892059e+00 4.8585497354e+02
5.5895216014e+00 4.8806548943e+02
5.6022539968e+00 4.9029310228e+02
5.6149863923e+00 4.9253772348e+02
5.6277187877e+00 4.9479923491e+02
5.6404511832e+00 4.9707748920e+02
5.6531835786e+00 4.9937231013e+02
5.6659159741e+00 5.0168349316e+02
5.6786483695e+00 5.0401080605e+02
5.6913807650e+00 5.0635398951e+02
5.7041131604e+00 5.0871275828e+02
5.7168455559e+00 5.1108680220e+02
5.7295779513e+00 5.1347578713e+02
5.7423103468e+00 5.1587935613e+02
5.7550427422e+00 5.1829713087e+02
5.7677751377e+00 5.2072871261e+02
5.7805075331e+00 5.2317368353e+02
5.7932399285e+00 5.2563160814e+02
5.8059723240e+00 5.2810203462e+02
5.8187047194e+00 5.3058449608e+02
5.8314371149e+00 5.3307851179e+02
5.8441695103e+00 5.3558358810e+02
5.8569019058e+00 5.3809921982e+02
5.8696343012e+00 5.4062489121e+02
5.8823666967e+00 5.4316007708e+02
5.8950990921e+00 5.4570424372e+02
5.9078314876e+00 5.4825684985e+02
5.9205638830e+00 5.5081734733e+02
5.9332962785e+00 5.5338518187e+02
5.9460286739e+00 5.5595979372e+02
5.9587610694e+00 5.5854061846e+02
5.9714934648e+00 5.6112708737e+02
5.9842258603e+00 5.6371862782e+02
5.9969582557e+00 5.6631466408e+02
6.0096906511e+00 5.6891461747e+02
6.0224230466e+00 5.7151790703e+02
6.0351554420e+00 5.7412394997e+02
6.0478878375e+00 5.7673216191e+02
6.0606202329e+00 5.7934195755e+02
6.0733526284e+00 5.8195275098e+02
6.0860850238e+00 5.8456395614e+02
6.0988174193e+00 5.8717498768e+02
6.1115498147e+00 5.8978526137e+02
6.1242822102e+00 5.9239419496e+02
6.1370146056e+00 5.9500120895e+02
6.1497470011e+00 5.9760572709e+02
6.1624793965e+00 6.0020717736e+02
6.1752117920e+00 6.0280499319e+02
6.1879441874e+00 6.0539861420e+02
6.2006765829e+00 6.0798748736e+02
6.2134089783e+00 6.1057106823e+02
6.2261413738e+00 6.1314882198e+02
6.2388737692e+00 6.1572022460e+02
6.2516061646e+00 6.1828476423e+02
6.2643385601e+00 6.2084194241e+02
6.2770709555e+00 6.2339127546e+02
6.2898033510e+00 6.2593229539e+02
6.3025357464e+00 6.2846455150e+02
6.3152681419e+00 6.3098761172e+02
6.3280005373e+00 6.3350106342e+02
6.3407329328e+00 6.3600451486e+02
6.3534653282e+00 6.3849759625e+02
6.3661977237e+00 6.4097996057e+02
6.3789301191e+00 6.4345128477e+02
6.3916625146e+00 6.4591127033e+02
6.4043949100e+00 6.4835964405e+02
6.4171273055e+00 6.5079615891e+02
6.4298597009e+00 6.5322059453e+02
6.4425920964e+00 6.5563275735e+02
6.4553244918e+00 6.5803248103e+02
6.4680568873e+00 6.6041962673e+02
6.4807892827e+00 6.6279408303e+02
6.4935216781e+00 6.6515576602e+02
6.5062540736e+00 6.6750461916e+02
6.5189864690e+00 6.6984061300e+02
6.5317188645e+00 6.7216374481e+02
6.5444512599e+00 6.7447403818e+02
6.5571836554e+00 6.7677154259e+02
6.5699160508e+00 6.7905633278e+02
6.5826484463e+00 6.8132850814e+02
6.5953808417e+00 6.8358819204e+02
6.6081132372e+00 6.8583553109e+02
6.6208456326e+00 6.8807069444e+02
6.6335780281e+00 6.9029387297e+02
6.6463104235e+00 6.9250527846e+02
6.6590428190e+00 6.9470514281e+02
6.6717752144e+00 6.9689371729e+02
6.6845076099e+00 6.9907127174e+02
6.6972400053e+00 7.0123809367e+02
6.7099724008e+00 7.0339448754e+02
6.7227047962e+00 7.0554077399e+02
6.7354371916e+00 7.0767728901e+02
6.7481695871e+00 7.0980438324e+02
6.7609019825e+00 7.1192242113e+02
6.7736343780e+00 7.1403178025e+02
6.7863667734e+00 7.1613285049e+02
6.7990991689e+00 7.1822603331e+02
6.8118315643e+00 7.2031174092e+02
6.8245639598e+00 7.2239039558e+02
6.8372963552e+00 7.2446242871e+02
6.8500287507e+00 7.2652828005e+02
6.8627611461e+00 7.2858839681e+02
6.8754935416e+00 7.3064323275e+02
6.8882259370e+00 7.3269324722e+02
6.9009583325e+00 7.3473890412e+02
6.9136907279e+00 7.3678067089e+02
6.9264231234e+00 7.3881901740e+02
6.9391555188e+00 7.4085441475e+02
6.9518879143e+00 7.4288733410e+02
6.9646203097e+00 7.4491824535e+02
6.9773527051e+00 7.4694761592e+02
6.9900851006e+00 7.4897590927e+02
7.0028174960e+00 7.5100358352e+02
7.0155498915e+00 7.5303109008e+02
7.0282822869e+00 7.5505887215e+02
7.0410146824e+00 7.5708736320e+02
7.0537470778e+00 7.5911698553e+02
7.0664794733e+00 7.6114814877e+02
7.0792118687e+00 7.6318124839e+02
7.0919442642e+00 7.6521666428e+02
7.1046766596e+00 7.6725475932e+02
7.1174090551e+00 7.6929587807e+02
7.1301414505e+00 7.7134034542e+02
7.1428738460e+00 7.7338846539e+02
7.1556062414e+00 7.7544051998e+02
7.1683386369e+00 7.7749676815e+02
7.1810710323e+00 7.7955744481e+02
7.1938034278e+00 7.8162276010e+02
7.2065358232e+00 7.8369289858e+02
7.2192682186e+00 7.8576801864e+02
7.2320006141e+00 7.8784825208e+02
7.2447330095e+00 7.8993370369e+02
7.2574654050e+00 7.9202445108e+02
7.2701978004e+00 7.9412054464e+02
7.2829301959e+00 7.9622200749e+02
7.2956625913e+00 7.9832883565e+02
7.3083949868e+00 8.0044099837e+02
7.3211273822e+00 8.0255843846e+02
7.3338597777e+00 8.0468107272e+02
7.3465921731e+00 8.0680879260e+02
7.3593245686e+00 8.0894146478e+02
7.3720569640e+00 8.1107893187e+02
7.3847893595e+00 8.1322101323e+02
7.3975217549e+00 8.1536750575e+02
7.4102541504e+00 8.1751818471e+02
7.4229865458e+00 8.1967280472e+02
7.4357189413e+00 8.2183110057e+02
7.4484513367e+00 8.2399278811e+02
7.4611837321e+00 8.2615756521e+02
7.4739161276e+00 8.2832511258e+02
7.4866485230e+00 8.3049509474e+02
7.4993809185e+00 8.3266716080e+02
7.5121133139e+00 8.3484094532e+02
7.5248457094e+00 8.3701606916e+02
7.5375781048e+00 8.3919214020e+02
7.5503105003e+00 8.4136875412e+02
7.5630428957e+00 8.4354549517e+02
7.5757752912e+00 8.4572193679e+02
7.5885076866e+00 8.4789764246e+02
