# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
9.1673247221e-01 8.6728611639e-07 5.8262049873e-07 7.7032834581e-07 4.9664171226e-07 1.3037094941e-07 7.1886738433e-07 4.7589776998e-07 7.0564995644e-07
9.2946486766e-01 8.9540000896e-07 5.8752857781e-07 7.8880559735e-07 5.1197206645e-07 1.4666808266e-07 7.5456397955e-07 4.9375017360e-07 7.3059265528e-07
9.4219726310e-01 9.2274639574e-07 5.9227395815e-07 8.0713351765e-07 5.2851776416e-07 1.6504428130e-07 7.9106275535e-07 5.1259603018e-07 7.5669384615e-07
9.5492965855e-01 9.4930337405e-07 5.9693331385e-07 8.2528586062e-07 5.4636302818e-07 1.8550955421e-07 8.2830911766e-07 5.3246535966e-07 7.8389359091e-07
9.6766205400e-01 9.7506546824e-07 6.0158612420e-07 8.4323457008e-07 5.6558936439e-07 2.0805898962e-07 8.6624759185e-07 5.5338827214e-07 8.1211790341e-07
9.8039444945e-01 1.0000335909e-06 6.0632215403e-07 8.6095339995e-07 5.8627646745e-07 2.3267433062e-07 9.0482094221e-07 5.7539289441e-07 8.4128436869e-07
9.9312684489e-01 1.0242232565e-06 6.1123210322e-07 8.7842334443e-07 6.0849950392e-07 2.5932221429e-07 9.4397105249e-07 5.9850852523e-07 8.7130120645e-07
1.0058592403e+00 1.0476627558e-06 6.1641508709e-07 8.9562630275e-07 6.3232639538e-07 2.8795778605e-07 9.8364156750e-07 6.2276067704e-07 9.0206539802e-07
1.0185916358e+00 1.0703895060e-06 6.2197022100e-07 9.1254869936e-07 6.5782325217e-07 3.1852173406e-07 1.0237734904e-06 6.4817666530e-07 9.3346924202e-07
1.0313240312e+00 1.0924527881e-06 6.2800410066e-07 9.2918238892e-07 6.8504712842e-07 3.5094112329e-07 1.0643095856e-06 6.7477902750e-07 9.6539660829e-07
