# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
3.1703664664e+00 1.1148513992e+02 3.0890139031e+00
3.1830988618e+00 1.1307352710e+02 3.0846881801e+00
3.1958312573e+00 1.1468143641e+02 3.0782795220e+00
3.2085636527e+00 1.1630692986e+02 3.0698422014e+00
3.2212960482e+00 1.1794843389e+02 3.0594178181e+00
3.2340284436e+00 1.1960404549e+02 3.0470141277e+00
3.2467608391e+00 1.2127199447e+02 3.0325944513e+00
3.2594932345e+00 1.2295041549e+02 3.0161248054e+00
3.2722256300e+00 1.2463748568e+02 2.9974963696e+00
3.2849580254e+00 1.2633134140e+02 2.9765926829e+00
3.2976904209e+00 1.2803012563e+02 2.9533471134e+00
3.3104228163e+00 1.2973192382e+02 2.9276141546e+00
3.3231552118e+00 1.3143493374e+02 2.8992406172e+00
3.3358876072e+00 1.3313728074e+02 2.8681135658e+00
3.3486200027e+00 1.3483700068e+02 2.8341439890e+00
3.3613523981e+00 1.3653233389e+02 2.7972168900e+00
3.3740847935e+00 1.3822135426e+02 2.7573315079e+00
3.3868171890e+00 1.3990217505e+02 2.7144191123e+00
3.3995495844e+00 1.4157287535e+02 2.6685622177e+00
3.4122819799e+00 1.4323158894e+02 2.6198912674e+00
3.4250143753e+00 1.4487626851e+02 2.5685236149e+00
3.4377467708e+00 1.4650503276e+02 2.5148197524e+00
3.4504791662e+00 1.4811581879e+02 2.4591231753e+00
3.4632115617e+00 1.4970647122e+02 2.4019649851e+00
3.4759439571e+00 1.5127502320e+02 2.3440406763e+00
3.4886763526e+00 1.5281913675e+02 2.2860775482e+00
3.5014087480e+00 1.5433669766e+02 2.2291536612e+00
3.5141411435e+00 1.5582537180e+02 2.1743963715e+00
3.5268735389e+00 1.5728269620e+02 2.1231491533e+00
3.5396059344e+00 1.5870639150e+02 2.0769098124e+00
3.5523383298e+00 1.6009377353e+02 2.0373426932e+00
3.5650707253e+00 1.6144236248e+02 2.0061771825e+00
3.5778031207e+00 1.6274951020e+02 1.9850889600e+00
3.5905355162e+00 1.6401254821e+02 1.9756665025e+00
3.6032679116e+00 1.6522866153e+02 1.9792148069e+00
3.6160003070e+00 1.6639518238e+02 1.9966953130e+00
3.6287327025e+00 1.6750928787e+02 2.0285899181e+00
3.6414650979e+00 1.6856821528e+02 2.0748576379e+00
3.6541974934e+00 1.6956921297e+02 2.1350036036e+00
3.6669298888e+00 1.7050952976e+02 2.2080834554e+00
3.6796622843e+00 1.7138640918e+02 2.2927932167e+00
3.6923946797e+00 1.7219740366e+02 2.3876437103e+00
3.7051270752e+00 1.7294002611e+02 2.4910119259e+00
3.7178594706e+00 1.7361185928e+02 2.6011850409e+00
3.7305918661e+00 1.7421068651e+02 2.7165414580e+00
3.7433242615e+00 1.7473459554e+02 2.8355237613e+00
3.7560566570e+00 1.7518179912e+02 2.9565922219e+00
3.7687890524e+00 1.7555076453e+02 3.0784051692e+00
3.7815214479e+00 1.7584012384e+02 3.1996905986e+00
3.7942538433e+00 1.7604902754e+02 3.3193274463e+00
3.8069862388e+00 1.7617668778e+02 3.4363402392e+00
3.8197186342e+00 1.7622285879e+02 3.5498231068e+00
3.8324510297e+00 1.7618756641e+02 3.6590852380e+00
3.8451834251e+00 1.7607122084e+02 3.7634699646e+00
3.8579158205e+00 1.7587454040e+02 3.8624933590e+00
3.8706482160e+00 1.7559875403e+02 3.9557691548e+00
3.8833806114e+00 1.7524536461e+02 4.0430038319e+00
3.8961130069e+00 1.7481642323e+02 4.1240495854e+00
3.9088454023e+00 1.7431423508e+02 4.1988459801e+00
3.9215777978e+00 1.7374162129e+02 4.2673351395e+00
3.9343101932e+00 1.7310163754e+02 4.3296627389e+00
3.9470425887e+00 1.7239780005e+02 4.3859904626e+00
3.9597749841e+00 1.7163393530e+02 4.4364567790e+00
3.9725073796e+00 1.7081420286e+02 4.4813926371e+00
3.9852397750e+00 1.6994299915e+02 4.5210117730e+00
3.9979721705e+00 1.6902501839e+02 4.5556623429e+00
4.0107045659e+00 1.6806513702e+02 4.5856385341e+00
4.0234369614e+00 1.6706843907e+02 4.6112584231e+00
4.0361693568e+00 1.6604019133e+02 4.6328384265e+00
4.0489017523e+00 1.6498566238e+02 4.6506266122e+00
4.0616341477e+00 1.6391018196e+02 4.6648875205e+00
4.0743665432e+00 1.6281913645e+02 4.6758789775e+00
4.0870989386e+00 1.6171797147e+02 4.6838143045e+00
4.0998313340e+00 1.6061182158e+02 4.6888749114e+00
4.1125637295e+00 1.5950580856e+02 4.6911874772e+00
4.1252961249e+00 1.5840485607e+02 4.6909288054e+00
4.1380285204e+00 1.5731370780e+02 4.6882439424e+00
4.1507609158e+00 1.5623686698e+02 4.6832285562e+00
4.1634933113e+00 1.5517840865e+02 4.6760757500e+00
4.1762257067e+00 1.5414225935e+02 4.6669195861e+00
4.1889581022e+00 1.5313185038e+02 4.6558789950e+00
4.2016904976e+00 1.5215032698e+02 4.6432307363e+00
4.2144228931e+00 1.5120028456e+02 4.6291810437e+00
4.2271552885e+00 1.5028409938e+02 4.6140072451e+00
4.2398876840e+00 1.4940358164e+02 4.5980107011e+00
4.2526200794e+00 1.4856015824e+02 4.5815559738e+00
4.2653524749e+00 1.4775472554e+02 4.5649837148e+00
4.2780848703e+00 1.4698791919e+02 4.5486876406e+00
4.2908172658e+00 1.4625988589e+02 4.5330925103e+00
4.3035496612e+00 1.4557023844e+02 4.5185511462e+00
4.3162820567e+00 1.4491836603e+02 4.5054433201e+00
4.3290144521e+00 1.4430318658e+02 4.4940896128e+00
4.3417468475e+00 1.4372335354e+02 4.4847296416e+00
4.3544792430e+00 1.4317732266e+02 4.4776124312e+00
4.3672116384e+00 1.4266299724e+02 4.4728056347e+00
4.3799440339e+00 1.4217829610e+02 4.4703310199e+00
4.3926764293e+00 1.4172078900e+02 4.4700796061e+00
4.4054088248e+00 1.4128811654e+02 4.4718169743e+00
4.4181412202e+00 1.4087751685e+02 4.4752323278e+00
4.4308736157e+00 1.4048649892e+02 4.4798738430e+00
4.4436060111e+00 1.4011227689e+02 4.4852227610e+00
4.4563384066e+00 1.3975219600e+02 4.4906587476e+00
4.4690708020e+00 1.3940363138e+02 4.4954945086e+00
4.4818031975e+00 1.3906423568e+02 4.4990220564e+00
4.4945355929e+00 1.3873151474e+02 4.5004877624e+00
4.5072679884e+00 1.3840330056e+02 4.4991059531e+00
4.5200003838e+00 1.3807773973e+02 4.4941557831e+00
4.5327327793e+00 1.3775295901e+02 4.4849212758e+00
4.5454651747e+00 1.3742741639e+02 4.4707141530e+00
4.5581975702e+00 1.3709995616e+02 4.4510010354e+00
4.5709299656e+00 1.3676969569e+02 4.4252304489e+00
4.5836623610e+00 1.3643584861e+02 4.3929835738e+00
4.5963947565e+00 1.3609808730e+02 4.3539221323e+00
4.6091271519e+00 1.3575630477e+02 4.3078582904e+00
4.6218595474e+00 1.3541076373e+02 4.2546587241e+00
4.6345919428e+00 1.3506187573e+02 4.1943351263e+00
4.6473243383e+00 1.3471051283e+02 4.1269807734e+00
4.6600567337e+00 1.3435756624e+02 4.0528204551e+00
4.6727891292e+00 1.3400435232e+02 3.9722045449e+00
4.6855215246e+00 1.3365235739e+02 3.8855229427e+00
4.6982539201e+00 1.3330324795e+02 3.7932611580e+00
4.7109863155e+00 1.3295864282e+02 3.6960916683e+00
4.7237187110e+00 1.3262071111e+02 3.5945896216e+00
4.7364511064e+00 1.3229129031e+02 3.4895404090e+00
4.7491835019e+00 1.3197268271e+02 3.3816908879e+00
4.7619158973e+00 1.3166693382e+02 3.2718592948e+00
4.7746482928e+00 1.3137621652e+02 3.1608818919e+00
4.7873806882e+00 1.3110274175e+02 3.0496792360e+00
4.8001130837e+00 1.3084857553e+02 2.9390687228e+00
4.8128454791e+00 1.3061576332e+02 2.8299499984e+00
4.8255778745e+00 1.3040640373e+02 2.7232527433e+00
4.8383102700e+00 1.3022219492e+02 2.6198241108e+00
4.8510426654e+00 1.3006499382e+02 2.5205680674e+00
4.8637750609e+00 1.2993627476e+02 2.4264088152e+00
4.8765074563e+00 1.2983759466e+02 2.3382035090e+00
4.8892398518e+00 1.2977020188e+02 2.2568867560e+00
4.9019722472e+00 1.2973517520e+02 2.1834304573e+00
4.9147046427e+00 1.2973349402e+02 2.1187145559e+00
4.9274370381e+00 1.2976593590e+02 2.0637115883e+00
4.9401694336e+00 1.2983307272e+02 2.0193438635e+00
4.9529018290e+00 1.2993544868e+02 1.9864758626e+00
4.9656342245e+00 1.3007333250e+02 1.9658912819e+00
4.9783666199e+00 1.3024682408e+02 1.9581928117e+00
4.9910990154e+00 1.3045599516e+02 1.9637920150e+00
5.0038314108e+00 1.3070076912e+02 1.9828760102e+00
5.0165638063e+00 1.3098104594e+02 2.0153097643e+00
5.0292962017e+00 1.3129639251e+02 2.0607131951e+00
5.0420285972e+00 1.3164669570e+02 2.1184311799e+00
5.0547609926e+00 1.3203135078e+02 2.1876025016e+00
5.0674933880e+00 1.3245014595e+02 2.2671216628e+00
5.0802257835e+00 1.3290241300e+02 2.3558265080e+00
5.0929581789e+00 1.3338795501e+02 2.4523847801e+00
5.1056905744e+00 1.3390616683e+02 2.5554721483e+00
5.1184229698e+00 1.3445673979e+02 2.6636755838e+00
5.1311553653e+00 1.3503916125e+02 2.7757195228e+00
5.1438877607e+00 1.3565318712e+02 2.8901610192e+00
5.1566201562e+00 1.3629841667e+02 3.0057348115e+00
5.1693525516e+00 1.3697464528e+02 3.1211639649e+00
5.1820849471e+00 1.3768159694e+02 3.2352033820e+00
5.1948173425e+00 1.3841914754e+02 3.3466898899e+00
5.2075497380e+00 1.3918702594e+02 3.4545455007e+00
5.2202821334e+00 1.3998520144e+02 3.5577285259e+00
5.2330145289e+00 1.4081361087e+02 3.6552642810e+00
5.2457469243e+00 1.4167212262e+02 3.7463005159e+00
5.2584793198e+00 1.4256068203e+02 3.8300266985e+00
5.2712117152e+00 1.4347920106e+02 3.9056935637e+00
5.2839441107e+00 1.4442765498e+02 3.9727311626e+00
5.2966765061e+00 1.4540587458e+02 4.0305525055e+00
5.3094089015e+00 1.4641367762e+02 4.0786473559e+00
5.3221412970e+00 1.4745079952e+02 4.1167469057e+00
5.3348736924e+00 1.4851708819e+02 4.1444929622e+00
5.3476060879e+00 1.4961195710e+02 4.1616693836e+00
5.3603384833e+00 1.5073497445e+02 4.1681658820e+00
5.3730708788e+00 1.5188551066e+02 4.1639134796e+00
5.3858032742e+00 1.5306284901e+02 4.1489372856e+00
5.3985356697e+00 1.5426611505e+02 4.1233097659e+00
