# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
2.419155134996809231e+00 1.578093565844825008e+01 1.578093565844825008e+01 0.000000000000000000e+00
2.431887530444160728e+00 1.745049524324189605e+01 1.745049524324189605e+01 0.000000000000000000e+00
2.444619925891512224e+00 1.855117918607324157e+01 1.855117918607324157e+01 0.000000000000000000e+00
2.457352321338864165e+00 1.919717041149385395e+01 1.919717041149385395e+01 0.000000000000000000e+00
2.470084716786215662e+00 1.948793572179167555e+01 1.948793572179167555e+01 0.000000000000000000e+00
2.482817112233567158e+00 1.943319351999773659e+01 1.943319351999773659e+01 0.000000000000000000e+00
2.495549507680919099e+00 1.891994659321874650e+01 1.891994659321874650e+01 0.000000000000000000e+00
2.508281903128270596e+00 1.774675693655384734e+01 1.774675693655384734e+01 0.000000000000000000e+00
2.521014298575622092e+00 1.571804861488941718e+01 1.571804861488941718e+01 0.000000000000000000e+00
2.533746694022974033e+00 1.276975330557528743e+01 1.276975330557528743e+01 0.000000000000000000e+00
2.546479089470325530e+00 9.076966268147025119e+00 9.076966268147025119e+00 0.000000000000000000e+00
2.559211484917677026e+00 5.094507988757601247e+00 5.094507988757601247e+00 0.000000000000000000e+00
2.571943880365028967e+00 1.499895327909742226e+00 1.499895327909742226e+00 0.000000000000000000e+00
2.584676275812380020e+00 -9.577934984483160719e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.597408671259731960e+00 -1.664023308676999102e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.610141066707083457e+00 -3.350832227744424130e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.622873462154435398e+00 2.863562359557613846e+00 2.863562359557613846e+00 0.000000000000000000e+00
2.635605857601786450e+00 7.323764145065788433e+00 7.323764145065788433e+00 0.000000000000000000e+00
2.648338253049138391e+00 1.213321342102715406e+01 1.213321342102715406e+01 0.000000000000000000e+00
2.661070648496489888e+00 1.630852193930038752e+01 1.630852193930038752e+01 0.000000000000000000e+00
2.673803043943841828e+00 1.905223655374831537e+01 1.905223655374831537e+01 0.000000000000000000e+00
2.686535439391193325e+00 1.995286766884969509e+01 1.995286766884969509e+01 0.000000000000000000e+00
2.699267834838545266e+00 1.906681969900354545e+01 1.906681969900354545e+01 0.000000000000000000e+00
2.712000230285896318e+00 1.685883620717264009e+01 1.685883620717264009e+01 0.000000000000000000e+00
2.724732625733248259e+00 1.402716838308128722e+01 1.402716838308128722e+01 0.000000000000000000e+00
2.737465021180599756e+00 1.127505405426902385e+01 1.127505405426902385e+01 0.000000000000000000e+00
2.750197416627951696e+00 9.107916666853597576e+00 9.107916666853597576e+00 0.000000000000000000e+00
2.762929812075303193e+00 7.721154853270757457e+00 7.721154853270757457e+00 0.000000000000000000e+00
2.775662207522655134e+00 7.008021320022311151e+00 7.008021320022311151e+00 0.000000000000000000e+00
2.788394602970006186e+00 6.674570390026057787e+00 6.674570390026057787e+00 0.000000000000000000e+00
2.801126998417358127e+00 6.410014848085125116e+00 6.410014848085125116e+00 0.000000000000000000e+00
2.813859393864709624e+00 6.044625056953141673e+00 6.044625056953141673e+00 0.000000000000000000e+00
2.826591789312061564e+00 5.635543453425783333e+00 5.635543453425783333e+00 0.000000000000000000e+00
2.839324184759413061e+00 5.450228910794187698e+00 5.450228910794187698e+00 0.000000000000000000e+00
2.852056580206765002e+00 5.856695299822886724e+00 5.856695299822886724e+00 0.000000000000000000e+00
2.864788975654116054e+00 7.163482524266686191e+00 7.163482524266686191e+00 0.000000000000000000e+00
2.877521371101467551e+00 9.469913327987748985e+00 9.469913327987748985e+00 0.000000000000000000e+00
2.890253766548819492e+00 1.258205182564279667e+01 1.258205182564279667e+01 0.000000000000000000e+00
2.902986161996170988e+00 1.602580173801114682e+01 1.602580173801114682e+01 0.000000000000000000e+00
2.915718557443522929e+00 1.915413018643966581e+01 1.915413018643966581e+01 0.000000000000000000e+00
2.928450952890873982e+00 2.131403140831431742e+01 2.131403140831431742e+01 0.000000000000000000e+00
2.941183348338225922e+00 2.201934146090152211e+01 2.201934146090152211e+01 0.000000000000000000e+00
2.953915743785577419e+00 2.107703313508212162e+01 2.107703313508212162e+01 0.000000000000000000e+00
2.966648139232929360e+00 1.862985724938032206e+01 1.862985724938032206e+01 0.000000000000000000e+00
2.979380534680280412e+00 1.510736278520068687e+01 1.510736278520068687e+01 0.000000000000000000e+00
2.992112930127632353e+00 1.110758059359860894e+01 1.110758059359860894e+01 0.000000000000000000e+00
3.004845325574983850e+00 7.246526666016442242e+00 7.246526666016442242e+00 0.000000000000000000e+00
3.017577721022335790e+00 4.025491079893969371e+00 4.025491079893969371e+00 0.000000000000000000e+00
3.030310116469687287e+00 1.749361303821765024e+00 1.749361303821765024e+00 0.000000000000000000e+00
3.043042511917039228e+00 5.134463922915974976e-01 5.134463922915974976e-01 0.000000000000000000e+00
3.055774907364390280e+00 2.504732767507009128e-01 2.504732767507009128e-01 0.000000000000000000e+00
3.068507302811742221e+00 8.111173094501329395e-01 8.111173094501329395e-01 0.000000000000000000e+00
3.081239698259093718e+00 2.043468769597531765e+00 2.043468769597531765e+00 0.000000000000000000e+00
3.093972093706445659e+00 3.841827668450084943e+00 3.841827668450084943e+00 0.000000000000000000e+00
3.106704489153797155e+00 6.150242045879874553e+00 6.150242045879874553e+00 0.000000000000000000e+00
3.119436884601149096e+00 8.925848979510590198e+00 8.925848979510590198e+00 0.000000000000000000e+00
3.132169280048500148e+00 1.208428563892578111e+01 1.208428563892578111e+01 0.000000000000000000e+00
3.144901675495852089e+00 1.545524172060902757e+01 1.545524172060902757e+01 0.000000000000000000e+00
3.157634070943203586e+00 1.877553356208946411e+01 1.877553356208946411e+01 0.000000000000000000e+00
3.170366466390555527e+00 2.172826587091742212e+01 2.172826587091742212e+01 0.000000000000000000e+00
3.183098861837907023e+00 2.402050802784152594e+01 2.402050802784152594e+01 0.000000000000000000e+00
3.195831257285258076e+00 2.547449415174071774e+01 2.547449415174071774e+01 0.000000000000000000e+00
3.208563652732610016e+00 2.609822280967063435e+01 2.609822280967063435e+01 0.000000000000000000e+00
3.221296048179961513e+00 2.610793013128430218e+01 2.610793013128430218e+01 0.000000000000000000e+00
3.234028443627313454e+00 2.588703315748663769e+01 2.588703315748663769e+01 0.000000000000000000e+00
3.246760839074664950e+00 2.589223034223185493e+01 2.589223034223185493e+01 0.000000000000000000e+00
3.259493234522016891e+00 2.653106297203325781e+01 2.653106297203325781e+01 0.000000000000000000e+00
3.272225629969367944e+00 2.805024772315407589e+01 2.805024772315407589e+01 0.000000000000000000e+00
3.284958025416719885e+00 3.046713809519133420e+01 3.046713809519133420e+01 0.000000000000000000e+00
3.297690420864071381e+00 3.356561320523263703e+01 3.356561320523263703e+01 0.000000000000000000e+00
3.310422816311423322e+00 3.695386737942607169e+01 3.695386737942607169e+01 0.000000000000000000e+00
3.323155211758774374e+00 4.016415399070236703e+01 4.016415399070236703e+01 0.000000000000000000e+00
3.335887607206126315e+00 4.276141659322545507e+01 4.276141659322545507e+01 0.000000000000000000e+00
3.348620002653477812e+00 4.442916990698825686e+01 4.442916990698825686e+01 0.000000000000000000e+00
3.361352398100829753e+00 4.501449037232347195e+01 4.501449037232347195e+01 0.000000000000000000e+00
3.374084793548181249e+00 4.452624312312487831e+01 4.452624312312487831e+01 0.000000000000000000e+00
3.386817188995533190e+00 4.310095122135630419e+01 4.310095122135630419e+01 0.000000000000000000e+00
3.399549584442884242e+00 4.095514556237272785e+01 4.095514556237272785e+01 0.000000000000000000e+00
3.412281979890236183e+00 3.834347711727228614e+01 3.834347711727228614e+01 0.000000000000000000e+00
3.425014375337587680e+00 3.552901873435218505e+01 3.552901873435218505e+01 0.000000000000000000e+00
3.437746770784939621e+00 3.276619975636321414e+01 3.276619975636321414e+01 0.000000000000000000e+00
3.450479166232291117e+00 3.028173490122080125e+01 3.028173490122080125e+01 0.000000000000000000e+00
3.463211561679643058e+00 2.824702045134335648e+01 2.824702045134335648e+01 0.000000000000000000e+00
