# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.2223099600e+01 6.8302069200e+00 2.3496209100e+00 8.1896826997e+08 1.9619535994e+07 8.3400141012e-09 2.8759496441e-09
1.2254930600e+01 6.7485726800e+00 2.3399396300e+00 8.1488913332e+08 1.9983745040e+07 8.2815838426e-09 2.8786552598e-09
1.2286761600e+01 6.6709887300e+00 2.3294482900e+00 8.0976720674e+08 1.9297257283e+07 8.2381561942e-09 2.8833800312e-09
1.2318592600e+01 6.5972531200e+00 2.3181441100e+00 8.0354182525e+08 1.7417018245e+07 8.2102174556e-09 2.8903914344e-09
1.2350423600e+01 6.5271420600e+00 2.3060335400e+00 7.9637539664e+08 1.4452459486e+07 8.1960619170e-09 2.8994790898e-09
1.2382254600e+01 6.4603987500e+00 2.2931433600e+00 7.8832308997e+08 1.0416052993e+07 8.1951154701e-09 2.9109023804e-09
1.2414085600e+01 6.3968096100e+00 2.2794723200e+00 7.7961294962e+08 5.5535544673e+06 8.2051094881e-09 2.9244354288e-09
1.2445916500e+01 6.3361327700e+00 2.2650449300e+00 7.7037976366e+08 1.1464046535e+06 8.2246874449e-09 2.9401921775e-09
1.2477747500e+01 6.2781396100e+00 2.2498774800e+00 7.6084717754e+08 5.8164574765e+06 8.2515119926e-09 2.9577415810e-09
1.2509578500e+01 6.2225876200e+00 2.2339749200e+00 7.5116906850e+08 1.1714923824e+07 8.2838709432e-09 2.9768022388e-09
1.2541409500e+01 6.1692806800e+00 2.2173665600e+00 7.4149925696e+08 1.7350807665e+07 8.3200092543e-09 2.9967133785e-09
1.2573240500e+01 6.1179581900e+00 2.2000703500e+00 7.3194555695e+08 2.2395060666e+07 8.3584880486e-09 3.0166441678e-09
1.2605071500e+01 6.0684257900e+00 2.1821214100e+00 7.2255752560e+08 2.6643308886e+07 8.3985365525e-09 3.0358335042e-09
1.2636902500e+01 6.0204560000e+00 2.1635248000e+00 7.1335622161e+08 2.9811511066e+07 8.4396207919e-09 3.0533201406e-09
1.2668733500e+01 5.9738653500e+00 2.1443300600e+00 7.0428142594e+08 3.1848082598e+07 8.4822134022e-09 3.0687722620e-09
1.2700564500e+01 5.9284289900e+00 2.1245471800e+00 6.9525398221e+08 3.2589597702e+07 8.5269975314e-09 3.0818151350e-09
1.2732395400e+01 5.8839837900e+00 2.1041977600e+00 6.8614842284e+08 3.2141946007e+07 8.5753804777e-09 3.0928780038e-09
1.2764226400e+01 5.8403207100e+00 2.0833341300e+00 6.7680843402e+08 3.0495022351e+07 8.6292079360e-09 3.1026321315e-09
1.2796057400e+01 5.7972902700e+00 2.0619414900e+00 6.6709856333e+08 2.7877290230e+07 8.6903054341e-09 3.1121708080e-09
1.2827888400e+01 5.7547314600e+00 2.0400949100e+00 6.5683183032e+08 2.4413266406e+07 8.7613468080e-09 3.1229866549e-09
1.2859719400e+01 5.7125129700e+00 2.0177968000e+00 6.4592198652e+08 2.0385764435e+07 8.8439673664e-09 3.1363467603e-09
1.2891550400e+01 5.6704746000e+00 1.9950708800e+00 6.3421011321e+08 1.6005888060e+07 8.9410031185e-09 3.1538395988e-09
1.2923381400e+01 5.6284872600e+00 1.9719451300e+00 6.2170350567e+08 1.1534543299e+07 9.0533304198e-09 3.1762860606e-09
1.2955212400e+01 5.5864579800e+00 1.9484316500e+00 6.0831739686e+08 7.2026166795e+06 9.1834591759e-09 3.2048303629e-09
1.2987043400e+01 5.5442859200e+00 1.9245832600e+00 5.9415558331e+08 3.1890612506e+06 9.3313705631e-09 3.2395779236e-09
1.3018874300e+01 5.5018686500e+00 1.9003734800e+00 5.7923683041e+08 6.4385706007e+05 9.4984786207e-09 3.2808399272e-09
1.3050705300e+01 5.4591482000e+00 1.8758678700e+00 5.6374105231e+08 3.2284567691e+06 9.6837868692e-09 3.3279967256e-09
1.3082536300e+01 5.4160525500e+00 1.8510651500e+00 5.4779335202e+08 5.4452141278e+06 9.8870359233e-09 3.3805592659e-09
1.3114367300e+01 5.3725264700e+00 1.8259775800e+00 5.3160531268e+08 6.9924467108e+06 1.0106231713e-08 3.4374083076e-09
1.3146198300e+01 5.3285310300e+00 1.8006314400e+00 5.1538257802e+08 7.8336908195e+06 1.0338981675e-08 3.4973088243e-09
1.3178029300e+01 5.2840548700e+00 1.7750254900e+00 4.9933269030e+08 8.0735404947e+06 1.0582232994e-08 3.5589106289e-09
1.3209860300e+01 5.2390753500e+00 1.7491696900e+00 4.8370188617e+08 7.7404773641e+06 1.0831207196e-08 3.6203657799e-09
1.3241691300e+01 5.1935854100e+00 1.7230862900e+00 4.6865637020e+08 6.9689198511e+06 1.1081862405e-08 3.6803428310e-09
1.3273522300e+01 5.1475979400e+00 1.6967624000e+00 4.5445116937e+08 5.8239724237e+06 1.1327065011e-08 3.7364725340e-09
1.3305353200e+01 5.1011224100e+00 1.6702289800e+00 4.4119382876e+08 4.4360742917e+06 1.1562089217e-08 3.7874879708e-09
1.3337184200e+01 5.0541765100e+00 1.6434708700e+00 4.2912538000e+08 2.8850321082e+06 1.1777855018e-08 3.8306336087e-09
1.3369015200e+01 5.0068166100e+00 1.6164822500e+00 4.1828719780e+08 1.2684773028e+06 1.1969806000e-08 3.8646976647e-09
1.3400846200e+01 4.9590644400e+00 1.5892944700e+00 4.0889796839e+08 3.3501256973e+05 1.2127877425e-08 3.8867878697e-09
1.3432677200e+01 4.9110079700e+00 1.5618751700e+00 4.0093602849e+08 1.8607585847e+06 1.2248856728e-08 3.8959867688e-09
1.3464508200e+01 4.8626754900e+00 1.5342289000e+00 3.9459948854e+08 3.2415878190e+06 1.2323065871e-08 3.8893837725e-09
1.3496339200e+01 4.8141486500e+00 1.5063599600e+00 3.8981675980e+08 4.4402907755e+06 1.2349773397e-08 3.8668366867e-09
1.3528170200e+01 4.7654857100e+00 1.4782454700e+00 3.8675369590e+08 5.3996535060e+06 1.2321758681e-08 3.8260577725e-09
1.3560001200e+01 4.7167747400e+00 1.4498883500e+00 3.8529925520e+08 6.0999390733e+06 1.2241847542e-08 3.7680064564e-09
1.3591832100e+01 4.6681042100e+00 1.4212885800e+00 3.8558980689e+08 6.4950689995e+06 1.2106399408e-08 3.6916485420e-09
1.3623663100e+01 4.6195272000e+00 1.3924335400e+00 3.8747113626e+08 6.5800193571e+06 1.1922248570e-08 3.5993433474e-09
1.3655494100e+01 4.5711536600e+00 1.3632865800e+00 3.9103105383e+08 6.3202708671e+06 1.1690001639e-08 3.4915058220e-09
1.3687325100e+01 4.5230897300e+00 1.3338830700e+00 3.9607546843e+08 5.7323270639e+06 1.1419767419e-08 3.3718028959e-09
1.3719156100e+01 4.4753847000e+00 1.3041939600e+00 4.0262749385e+08 4.7916504834e+06 1.1115447326e-08 3.2419074299e-09
1.3750987100e+01 4.4281624200e+00 1.2741939700e+00 4.1045208080e+08 3.5452651843e+06 1.0788500356e-08 3.1057654623e-09
1.3782818100e+01 4.3814886100e+00 1.2438906800e+00 4.1949406852e+08 1.9898206174e+06 1.0444697408e-08 2.9656302300e-09
1.3814649100e+01 4.3354643600e+00 1.2132815700e+00 4.2948467004e+08 1.9137555607e+05 1.0094573014e-08 2.8249741903e-09
1.3846480000e+01 4.2901819200e+00 1.1823476700e+00 4.4028166553e+08 1.8173214345e+06 9.7441757308e-09 2.6857358955e-09
1.3878311000e+01 4.2457348300e+00 1.1510713000e+00 4.5160101567e+08 3.9602727287e+06 9.4015174517e-09 2.5502008750e-09
1.3910142000e+01 4.2021900400e+00 1.1194840500e+00 4.6322710898e+08 6.1746583944e+06 9.0715546619e-09 2.4197299456e-09
1.3941973000e+01 4.1596297100e+00 1.0875315800e+00 4.7488865822e+08 8.3881281378e+06 8.7591683608e-09 2.2952972952e-09
1.3973804000e+01 4.1181208100e+00 1.0552429500e+00 4.8631603471e+08 1.0526353187e+07 8.4679930664e-09 2.1775983468e-09
1.4005635000e+01 4.0777480200e+00 1.0226118400e+00 4.9728884016e+08 1.2531975196e+07 8.1999588382e-09 2.0667306785e-09
1.4037466000e+01 4.0385757800e+00 9.8962183700e-01 5.0752380564e+08 1.4336950265e+07 7.9574115245e-09 1.9628164492e-09
1.4069297000e+01 4.0006521300e+00 9.5630073000e-01 5.1688162583e+08 1.5911562726e+07 7.7399774535e-09 1.8654140644e-09
1.4101128000e+01 3.9640415000e+00 9.2262956600e-01 5.2511085127e+08 1.7204881023e+07 7.5489613106e-09 1.7743420849e-09
1.4132958900e+01 3.9287995000e+00 8.8862856600e-01 5.3217197369e+08 1.8222009702e+07 7.3825749838e-09 1.6888402883e-09
1.4164789900e+01 3.8949413000e+00 8.5430025600e-01 5.3788433515e+08 1.8937700762e+07 7.2412246379e-09 1.6085920626e-09
1.4196620900e+01 3.8625086100e+00 8.1965348300e-01 5.4232129433e+08 1.9380265631e+07 7.1221776655e-09 1.5326603390e-09
1.4228451900e+01 3.8315633400e+00 7.8469203700e-01 5.4539711868e+08 1.9545411484e+07 7.0252724277e-09 1.4606153886e-09
1.4260282900e+01 3.8020802200e+00 7.4946394300e-01 5.4728710945e+08 1.9473548985e+07 6.9471400922e-09 1.3915479122e-09
1.4292113900e+01 3.7740933700e+00 7.1394771400e-01 5.4801340104e+08 1.9170207830e+07 6.8868632827e-09 1.3248797565e-09
1.4323944900e+01 3.7476002600e+00 6.7818884800e-01 5.4782156004e+08 1.8672055012e+07 6.8409141469e-09 1.2597406432e-09
