# freq_THz coherence_avg
7.226562499999999112e+00 1.062707646939699963e-01
7.250976562499999112e+00 1.452642598269344998e-01
7.275390624999999112e+00 5.620023253735351165e-02
7.299804687499999112e+00 1.241397559226323777e-01
7.324218749999999112e+00 4.106561616175985474e-02
7.348632812499999112e+00 8.605651814984335846e-02
7.373046874999999112e+00 1.055983436450896595e-01
7.397460937499999112e+00 7.241595068511277357e-03
7.421874999999999112e+00 4.727455084030227073e-02
7.446289062499999112e+00 1.434831382421416926e-03
7.470703124999999112e+00 4.462853192069099473e-02
7.495117187499999112e+00 3.021748424878867995e-02
7.519531249999999112e+00 9.932083530192936660e-02
7.543945312499999112e+00 4.220768662867737525e-02
7.568359374999999112e+00 6.394060136969662023e-02
7.592773437499999112e+00 2.956570871135650539e-03
7.617187499999999112e+00 1.195818638027881743e-04
7.641601562499999112e+00 2.905242941281800662e-02
7.666015624999999112e+00 2.430124298103253366e-02
7.690429687499999112e+00 5.395248155669344660e-03
7.714843749999999112e+00 7.283153552738741432e-02
7.739257812499999112e+00 1.455446398432425903e-01
7.763671874999999112e+00 9.730187870693866869e-02
7.788085937499999112e+00 5.223324071710062216e-02
7.812499999999999112e+00 1.714492982571743512e-02
7.836914062499999112e+00 8.240753335083338127e-02
7.861328124999999112e+00 1.262907193230871916e-01
7.885742187499999112e+00 1.607392780478004712e-01
7.910156249999999112e+00 1.402555280228183210e-01
7.934570312499999112e+00 1.280966465656954711e-01
7.958984374999999112e+00 2.196402374914023514e-02
7.983398437499999112e+00 1.651964245317572716e-02
8.007812499999998224e+00 1.051375365192755984e-01
8.032226562499998224e+00 1.222732943950430862e-01
8.056640624999998224e+00 3.543066707397587306e-02
8.081054687499998224e+00 4.726334188554568230e-03
8.105468749999998224e+00 8.217837115544718296e-03
8.129882812499998224e+00 5.218709872947557143e-02
8.154296874999998224e+00 7.085304906214164034e-02
8.178710937499998224e+00 1.487854795817981357e-01
8.203124999999998224e+00 7.940748911481165795e-02
8.227539062499998224e+00 8.876373350215742419e-02
8.251953124999998224e+00 9.347246274942415389e-02
8.276367187499998224e+00 7.978212819578399395e-02
8.300781249999998224e+00 4.408646700824840441e-03
8.325195312499998224e+00 7.606600011529554908e-03
8.349609374999998224e+00 2.284718631043142212e-02
8.374023437499998224e+00 1.220696299258882019e-02
8.398437499999998224e+00 3.190657702622834435e-02
8.422851562499998224e+00 3.956408895001241321e-02
8.447265624999998224e+00 4.963597182733571478e-02
8.471679687499998224e+00 7.401939915345344401e-02
8.496093749999998224e+00 9.229849120267499818e-02
8.520507812499998224e+00 2.151813380131127607e-01
8.544921874999998224e+00 2.235595641327090544e-01
8.569335937499998224e+00 7.068692833068419834e-02
8.593749999999998224e+00 1.935650923633048734e-02
8.618164062499998224e+00 1.160071039479870954e-02
8.642578124999998224e+00 5.662782163996458312e-02
8.666992187499998224e+00 5.271123278017631614e-02
8.691406249999998224e+00 1.944010992963594586e-01
8.715820312499998224e+00 5.116967554413987679e-02
8.740234374999998224e+00 2.034870943885346006e-02
8.764648437499998224e+00 2.702610626197345101e-02
8.789062499999998224e+00 2.063580311021473782e-02
8.813476562499998224e+00 8.750849617124402402e-02
8.837890624999998224e+00 1.221322344689434597e-01
8.862304687499998224e+00 9.446568072673772187e-02
8.886718749999998224e+00 2.195924596203142620e-01
8.911132812499998224e+00 4.051508319749298481e-01
8.935546874999998224e+00 2.640811549585896367e-01
8.959960937499998224e+00 7.233528694806240673e-03
8.984374999999998224e+00 2.239915092800381230e-02
9.008789062499998224e+00 1.397020420712572764e-01
9.033203124999998224e+00 8.901452227754098889e-02
9.057617187499998224e+00 1.579500085420513511e-01
9.082031249999998224e+00 6.494104542124949642e-02
9.106445312499998224e+00 1.510270823594252743e-01
9.130859374999998224e+00 2.091035305919270171e-01
9.155273437499998224e+00 1.373867215175236245e-01
9.179687499999998224e+00 1.112879545378881729e-01
9.204101562499998224e+00 1.753847767503429189e-01
9.228515624999998224e+00 3.049226393377052133e-02
9.252929687499998224e+00 1.446175903397140527e-01
9.277343749999998224e+00 1.374710753494834403e-01
9.301757812499998224e+00 1.839552658604255153e-01
9.326171874999998224e+00 4.835905554336279721e-03
9.350585937499998224e+00 4.782763909640504879e-02
9.374999999999998224e+00 1.320313037178751092e-01
9.399414062499998224e+00 2.826203482759230556e-02
9.423828124999998224e+00 1.752847268218738971e-02
9.448242187499998224e+00 8.348371159762507307e-03
9.472656249999998224e+00 2.653410650207909671e-01
9.497070312499998224e+00 6.188813044462648794e-02
9.521484374999998224e+00 7.488769967346967094e-02
9.545898437499998224e+00 5.084646290958771964e-02
9.570312499999998224e+00 1.052366410817947018e-01
9.594726562499998224e+00 1.040604335701221517e-01
9.619140624999998224e+00 1.069982680150447507e-01
9.643554687499998224e+00 3.265635045522408825e-02
9.667968749999998224e+00 1.017364732944019690e-01
9.692382812499998224e+00 7.579391997034068407e-02
9.716796874999998224e+00 1.390304844276163410e-01
9.741210937499998224e+00 1.453320630104980860e-01
9.765624999999998224e+00 7.545888627706437424e-02
9.790039062499998224e+00 6.496556980863397134e-03
9.814453124999998224e+00 8.989774248900297970e-02
9.838867187499998224e+00 9.602016733304687135e-02
9.863281249999998224e+00 2.924050669960869854e-04
9.887695312499998224e+00 1.412737426491782189e-02
9.912109374999998224e+00 1.114499018751263781e-01
9.936523437499998224e+00 3.359548604182566872e-02
9.960937499999998224e+00 5.322813553106593015e-02
9.985351562499998224e+00 2.319906863668315389e-02
1.000976562499999822e+01 2.880162565430866017e-02
1.003417968749999822e+01 9.067925354557730688e-02
1.005859374999999822e+01 2.857938323533287459e-02
1.008300781249999822e+01 1.391646492689616599e-01
1.010742187499999822e+01 3.202331982955484158e-01
1.013183593749999822e+01 2.769152195801011795e-01
1.015624999999999822e+01 2.080978980042514914e-01
1.018066406249999822e+01 1.091096683844700044e-01
1.020507812499999822e+01 5.511827252588763493e-02
1.022949218749999822e+01 1.526774505960399597e-01
1.025390624999999822e+01 1.758386243054538833e-01
1.027832031249999822e+01 1.838759604157119976e-01
1.030273437499999822e+01 6.817660626300048321e-02
1.032714843749999822e+01 3.918720313039220082e-02
1.035156249999999822e+01 3.921735629702057663e-02
1.037597656249999822e+01 7.761893344848855292e-02
1.040039062499999822e+01 1.156563321429059099e-02
1.042480468749999822e+01 2.512211621578600094e-03
1.044921874999999822e+01 3.416004093701419803e-02
1.047363281249999822e+01 5.937154279990364963e-02
1.049804687499999822e+01 3.883507919423551200e-03
1.052246093749999822e+01 3.528926467063132205e-02
1.054687499999999822e+01 6.140012509259868551e-02
1.057128906249999822e+01 5.989186283913807557e-02
1.059570312499999822e+01 8.036662710619710617e-03
1.062011718749999822e+01 2.586528760315470049e-02
1.064453124999999822e+01 4.468230487637714354e-02
1.066894531249999822e+01 9.837180236896413132e-02
1.069335937499999822e+01 1.019689508351413337e-01
1.071777343749999822e+01 6.034397280371833067e-02
1.074218749999999822e+01 4.107951157384813479e-02
1.076660156249999822e+01 1.176907222784902285e-01
1.079101562499999822e+01 2.993260402736693145e-03
1.081542968749999822e+01 3.733935559132128129e-02
1.083984374999999822e+01 4.717949131789430511e-02
1.086425781249999822e+01 4.895186956782876520e-02
1.088867187499999822e+01 3.814358888509048785e-03
1.091308593749999822e+01 2.843299218988533036e-02
1.093749999999999822e+01 1.515733413098373783e-01
1.096191406249999822e+01 2.170581982906956420e-02
1.098632812499999822e+01 5.244467878249590986e-02
1.101074218749999822e+01 8.064905951038114917e-02
1.103515624999999822e+01 7.062394765988286305e-02
1.105957031249999822e+01 3.565726405528255039e-02
1.108398437499999822e+01 5.632630960097250589e-02
1.110839843749999822e+01 1.006628006177693983e-02
1.113281249999999822e+01 1.582330967746585493e-01
1.115722656249999822e+01 2.191424915097496817e-01
1.118164062499999822e+01 2.451858936076026230e-01
1.120605468749999822e+01 1.901606278536797923e-01
1.123046874999999822e+01 4.084747765487767475e-03
1.125488281249999822e+01 2.771761334409213184e-02
1.127929687499999822e+01 1.777302596470983209e-01
1.130371093749999822e+01 1.158031150702680812e-01
1.132812499999999822e+01 3.784168971294574191e-02
1.135253906249999822e+01 1.723243493340314084e-02
1.137695312499999822e+01 8.006740980539345243e-02
1.140136718749999822e+01 8.328594137458855684e-02
1.142578124999999822e+01 3.417853296141810937e-02
1.145019531249999822e+01 8.541302442642015325e-02
1.147460937499999822e+01 1.869835034108143501e-01
1.149902343749999822e+01 8.688625704337782363e-02
1.152343749999999822e+01 6.273666814772189959e-02
1.154785156249999822e+01 9.599602440994839392e-02
1.157226562499999822e+01 6.692437330913100779e-02
1.159667968749999822e+01 1.522667480442625176e-01
1.162109374999999822e+01 7.252989368271228754e-02
1.164550781249999822e+01 5.861908543345379849e-03
1.166992187499999822e+01 3.291220812739633489e-02
1.169433593749999822e+01 1.837370414512548913e-02
1.171874999999999822e+01 1.127082179608107811e-02
1.174316406249999822e+01 9.152481345448593153e-02
1.176757812499999822e+01 1.239539482411640692e-01
1.179199218749999822e+01 6.843635683292037530e-02
1.181640624999999822e+01 1.028759019320950457e-01
1.184082031249999822e+01 1.495120968808999751e-01
1.186523437499999822e+01 4.903806371835344596e-02
1.188964843749999822e+01 4.125404498083865869e-03
1.191406249999999822e+01 4.947977484297449297e-02
1.193847656249999822e+01 3.903694031156033223e-02
1.196289062499999822e+01 5.667437102553891243e-02
1.198730468749999822e+01 5.165380295995065929e-02
1.201171874999999822e+01 6.152197377007823098e-02
1.203613281249999822e+01 9.282821425546959604e-02
1.206054687499999822e+01 3.386453631908493966e-02
1.208496093749999822e+01 1.629634007533766471e-01
1.210937499999999822e+01 6.002035009523568054e-02
1.213378906249999822e+01 1.201889054223691522e-01
1.215820312499999822e+01 2.054809183141205753e-01
1.218261718749999822e+01 4.378942203185042653e-02
1.220703124999999822e+01 8.497725080086659943e-02
1.223144531249999822e+01 1.436909024685852077e-01
1.225585937499999822e+01 1.193074060746038417e-01
1.228027343749999822e+01 1.967332890512471788e-01
1.230468749999999822e+01 3.060076697383370403e-01
1.232910156249999822e+01 1.605702092381952051e-01
1.235351562499999822e+01 1.843202234854246155e-02
1.237792968749999822e+01 3.589488409104810152e-02
1.240234374999999822e+01 3.332844761227032188e-02
1.242675781249999822e+01 1.640235382008284684e-02
1.245117187499999822e+01 1.125601094127305982e-02
1.247558593749999822e+01 2.559247321767623221e-02
1.249999999999999822e+01 3.785167782161412420e-02
1.252441406249999822e+01 9.620648334613807889e-03
1.254882812499999822e+01 1.308233245994404499e-02
1.257324218749999822e+01 1.331970188822035051e-01
1.259765624999999822e+01 3.846286975489218458e-03
1.262207031249999822e+01 2.354977411566769666e-02
1.264648437499999822e+01 6.102296423756649324e-02
1.267089843749999822e+01 9.578443464804393612e-03
1.269531249999999822e+01 1.389938900526607179e-01
1.271972656249999822e+01 1.497971551173216120e-01
1.274414062499999822e+01 3.311854050037815050e-02
1.276855468749999822e+01 7.612852430101255119e-02
1.279296874999999822e+01 1.086112046532252406e-01
1.281738281249999822e+01 1.281407408331254692e-03
1.284179687499999822e+01 2.344387049602048370e-02
1.286621093749999822e+01 7.326127372253878056e-02
1.289062499999999822e+01 3.415163468013142356e-02
1.291503906249999822e+01 8.143266048483510655e-02
1.293945312499999822e+01 3.835829310358170041e-02
1.296386718749999822e+01 4.156919641033322843e-02
1.298828124999999822e+01 2.927315920616253798e-04
1.301269531249999822e+01 8.290320524836945759e-02
1.303710937499999822e+01 4.523964005816234063e-02
1.306152343749999822e+01 8.741253684020489079e-02
1.308593749999999822e+01 1.546413405021508924e-01
1.311035156249999822e+01 1.527388455367100772e-01
1.313476562499999822e+01 3.516820487935996831e-02
1.315917968749999822e+01 5.295822664339496985e-03
1.318359374999999822e+01 3.533062461027774992e-02
1.320800781249999822e+01 4.520960690289183015e-02
1.323242187499999822e+01 9.855597888436701259e-02
1.325683593749999822e+01 6.327793336223368204e-02
1.328124999999999822e+01 1.066254818443149455e-01
1.330566406249999822e+01 1.150392963995339468e-01
1.333007812499999822e+01 2.797284746973507236e-02
1.335449218749999822e+01 5.339957631404678579e-02
1.337890624999999822e+01 8.526161160301738706e-02
1.340332031249999822e+01 2.080517201721336085e-01
1.342773437499999822e+01 9.609757498715633395e-02
1.345214843749999822e+01 1.138209390408789767e-01
1.347656249999999822e+01 3.789964754847761214e-02
1.350097656249999822e+01 8.030721737872133226e-02
1.352539062499999822e+01 2.875159440282571213e-02
1.354980468749999822e+01 2.753127741840500492e-02
1.357421874999999822e+01 6.390797606392803476e-02
1.359863281249999822e+01 1.133713651382909846e-02
1.362304687499999822e+01 1.020328195220662933e-02
1.364746093749999822e+01 4.955907794884946427e-02
1.367187499999999822e+01 1.078753450374943940e-01
1.369628906249999822e+01 1.412687526250321936e-02
1.372070312499999822e+01 2.158185459254657532e-02
1.374511718749999822e+01 1.218253249644114800e-02
1.376953124999999822e+01 9.226371710184419483e-02
1.379394531249999822e+01 4.997175623287181123e-02
1.381835937499999822e+01 3.474557333407578968e-02
1.384277343749999822e+01 1.307385932513219565e-02
1.386718749999999822e+01 6.941472969644167657e-02
1.389160156249999822e+01 6.942820407934512106e-02
1.391601562499999822e+01 4.269080935468976684e-02
1.394042968749999822e+01 1.969593931618893179e-02
1.396484374999999822e+01 1.567037743320825322e-03
1.398925781249999822e+01 3.562442007946053230e-02
1.401367187499999822e+01 1.881740704142949305e-02
1.403808593749999822e+01 3.466671185822590290e-02
1.406249999999999822e+01 2.189101243447127282e-02
1.408691406249999822e+01 3.359337195996823372e-02
1.411132812499999822e+01 6.223903456899963771e-02
1.413574218749999822e+01 1.989315842064087458e-01
1.416015624999999822e+01 7.327972526986875623e-02
