# freq_THz abs_cross_spectrum auto_left auto_right
4.370117187499999112e+00 1.100739830436669621e-22 3.687203697052812348e-22 8.813737746022891538e-22
4.394531249999999112e+00 9.627271102598554706e-23 3.878536935891928980e-22 8.513636294132141519e-22
4.418945312499999112e+00 1.175947049021063676e-22 3.605368069333265979e-22 1.212375067102257214e-21
4.443359374999999112e+00 2.119047060112059220e-22 4.399677180608774001e-22 1.285395474075854601e-21
4.467773437499999112e+00 2.630146211588037416e-22 3.715965324105382188e-22 9.862858277651503259e-22
4.492187499999999112e+00 1.832925897669805082e-22 3.034110707222698068e-22 1.100520595203889884e-21
4.516601562499999112e+00 7.744657603022978061e-23 3.142726780753765734e-22 9.886286084501067575e-22
4.541015624999999112e+00 7.030679362141827094e-23 2.241936350851238239e-22 9.242128277791335049e-22
4.565429687499999112e+00 1.033268410312428525e-23 2.601226299422194357e-22 9.871870574733429829e-22
4.589843749999999112e+00 1.067937719549485786e-22 3.695275191330840762e-22 8.498933957994649243e-22
4.614257812499999112e+00 1.094107938564244720e-22 4.521827663007440415e-22 8.721144483354422779e-22
4.638671874999999112e+00 1.326144633225061563e-22 3.998715544885669951e-22 1.100499054188981383e-21
4.663085937499999112e+00 8.616973024663512840e-23 3.696024392104597085e-22 7.300547137168987643e-22
4.687499999999999112e+00 1.184131068096226396e-22 4.733373367829669327e-22 9.337516222562548649e-22
4.711914062499999112e+00 7.724503534565504884e-23 3.671807798374059525e-22 9.299412484383595933e-22
4.736328124999999112e+00 5.024614531795154538e-23 3.458644390321129686e-22 7.093218884352114972e-22
4.760742187499999112e+00 1.155522916200063864e-22 3.227895885188829219e-22 8.484946380772241714e-22
4.785156249999999112e+00 9.060521974251831830e-23 4.392980710872082905e-22 1.263481089836444979e-21
4.809570312499999112e+00 1.399284602983244650e-22 3.378508847554765072e-22 9.756047813169568938e-22
4.833984374999999112e+00 7.854289106526671613e-23 2.735982042025921326e-22 8.774114082902554340e-22
4.858398437499999112e+00 9.126720898085598945e-23 2.731645001992626821e-22 9.947132457070130279e-22
4.882812499999999112e+00 2.977580607009255046e-23 3.259939012297152698e-22 8.131494307061281122e-22
4.907226562499999112e+00 7.777479822132548834e-23 3.436137377494418278e-22 8.054669028161112179e-22
4.931640624999999112e+00 4.309908968884875617e-23 2.956032306480043664e-22 1.075581869811942020e-21
4.956054687499999112e+00 9.531841220902445447e-23 3.528612695963690007e-22 1.223003837030348489e-21
4.980468749999999112e+00 8.944471005447998489e-23 4.021403984746924892e-22 8.921870109778661436e-22
5.004882812499999112e+00 3.890298535301686613e-23 3.205277445908728853e-22 7.301603426149696631e-22
5.029296874999999112e+00 1.301397731191878609e-22 2.617364103862934360e-22 9.794345363906013249e-22
5.053710937499999112e+00 2.265360960611102010e-22 4.199789083608717281e-22 8.993851106725085193e-22
5.078124999999999112e+00 1.170650306786446363e-22 3.853432640949717343e-22 6.848345047440037944e-22
5.102539062499999112e+00 1.538994307542768370e-22 3.372857375647453888e-22 6.184586755106696115e-22
5.126953124999999112e+00 1.632361662407389276e-22 2.744546005554112371e-22 1.040860591567460178e-21
5.151367187499999112e+00 1.156874453431562594e-22 2.888065410590519870e-22 1.233963687767662135e-21
5.175781249999999112e+00 7.385372304427119735e-23 2.942363717303669856e-22 7.822914641266942791e-22
5.200195312499999112e+00 1.484530791240847356e-22 2.705819380725013935e-22 6.962845689793838300e-22
5.224609374999999112e+00 1.153334967773488759e-22 4.370671321225637032e-22 8.016706875032502062e-22
5.249023437499999112e+00 6.472189024370919605e-23 4.302694116308722186e-22 7.705814782162947271e-22
5.273437499999999112e+00 5.928973905074468308e-23 2.450268984883434148e-22 6.166845135318479820e-22
5.297851562499999112e+00 9.940971543665310418e-23 2.087795162423857165e-22 9.690945490708351400e-22
5.322265624999999112e+00 9.424749849286701372e-23 2.943752052290706560e-22 1.153114424522169302e-21
5.346679687499999112e+00 5.970022363367837809e-23 2.357280478798145825e-22 1.164194428941453955e-21
5.371093749999999112e+00 8.820015606796575463e-23 2.432474112688763156e-22 9.401253587984777460e-22
5.395507812499999112e+00 1.898754008542607115e-22 3.496775897877911715e-22 6.544833581049223039e-22
5.419921874999999112e+00 9.128185071137742314e-23 2.462240796496308552e-22 8.350367889554679970e-22
5.444335937499999112e+00 6.697196274745651537e-23 2.727195366005670979e-22 7.204899059683515103e-22
5.468749999999999112e+00 7.937001283351312520e-23 2.119971469277140069e-22 1.019062170706211260e-21
5.493164062499999112e+00 8.228901866728061244e-23 2.297459507529742435e-22 1.016027937856062115e-21
5.517578124999999112e+00 3.503271402151913502e-23 2.981385210562128997e-22 5.617470555504501277e-22
5.541992187499999112e+00 6.417829955854975869e-23 2.013997297740468935e-22 8.399749447322239350e-22
5.566406249999999112e+00 9.641200359364732274e-23 2.370659364581914678e-22 8.362149948353234370e-22
5.590820312499999112e+00 1.008397568599570783e-22 3.374137275342310045e-22 7.534677679000475492e-22
5.615234374999999112e+00 1.474685705800332927e-22 3.061926990528259528e-22 9.221455263999919285e-22
5.639648437499999112e+00 1.676931806352359143e-22 3.649224630494426138e-22 7.540398983452827368e-22
5.664062499999999112e+00 2.408241133237997149e-22 2.918419165377450144e-22 7.883469296210785544e-22
5.688476562499999112e+00 1.175714717728232013e-22 2.515499524681432281e-22 8.474866032029563996e-22
5.712890624999999112e+00 9.370395150498962641e-23 1.757212664300424398e-22 9.777758141498219749e-22
5.737304687499999112e+00 4.911107171718185677e-23 1.916709976179887675e-22 1.054546664109422278e-21
5.761718749999999112e+00 5.736901006130536903e-23 3.096198360092867109e-22 8.190478945815673871e-22
5.786132812499999112e+00 3.958400939552934462e-23 2.776691856417916373e-22 6.535740581638942028e-22
5.810546874999999112e+00 6.450266671079528473e-23 2.596843734251459629e-22 8.451157565434851177e-22
5.834960937499999112e+00 1.313840270954816741e-22 2.634690092178801163e-22 7.782506371944662863e-22
5.859374999999999112e+00 4.061940304133722691e-23 2.047667730363869242e-22 5.031827643426419756e-22
5.883789062499999112e+00 8.370881031707853133e-23 1.539236869417730928e-22 8.681707001315282538e-22
5.908203124999999112e+00 2.402489845786801932e-23 2.134504261302443528e-22 7.143412221331328950e-22
5.932617187499999112e+00 5.446331285285341041e-23 3.721170829061968184e-22 7.502215574556211227e-22
5.957031249999999112e+00 8.946926887468508138e-23 3.663779855138488516e-22 6.125620721455169220e-22
5.981445312499999112e+00 1.404223214794876882e-22 4.631065453159064309e-22 5.963135161503890880e-22
6.005859374999999112e+00 6.106835703390654427e-23 3.966048453631736154e-22 6.012632164746135840e-22
6.030273437499999112e+00 3.900080701452811902e-23 2.531296699889033646e-22 8.601786234845115077e-22
6.054687499999999112e+00 1.325255901256987459e-22 2.389822647194242453e-22 8.349159249749538738e-22
6.079101562499999112e+00 8.437626866368812301e-23 3.114358923737802029e-22 6.299176580379869344e-22
6.103515624999999112e+00 1.751510867223812453e-22 3.593598893742661929e-22 6.673869873728335523e-22
6.127929687499999112e+00 9.237191646230093859e-23 3.379751475326906330e-22 1.015919907245775274e-21
6.152343749999999112e+00 3.094175498869442357e-23 2.568679206985803660e-22 8.461089875013747175e-22
6.176757812499999112e+00 4.772376102700542775e-23 2.935960237143242181e-22 7.143435243377956421e-22
6.201171874999999112e+00 3.993479105070061988e-23 3.120936629737279233e-22 7.268252106335675923e-22
6.225585937499999112e+00 3.384923892068378859e-23 1.540984191044663616e-22 7.290259699851011597e-22
6.249999999999999112e+00 8.595486721845145704e-23 1.961724010860628446e-22 6.039784004780985798e-22
6.274414062499999112e+00 4.107965154304267071e-23 2.461131677104205555e-22 8.030873666550672171e-22
6.298828124999999112e+00 1.592334810659708491e-22 3.385074072098489774e-22 1.192766759240751387e-21
6.323242187499999112e+00 8.730504078191466992e-23 2.826675079104887016e-22 9.613875497992853003e-22
6.347656249999999112e+00 4.097811413614717411e-23 2.929471581146102597e-22 8.104089596682783671e-22
6.372070312499999112e+00 1.009475412183950740e-22 2.664691096895537971e-22 9.287084308773232776e-22
6.396484374999999112e+00 7.292093005440354415e-23 3.192334628377331350e-22 8.292177036026408790e-22
6.420898437499999112e+00 6.258653504495112327e-23 2.411048370578275391e-22 7.077504427051091175e-22
6.445312499999999112e+00 2.060606301914797191e-22 2.424340513691447098e-22 8.284642457394707620e-22
6.469726562499999112e+00 1.487907677534909904e-22 2.828847373701653074e-22 7.558707214241600613e-22
6.494140624999999112e+00 7.440965690847739345e-23 2.666372690864377824e-22 5.817193478506765691e-22
6.518554687499999112e+00 3.136367549668276046e-23 2.415319721741742817e-22 6.481092410774492598e-22
