# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
7.639437268410975701e-01 3.705869999999999997e-03 1.164719999999999991e-02 1.535306999999999991e-02 1.149502171901360532e-07 1.370050553990773125e-07 1.841705520552611164e+00 2.195062985002772304e+00 6.513357814289650689e-08
7.766761222884492888e-01 1.590190000000000006e-03 1.044729999999999964e-02 1.203748999999999965e-02 9.012608487579947933e-08 1.415594839250549344e-07 1.443979073019067139e+00 2.268032974658216183e+00 6.690697507903860983e-08
7.894085177358008965e-01 -6.638570000000000105e-04 8.731539999999999441e-03 8.067682999999999105e-03 6.040367907338196123e-08 1.458645957038448096e-07 9.677736321900735073e-01 2.337008469645569519e+00 6.873677360050173068e-08
8.021409131831525041e-01 -2.949989999999999991e-03 6.801630000000000349e-03 3.851640000000000359e-03 2.883767575724045244e-08 1.495155613147745916e-07 4.620305027711890666e-01 2.395503387579261734e+00 7.061722208373266207e-08
8.148733086305042228e-01 -5.018179999999999689e-03 4.911079999999999959e-03 -1.070999999999997301e-04 -8.018701315804291692e-10 1.521648720651243650e-07 -1.284737588320669123e-02 2.437950025383415653e+00 7.253777937199331544e-08
8.276057040778558305e-01 -6.608089999999999624e-03 3.265459999999999977e-03 -3.342629999999999647e-03 -2.502665880415216225e-08 1.535821124849626402e-07 -4.009712796310297422e-01 2.460656720237668349e+00 7.448422512905681451e-08
8.403380995252074381e-01 -7.591009999999999598e-03 2.040440000000000136e-03 -5.550569999999999463e-03 -4.155776186971422696e-08 1.537123117462609976e-07 -6.658287502899228327e-01 2.462742742379830929e+00 7.644052219309589328e-08
8.530704949725590458e-01 -8.049590000000000564e-03 1.401729999999999903e-03 -6.647860000000000227e-03 -4.977329946711751222e-08 1.527148536778715978e-07 -7.974561740330032844e-01 2.446761702274148131e+00 7.839129811609143665e-08
8.658028904199107645e-01 -8.250969999999999832e-03 1.515539999999999899e-03 -6.735429999999999716e-03 -5.042894622176268567e-08 1.509646780785739514e-07 -8.079607931375075713e-01 2.418720797768231900e+00 8.032458205988626703e-08
8.785352858672622611e-01 -8.517459999999999268e-03 2.544600000000000160e-03 -5.972859999999999107e-03 -4.471949611682067071e-08 1.490051785316837328e-07 -7.164853176262381274e-01 2.387326153884620883e+00 8.223424947820982481e-08
