# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
2.1390424352e+00 4.2044910724e-06 1.4834131997e-07
2.1517748306e+00 4.2256207451e-06 1.4826301254e-07
2.1645072260e+00 4.2453176392e-06 1.4878386572e-07
2.1772396215e+00 4.2635948196e-06 1.4990547444e-07
2.1899720169e+00 4.2804686171e-06 1.5160240782e-07
2.2027044124e+00 4.2959726638e-06 1.5383228864e-07
2.2154368078e+00 4.3101416013e-06 1.5653233989e-07
2.2281692033e+00 4.3230225184e-06 1.5962619940e-07
2.2409015987e+00 4.3346682569e-06 1.6302836794e-07
2.2536339942e+00 4.3451338888e-06 1.6665021199e-07
2.2663663896e+00 4.3544915409e-06 1.7039610299e-07
2.2790987851e+00 4.3628105615e-06 1.7418088792e-07
2.2918311805e+00 4.3701652031e-06 1.7791636532e-07
2.3045635760e+00 4.3766483150e-06 1.8152603029e-07
2.3172959714e+00 4.3823411622e-06 1.8493758651e-07
2.3300283669e+00 4.3873369687e-06 1.8808954880e-07
2.3427607623e+00 4.3917352983e-06 1.9092475744e-07
2.3554931578e+00 4.3956265927e-06 1.9340031467e-07
2.3682255532e+00 4.3991213634e-06 1.9548078856e-07
2.3809579487e+00 4.4023178213e-06 1.9713644570e-07
2.3936903441e+00 4.4053218230e-06 1.9834852401e-07
2.4064227395e+00 4.4082339600e-06 1.9910520135e-07
2.4191551350e+00 4.4111583083e-06 1.9940363151e-07
2.4318875304e+00 4.4141963382e-06 1.9924609626e-07
2.4446199259e+00 4.4174509232e-06 1.9864387912e-07
2.4573523213e+00 4.4210226599e-06 1.9761262705e-07
2.4700847168e+00 4.4250040205e-06 1.9617349171e-07
2.4828171122e+00 4.4294864134e-06 1.9435109834e-07
2.4955495077e+00 4.4345682841e-06 1.9217992033e-07
2.5082819031e+00 4.4403287158e-06 1.8969038990e-07
2.5210142986e+00 4.4468586038e-06 1.8692073900e-07
2.5337466940e+00 4.4542361600e-06 1.8391055410e-07
2.5464790895e+00 4.4625381088e-06 1.8070121971e-07
2.5592114849e+00 4.4718334534e-06 1.7733697995e-07
2.5719438804e+00 4.4821972296e-06 1.7386044048e-07
2.5846762758e+00 4.4936927254e-06 1.7031739317e-07
2.5974086713e+00 4.5063837135e-06 1.6675207440e-07
2.6101410667e+00 4.5203289874e-06 1.6320998968e-07
2.6228734622e+00 4.5355870520e-06 1.5973540597e-07
2.6356058576e+00 4.5522091505e-06 1.5637553364e-07
2.6483382530e+00 4.5702463207e-06 1.5317243534e-07
2.6610706485e+00 4.5897536609e-06 1.5016893221e-07
2.6738030439e+00 4.6107738889e-06 1.4740535420e-07
2.6865354394e+00 4.6333583600e-06 1.4492526342e-07
2.6992678348e+00 4.6575479668e-06 1.4276123505e-07
2.7120002303e+00 4.6833937204e-06 1.4094819537e-07
2.7247326257e+00 4.7109279958e-06 1.3951508362e-07
2.7374650212e+00 4.7402058936e-06 1.3848401110e-07
2.7501974166e+00 4.7712604713e-06 1.3787090262e-07
2.7629298121e+00 4.8041364433e-06 1.3768558772e-07
2.7756622075e+00 4.8388750089e-06 1.3792834518e-07
2.7883946030e+00 4.8755213631e-06 1.3859199334e-07
2.8011269984e+00 4.9141082691e-06 1.3965758099e-07
2.8138593939e+00 4.9546751213e-06 1.4110338711e-07
2.8265917893e+00 4.9972626478e-06 1.4289843184e-07
2.8393241848e+00 5.0419045819e-06 1.4500330651e-07
2.8520565802e+00 5.0886359462e-06 1.4737870382e-07
2.8647889757e+00 5.1374964223e-06 1.4997815355e-07
2.8775213711e+00 5.1885071452e-06 1.5275624699e-07
2.8902537665e+00 5.2417010370e-06 1.5566302967e-07
2.9029861620e+00 5.2970982732e-06 1.5865336789e-07
2.9157185574e+00 5.3547271301e-06 1.6168388790e-07
2.9284509529e+00 5.4145929592e-06 1.6470910585e-07
2.9411833483e+00 5.4767136178e-06 1.6768892257e-07
2.9539157438e+00 5.5410981418e-06 1.7058944282e-07
2.9666481392e+00 5.6077462519e-06 1.7337866054e-07
2.9793805347e+00 5.6766518397e-06 1.7602865155e-07
2.9921129301e+00 5.7478066782e-06 1.7851845574e-07
3.0048453256e+00 5.8211912090e-06 1.8082594254e-07
3.0175777210e+00 5.8967822603e-06 1.8294009334e-07
3.0303101165e+00 5.9745532994e-06 1.8484978368e-07
3.0430425119e+00 6.0544618744e-06 1.8655062437e-07
3.0557749074e+00 6.1364700235e-06 1.8803906907e-07
3.0685073028e+00 6.2205239284e-06 1.8931536277e-07
3.0812396983e+00 6.3065662433e-06 1.9038876603e-07
3.0939720937e+00 6.3945258872e-06 1.9126071020e-07
3.1067044892e+00 6.4843456081e-06 1.9194010039e-07
3.1194368846e+00 6.5759383759e-06 1.9243699510e-07
3.1321692800e+00 6.6692252955e-06 1.9276273053e-07
3.1449016755e+00 6.7641193924e-06 1.9292518278e-07
3.1576340709e+00 6.8605302878e-06 1.9293443102e-07
3.1703664664e+00 6.9583551248e-06 1.9280108307e-07
3.1830988618e+00 7.0574944547e-06 1.9253109268e-07
3.1958312573e+00 7.1578522603e-06 1.9213109570e-07
3.2085636527e+00 7.2593075817e-06 1.9160447957e-07
3.2212960482e+00 7.3617622042e-06 1.9095384074e-07
3.2340284436e+00 7.4650973527e-06 1.9017966328e-07
3.2467608391e+00 7.5692025397e-06 1.8927965787e-07
3.2594932345e+00 7.6739613398e-06 1.8825170342e-07
3.2722256300e+00 7.7792599787e-06 1.8708900792e-07
3.2849580254e+00 7.8849821373e-06 1.8578430241e-07
3.2976904209e+00 7.9910119094e-06 1.8433342808e-07
3.3104228163e+00 8.0972297978e-06 1.8272730313e-07
3.3231552118e+00 8.2035233162e-06 1.8095636621e-07
3.3358876072e+00 8.3097754589e-06 1.7901356847e-07
3.3486200027e+00 8.4158636330e-06 1.7689335426e-07
3.3613523981e+00 8.5216780091e-06 1.7458854602e-07
3.3740847935e+00 8.6270983689e-06 1.7209909628e-07
3.3868171890e+00 8.7320069510e-06 1.6942071521e-07
3.3995495844e+00 8.8362838617e-06 1.6655855297e-07
3.4122819799e+00 8.9398126214e-06 1.6352075119e-07
3.4250143753e+00 9.0424654458e-06 1.6031463450e-07
3.4377467708e+00 9.1441249143e-06 1.5696270305e-07
3.4504791662e+00 9.2446622704e-06 1.5348639614e-07
3.4632115617e+00 9.3439429860e-06 1.4991886251e-07
3.4759439571e+00 9.4418443003e-06 1.4630351152e-07
3.4886763526e+00 9.5382202880e-06 1.4268573762e-07
3.5014087480e+00 9.6329389899e-06 1.3913282805e-07
3.5141411435e+00 9.7258547213e-06 1.3571514684e-07
3.5268735389e+00 9.8168137562e-06 1.3251654707e-07
3.5396059344e+00 9.9056738275e-06 1.2963051441e-07
3.5523383298e+00 9.9922674024e-06 1.2716092907e-07
3.5650707253e+00 1.0076439704e-05 1.2521573089e-07
3.5778031207e+00 1.0158025448e-05 1.2389950757e-07
3.5905355162e+00 1.0236858080e-05 1.2331140403e-07
3.6032679116e+00 1.0312761903e-05 1.2353287178e-07
3.6160003070e+00 1.0385570408e-05 1.2462391915e-07
3.6287327025e+00 1.0455107403e-05 1.2661462382e-07
3.6414650979e+00 1.0521200454e-05 1.2950242775e-07
3.6541974934e+00 1.0583677815e-05 1.3325644366e-07
3.6669298888e+00 1.0642367773e-05 1.3781772924e-07
3.6796622843e+00 1.0697098281e-05 1.4310489668e-07
3.6923946797e+00 1.0747716575e-05 1.4902499885e-07
3.7051270752e+00 1.0794067423e-05 1.5547673540e-07
3.7178594706e+00 1.0835999951e-05 1.6235320037e-07
3.7305918661e+00 1.0873375807e-05 1.6955318161e-07
3.7433242615e+00 1.0906075637e-05 1.7697947287e-07
3.7560566570e+00 1.0933987889e-05 1.8453597182e-07
3.7687890524e+00 1.0957016898e-05 1.9213893798e-07
3.7815214479e+00 1.0975077286e-05 1.9970897907e-07
3.7942538433e+00 1.0988116029e-05 2.0717612377e-07
3.8069862388e+00 1.0996083955e-05 2.1447948786e-07
3.8197186342e+00 1.0998965722e-05 2.2156253134e-07
3.8324510297e+00 1.0996762946e-05 2.2838213717e-07
3.8451834251e+00 1.0989501226e-05 2.3489731935e-07
