# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
4.9529018290e+00 2.4624451918e-05
4.9656342245e+00 2.4728273588e-05
4.9783666199e+00 2.4832221379e-05
4.9910990154e+00 2.4936321972e-05
5.0038314108e+00 2.5040602216e-05
5.0165638063e+00 2.5145089052e-05
5.0292962017e+00 2.5249809448e-05
5.0420285972e+00 2.5354790346e-05
5.0547609926e+00 2.5460058613e-05
5.0674933880e+00 2.5565640997e-05
5.0802257835e+00 2.5671564100e-05
5.0929581789e+00 2.5777854346e-05
5.1056905744e+00 2.5884537966e-05
5.1184229698e+00 2.5991640987e-05
5.1311553653e+00 2.6099189226e-05
5.1438877607e+00 2.6207208284e-05
5.1566201562e+00 2.6315723554e-05
5.1693525516e+00 2.6424760221e-05
5.1820849471e+00 2.6534343267e-05
5.1948173425e+00 2.6644497478e-05
5.2075497380e+00 2.6755247453e-05
5.2202821334e+00 2.6866617600e-05
5.2330145289e+00 2.6978632141e-05
5.2457469243e+00 2.7091315102e-05
5.2584793198e+00 2.7204690307e-05
5.2712117152e+00 2.7318781361e-05
5.2839441107e+00 2.7433611632e-05
5.2966765061e+00 2.7549204217e-05
5.3094089015e+00 2.7665581909e-05
5.3221412970e+00 2.7782767156e-05
5.3348736924e+00 2.7900782007e-05
5.3476060879e+00 2.8019648059e-05
5.3603384833e+00 2.8139386389e-05
5.3730708788e+00 2.8260017484e-05
5.3858032742e+00 2.8381561170e-05
5.3985356697e+00 2.8504036525e-05
5.4112680651e+00 2.8627461798e-05
5.4240004606e+00 2.8751854318e-05
5.4367328560e+00 2.8877230411e-05
5.4494652515e+00 2.9003605301e-05
5.4621976469e+00 2.9130993027e-05
5.4749300424e+00 2.9259406353e-05
5.4876624378e+00 2.9388856681e-05
5.5003948333e+00 2.9519353970e-05
5.5131272287e+00 2.9650906664e-05
5.5258596242e+00 2.9783521622e-05
5.5385920196e+00 2.9917204046e-05
5.5513244150e+00 3.0051957431e-05
5.5640568105e+00 3.0187783517e-05
5.5767892059e+00 3.0324682263e-05
5.5895216014e+00 3.0462651812e-05
5.6022539968e+00 3.0601688471e-05
5.6149863923e+00 3.0741786706e-05
5.6277187877e+00 3.0882939147e-05
5.6404511832e+00 3.1025136595e-05
5.6531835786e+00 3.1168368052e-05
5.6659159741e+00 3.1312620751e-05
5.6786483695e+00 3.1457880196e-05
5.6913807650e+00 3.1604130204e-05
5.7041131604e+00 3.1751352971e-05
5.7168455559e+00 3.1899529138e-05
5.7295779513e+00 3.2048637849e-05
5.7423103468e+00 3.2198656826e-05
5.7550427422e+00 3.2349562456e-05
5.7677751377e+00 3.2501329851e-05
5.7805075331e+00 3.2653932933e-05
5.7932399285e+00 3.2807344520e-05
5.8059723240e+00 3.2961536413e-05
5.8187047194e+00 3.3116479471e-05
5.8314371149e+00 3.3272143687e-05
5.8441695103e+00 3.3428498253e-05
5.8569019058e+00 3.3585511634e-05
5.8696343012e+00 3.3743151644e-05
5.8823666967e+00 3.3901385500e-05
5.8950990921e+00 3.4060179892e-05
5.9078314876e+00 3.4219501034e-05
5.9205638830e+00 3.4379314717e-05
5.9332962785e+00 3.4539586343e-05
5.9460286739e+00 3.4700280975e-05
5.9587610694e+00 3.4861363386e-05
5.9714934648e+00 3.5022798077e-05
5.9842258603e+00 3.5184549310e-05
5.9969582557e+00 3.5346581148e-05
6.0096906511e+00 3.5508857475e-05
6.0224230466e+00 3.5671342029e-05
6.0351554420e+00 3.5833998436e-05
6.0478878375e+00 3.5996790221e-05
6.0606202329e+00 3.6159680853e-05
6.0733526284e+00 3.6322633761e-05
6.0860850238e+00 3.6485612369e-05
6.0988174193e+00 3.6648580139e-05
6.1115498147e+00 3.6811500609e-05
6.1242822102e+00 3.6974337435e-05
6.1370146056e+00 3.7137054450e-05
6.1497470011e+00 3.7299615686e-05
6.1624793965e+00 3.7461985441e-05
6.1752117920e+00 3.7624128351e-05
6.1879441874e+00 3.7786009442e-05
6.2006765829e+00 3.7947594195e-05
6.2134089783e+00 3.8108848629e-05
6.2261413738e+00 3.8269739364e-05
6.2388737692e+00 3.8430233692e-05
6.2516061646e+00 3.8590299665e-05
6.2643385601e+00 3.8749906174e-05
6.2770709555e+00 3.8909023027e-05
6.2898033510e+00 3.9067621017e-05
6.3025357464e+00 3.9225672012e-05
6.3152681419e+00 3.9383149044e-05
6.3280005373e+00 3.9540026360e-05
6.3407329328e+00 3.9696279509e-05
