# freq_THz abs_cross_spectrum auto_left auto_right
3.271484374999999556e+00 3.011051672231959686e-20 6.627600063112342974e-20 4.212616415763222884e-19
3.295898437499999556e+00 2.939947077860301666e-20 6.575701795779093627e-20 3.944460087664658091e-19
3.320312499999999556e+00 2.707053425421319085e-20 6.080579034734667772e-20 3.861579904181556211e-19
3.344726562499999556e+00 2.814148139749108471e-20 5.999325230882788321e-20 3.909953987663128155e-19
3.369140624999999556e+00 3.130344195468614963e-20 6.795807568975798745e-20 4.019090482119095909e-19
3.393554687499999556e+00 3.243021908333585938e-20 7.539709964234422833e-20 4.101605610004365047e-19
3.417968749999999556e+00 3.216839531131985519e-20 7.387977901273680951e-20 4.180083281719745514e-19
3.442382812499999556e+00 3.323256158222323546e-20 7.220003580990104400e-20 4.034874887790773813e-19
3.466796874999999556e+00 3.223102883506798385e-20 6.971292838022326483e-20 4.103351815692068348e-19
3.491210937499999556e+00 3.261080316920285670e-20 6.957999210800528449e-20 4.120612204519725237e-19
3.515624999999999556e+00 3.493833117008556932e-20 7.460766270522583547e-20 4.453647891622566404e-19
3.540039062499999556e+00 3.578789573404474721e-20 7.478189212843750997e-20 4.507628930788696926e-19
3.564453124999999556e+00 3.302417138612801161e-20 7.160710130696049444e-20 4.319312962537447833e-19
3.588867187499999556e+00 3.038122891569412303e-20 6.424522193855211539e-20 4.229262852720142639e-19
3.613281249999999556e+00 3.090222798595565146e-20 6.262483630512275206e-20 4.086948820672373786e-19
3.637695312499999556e+00 3.190034922666486688e-20 6.893944612714199603e-20 4.246112037675540578e-19
3.662109374999999556e+00 3.242603571441416856e-20 6.770359093895570926e-20 4.252904709891205254e-19
3.686523437499999556e+00 3.246931497873365757e-20 6.764048236745219599e-20 4.190838183655446430e-19
3.710937499999999556e+00 2.906378549014621186e-20 5.817086653085265746e-20 3.841725163085210149e-19
3.735351562499999556e+00 2.915151599416935872e-20 5.956985073972432442e-20 3.791563335539667862e-19
3.759765624999999556e+00 3.153053151640624702e-20 6.301621273223975273e-20 3.740707193779514723e-19
3.784179687499999556e+00 3.067851269997571517e-20 6.497114767112813548e-20 3.682062719483193044e-19
3.808593749999999556e+00 3.409599015030971578e-20 7.259509740595398440e-20 3.790053173956447513e-19
3.833007812499999556e+00 3.288247856459279932e-20 6.908936879728608619e-20 3.635121810589961153e-19
3.857421874999999556e+00 2.737411792173794860e-20 5.734554356082765818e-20 3.366667172937830682e-19
3.881835937499999556e+00 2.519199616273765461e-20 5.319464958629001730e-20 3.330791731957435504e-19
3.906249999999999556e+00 2.635868739640876724e-20 5.603741706771375506e-20 3.452082839728102314e-19
3.930664062499999556e+00 2.683592486451963465e-20 5.443442092176088947e-20 3.392220841513978027e-19
3.955078124999999556e+00 2.857008662345144598e-20 5.388836376706826124e-20 3.382795788555902007e-19
3.979492187499999556e+00 2.551893330706099986e-20 5.044629635782139336e-20 3.167772517174922809e-19
