# coord_A   rho_avg_e_per_A3
9.385714285714286120e+00 -6.311058078817852190e-02
9.428571428571428825e+00 -4.396982573792132531e-02
9.471428571428571530e+00 -2.386544581737067711e-02
9.514285714285714235e+00 -3.200489484441289972e-03
9.557142857142856940e+00 1.752598411261345815e-02
9.599999999999999645e+00 3.769535771348748315e-02
9.642857142857142350e+00 5.656233300720830970e-02
9.685714285714285054e+00 7.326807131191949429e-02
9.728571428571429536e+00 8.687668969348491532e-02
9.771428571428572241e+00 9.643662251982269840e-02
9.814285714285714946e+00 1.010619660110017720e-01
9.857142857142857650e+00 1.000219844611269504e-01
9.900000000000000355e+00 9.283235013880501707e-02
9.942857142857143060e+00 7.934915156259218783e-02
9.985714285714285765e+00 5.984625338811540990e-02
1.002857142857142847e+01 3.506108562760094222e-02
1.007142857142857117e+01 6.197387441053933341e-03
1.011428571428571388e+01 -2.512325518381601855e-02
1.015714285714285658e+01 -5.696354728336344708e-02
1.019999999999999929e+01 -8.722060632273730130e-02
1.024285714285714377e+01 -1.138090253135320695e-01
1.028571428571428648e+01 -1.348535113896746074e-01
1.032857142857142918e+01 -1.488646822332190811e-01
1.037142857142857189e+01 -1.548735559657927752e-01
1.041428571428571459e+01 -1.525076917898939011e-01
1.045714285714285730e+01 -1.420030866195320096e-01
1.050000000000000000e+01 -1.241562357687485268e-01
1.054285714285714270e+01 -1.002268894131896626e-01
1.058571428571428541e+01 -7.180648882586113113e-02
1.062857142857142811e+01 -4.066718042864629623e-02
1.067142857142857082e+01 -8.606391363981311798e-03
1.071428571428571352e+01 2.269956590624761308e-02
1.075714285714285801e+01 5.181908319881289859e-02
1.080000000000000071e+01 7.765495185373731679e-02
1.084285714285714342e+01 9.949198604263523316e-02
1.088571428571428612e+01 1.169932125782893878e-01
1.092857142857142883e+01 1.301134459459877268e-01
1.097142857142857153e+01 1.389987374010354104e-01
1.101428571428571423e+01 1.439112451696985817e-01
1.105714285714285694e+01 1.451587413486308820e-01
1.109999999999999964e+01 1.430352354832288286e-01
1.114285714285714235e+01 1.377800239300565333e-01
