# coord_A   integrated_rho
1.328571428571428648e+01 -2.642323271118268702e-01
1.332857142857142918e+01 -2.936705437214788827e-01
1.337142857142857189e+01 -3.312602886020509230e-01
1.341428571428571459e+01 -3.760198431945687703e-01
1.345714285714285730e+01 -4.266201882614873986e-01
1.350000000000000000e+01 -4.814746557105861746e-01
1.354285714285714270e+01 -5.388490647696401181e-01
1.358571428571428541e+01 -5.969806810004897324e-01
1.362857142857142811e+01 -6.541935842682167213e-01
1.367142857142857082e+01 -7.089988042045315408e-01
1.371428571428571530e+01 -7.601697993072321635e-01
1.375714285714285801e+01 -8.067872706709264818e-01
1.380000000000000071e+01 -8.482515309630564992e-01
1.384285714285714342e+01 -8.842650045676232473e-01
1.388571428571428612e+01 -9.147912572182989033e-01
1.392857142857142883e+01 -9.399994382523649827e-01
1.397142857142857153e+01 -9.602036885814242417e-01
1.401428571428571423e+01 -9.758059262438655290e-01
1.405714285714285694e+01 -9.872480269894150506e-01
1.409999999999999964e+01 -9.949762783143569767e-01
1.414285714285714235e+01 -9.994181932446338790e-01
1.418571428571428505e+01 -1.000969658226535053e+00
1.422857142857142954e+01 -9.999894574363993316e-01
1.427142857142857224e+01 -9.967983521860450669e-01
1.431428571428571495e+01 -9.916802637624436700e-01
1.435714285714285765e+01 -9.848776172341415780e-01
1.440000000000000036e+01 -9.765803940507480352e-01
1.444285714285714306e+01 -9.669217338184711297e-01
1.448571428571428577e+01 -9.559858836062939957e-01
1.452857142857142847e+01 -9.438130858007098833e-01
1.457142857142857117e+01 -9.303568153935681817e-01
1.461428571428571388e+01 -9.154577375509972414e-01
1.465714285714285658e+01 -8.988838850907051592e-01
1.469999999999999929e+01 -8.804248831643854967e-01
1.474285714285714377e+01 -8.600005069379519362e-01
1.478571428571428648e+01 -8.377341422087639655e-01
1.482857142857142918e+01 -8.139452982503563305e-01
1.487142857142857189e+01 -7.890466513789122782e-01
1.491428571428571459e+01 -7.633700328776349409e-01
1.495714285714285730e+01 -7.369479327790714462e-01
1.500000000000000000e+01 -7.093014568409224951e-01
1.504285714285714270e+01 -6.793058474367107413e-01
1.508571428571428541e+01 -6.451928750709082783e-01
1.512857142857142811e+01 -6.047188620427429440e-01
1.517142857142857082e+01 -5.554878242575335134e-01
1.521428571428571530e+01 -4.953809265488734459e-01
1.525714285714285801e+01 -4.230153819875815402e-01
1.530000000000000071e+01 -3.381459192283614024e-01
1.534285714285714342e+01 -2.419312755067941911e-01
1.538571428571428612e+01 -1.370154365951401498e-01
1.542857142857142883e+01 -2.741174271019015257e-02
1.547142857142857153e+01 8.178332810561780852e-02
1.551428571428571423e+01 1.847905079307265996e-01
1.555714285714285694e+01 2.755942163875285122e-01
1.559999999999999964e+01 3.483739075043367217e-01
1.564285714285714235e+01 3.978801066928082664e-01
1.568571428571428505e+01 4.197425459527041047e-01
1.572857142857142954e+01 4.107165799763607406e-01
1.577142857142857224e+01 3.688847629913439286e-01
1.581428571428571495e+01 2.938240103448486740e-01
1.585714285714285765e+01 1.867342936242467888e-01
1.590000000000000036e+01 5.050527911456851454e-02
1.594285714285714306e+01 -1.103502760140160632e-01
1.598571428571428577e+01 -2.899535229069947206e-01
1.602857142857142847e+01 -4.814438678132741956e-01
1.607142857142857295e+01 -6.774437213309572048e-01
1.611428571428571388e+01 -8.705612372550395328e-01
1.615714285714285836e+01 -1.053883057010983615e+00
1.619999999999999929e+01 -1.221409277542082616e+00
1.624285714285714377e+01 -1.368389428770467431e+00
1.628571428571428470e+01 -1.491530934208304293e+00
1.632857142857142918e+01 -1.589069194522500394e+00
1.637142857142857011e+01 -1.660708155100445671e+00
1.641428571428571459e+01 -1.707457807974062991e+00
1.645714285714285552e+01 -1.731406816887027578e+00
1.650000000000000000e+01 -1.735472216323335370e+00
1.654285714285714448e+01 -1.723162253206385941e+00
1.658571428571428541e+01 -1.698376293684796146e+00
1.662857142857142989e+01 -1.665251282271950739e+00
1.667142857142857082e+01 -1.628049124480109411e+00
1.671428571428571530e+01 -1.591071216904230035e+00
1.675714285714285623e+01 -1.558582740652878273e+00
1.680000000000000071e+01 -1.534733343747405554e+00
1.684285714285714164e+01 -1.523460747299552054e+00
1.688571428571428612e+01 -1.528353226667158449e+00
1.692857142857142705e+01 -1.552500487477070479e+00
1.697142857142857153e+01 -1.598381568807297537e+00
1.701428571428571601e+01 -1.667788090958113090e+00
1.705714285714285694e+01 -1.761673675193854871e+00
1.710000000000000142e+01 -1.879850991228332324e+00
1.714285714285714235e+01 -2.020739592323764544e+00
1.718571428571428683e+01 -2.181448327302180967e+00
1.722857142857142776e+01 -2.358126224656725167e+00
1.727142857142857224e+01 -2.546357509525958296e+00
1.731428571428571317e+01 -2.741346159566473872e+00
1.735714285714285765e+01 -2.937705077493359074e+00
1.739999999999999858e+01 -3.128762212046615421e+00
1.744285714285714306e+01 -3.305476054355763527e+00
1.748571428571428754e+01 -3.455263149872694672e+00
1.752857142857142847e+01 -3.561117755395839524e+00
1.757142857142857295e+01 -3.601426075487494938e+00
1.761428571428571388e+01 -3.550801309573766051e+00
1.765714285714285836e+01 -3.382053228919183585e+00
1.769999999999999929e+01 -3.069152573990294730e+00
1.774285714285714377e+01 -2.590800661539730321e+00
1.778571428571428470e+01 -1.934053796703570249e+00
1.782857142857142918e+01 -1.097404248244825187e+00
1.787142857142857011e+01 -9.279001036023087901e-02
1.791428571428571459e+01 1.053796532651331885e+00
1.795714285714285907e+01 2.303175346767549758e+00
1.800000000000000000e+01 3.605135352799226922e+00
1.804285714285714448e+01 4.901493025498830924e+00
1.808571428571428541e+01 6.129574419693249787e+00
1.812857142857142989e+01 7.225676918748655808e+00
1.817142857142857082e+01 8.128208341528491587e+00
1.821428571428571530e+01 8.780390781588574001e+00
1.825714285714285623e+01 9.132574276621422626e+00
1.830000000000000071e+01 9.144288654636183011e+00
1.834285714285714164e+01 8.786130760915344950e+00
1.838571428571428612e+01 8.041472149882379128e+00
1.842857142857142705e+01 6.907783805240215180e+00
1.847142857142857153e+01 5.397214028769917071e+00
1.851428571428571601e+01 3.536131017359231521e+00
1.855714285714285694e+01 1.363785428149540513e+00
1.860000000000000142e+01 -1.069650680370975548e+00
1.864285714285714235e+01 -3.705456208483698610e+00
1.868571428571428683e+01 -6.478935686909013114e+00
1.872857142857142776e+01 -9.322028800468174836e+00
1.877142857142857224e+01 -1.216584507214086841e+01
1.881428571428571317e+01 -1.494305403900860973e+01
