# coord_A   rho_avg_e_per_A3
9.642857142857142350e+00 5.656233300724302498e-02
9.685714285714285054e+00 7.326807131191946654e-02
9.728571428571429536e+00 8.687668969342958458e-02
9.771428571428572241e+00 9.643662251993799506e-02
9.814285714285714946e+00 1.010619660110907425e-01
9.857142857142857650e+00 1.000219844612300485e-01
9.900000000000000355e+00 9.283235013882888687e-02
9.942857142857143060e+00 7.934915156263645797e-02
9.985714285714285765e+00 5.984625338811827566e-02
1.002857142857142847e+01 3.506108562760029690e-02
1.007142857142857117e+01 6.197387441054141508e-03
1.011428571428571388e+01 -2.512325518385217712e-02
1.015714285714285658e+01 -5.696354728336412709e-02
1.019999999999999929e+01 -8.722060632273466452e-02
1.024285714285714377e+01 -1.138090253135291829e-01
1.028571428571428648e+01 -1.348535113897163240e-01
1.032857142857142918e+01 -1.488646822333006825e-01
1.037142857142857189e+01 -1.548735559658150907e-01
1.041428571428571459e+01 -1.525076917899365614e-01
1.045714285714285730e+01 -1.420030866195829689e-01
1.050000000000000000e+01 -1.241562357686667173e-01
1.054285714285714270e+01 -1.002268894132705146e-01
1.058571428571428541e+01 -7.180648882585971560e-02
1.062857142857142811e+01 -4.066718042865265226e-02
1.067142857142857082e+01 -8.606391363977419079e-03
1.071428571428571352e+01 2.269956590626513032e-02
1.075714285714285801e+01 5.181908319882995440e-02
1.080000000000000071e+01 7.765495185374340914e-02
1.084285714285714342e+01 9.949198604261197398e-02
1.088571428571428612e+01 1.169932125783298416e-01
1.092857142857142883e+01 1.301134459460070447e-01
1.097142857142857153e+01 1.389987374010326349e-01
1.101428571428571423e+01 1.439112451696739903e-01
1.105714285714285694e+01 1.451587413486333522e-01
1.109999999999999964e+01 1.430352354832735429e-01
1.114285714285714235e+01 1.377800239300339125e-01
1.118571428571428505e+01 1.295597473218432216e-01
1.122857142857142954e+01 1.184739553492813180e-01
1.127142857142857224e+01 1.045800893536791565e-01
1.131428571428571495e+01 8.792987484622963312e-02
1.135714285714285765e+01 6.860721621149554195e-02
1.140000000000000036e+01 4.675816273181374744e-02
1.144285714285714306e+01 2.260705619374254322e-02
1.148571428571428577e+01 -3.542681374821486130e-03
1.152857142857142847e+01 -3.132074040597486453e-02
1.157142857142857117e+01 -6.030871794047192036e-02
1.161428571428571388e+01 -9.005956874990397876e-02
1.165714285714285658e+01 -1.201121182881737665e-01
1.169999999999999929e+01 -1.499983836292188288e-01
1.174285714285714377e+01 -1.792436357538944036e-01
1.178571428571428648e+01 -2.073615551711665561e-01
1.182857142857142918e+01 -2.338386409240716390e-01
1.187142857142857189e+01 -2.581071517268412885e-01
1.191428571428571459e+01 -2.795418654181835993e-01
1.195714285714285730e+01 -2.974725999196378701e-01
1.200000000000000000e+01 -3.112011424153116601e-01
1.204285714285714270e+01 -3.199758468834705827e-01
1.208571428571428541e+01 -3.229669357057579071e-01
1.212857142857142811e+01 -3.193132061001769384e-01
1.217142857142857082e+01 -3.081833880741091103e-01
1.221428571428571352e+01 -2.888369662634619472e-01
1.225714285714285801e+01 -2.606761273101286802e-01
1.230000000000000071e+01 -2.232935299176902755e-01
1.234285714285714342e+01 -1.765205549476242530e-01
1.238571428571428612e+01 -1.204959796413965778e-01
1.242857142857142883e+01 -5.572655384459638400e-02
1.247142857142857153e+01 1.687296468440688951e-02
1.251428571428571423e+01 9.594836783228102850e-02
1.255714285714285694e+01 1.796861790375705037e-01
1.259999999999999964e+01 2.658110438475646542e-01
1.264285714285714235e+01 3.516017434036528555e-01
1.268571428571428505e+01 4.339246525514999786e-01
1.272857142857142954e+01 5.092838118450352392e-01
1.277142857142857224e+01 5.738927237559870997e-01
1.281428571428571495e+01 6.237760359079898009e-01
1.285714285714285765e+01 6.549126060941680150e-01
1.290000000000000036e+01 6.634292610141351298e-01
1.294285714285714306e+01 6.458486146576052356e-01
1.298571428571428577e+01 5.993838195462961593e-01
1.302857142857142847e+01 5.222655689689282843e-01
1.307142857142857117e+01 4.140755993568269178e-01
1.311428571428571388e+01 2.760494502159437369e-01
1.315714285714285658e+01 1.113028762194322452e-01
1.319999999999999929e+01 -7.507424623236311212e-02
1.324285714285714377e+01 -2.761082670122275706e-01
1.328571428571428648e+01 -4.832479362390508792e-01
1.332857142857142918e+01 -6.868917208920166662e-01
1.337142857142857189e+01 -8.770940472131616428e-01
1.341428571428571459e+01 -1.044389607159021738e+00
1.345714285714285730e+01 -1.180674718228023057e+00
1.350000000000000000e+01 -1.279937573812351070e+00
1.354285714285714270e+01 -1.338736211377770768e+00
1.358571428571428541e+01 -1.356404378720015735e+00
1.362857142857142811e+01 -1.334967742913477418e+00
1.367142857142857082e+01 -1.278788465180664691e+00
1.371428571428571530e+01 -1.193989885729820566e+00
1.375714285714285801e+01 -1.087740998486194322e+00
1.380000000000000071e+01 -9.674994068160845950e-01
1.384285714285714342e+01 -8.403143841063215325e-01
1.388571428571428612e+01 -7.122792285162715675e-01
1.392857142857142883e+01 -5.881908907945452292e-01
1.397142857142857153e+01 -4.714325076780906398e-01
1.401428571428571423e+01 -3.640522121240444831e-01
1.405714285714285694e+01 -2.669823507291352316e-01
1.409999999999999964e+01 -1.803258642486018082e-01
1.414285714285714235e+01 -1.036446817049154062e-01
1.418571428571428505e+01 -3.620084957655621272e-02
1.422857142857142954e+01 2.287135177082800369e-02
1.427142857142857224e+01 7.445912250748260020e-02
1.431428571428571495e+01 1.194220632170227558e-01
1.435714285714285765e+01 1.587284189936661871e-01
1.440000000000000036e+01 1.936018742781971946e-01
