# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 4 jobs
3.7560566570e+00 1.7353542204e+02 3.8467430651e+00
3.7687890524e+00 1.7434337116e+02 4.1232795620e+00
3.7815214479e+00 1.7511592608e+02 4.4031938073e+00
3.7942538433e+00 1.7585120089e+02 4.6825888399e+00
3.8069862388e+00 1.7654961268e+02 4.9579752768e+00
3.8197186342e+00 1.7720951681e+02 5.2258332978e+00
3.8324510297e+00 1.7782927460e+02 5.4831794373e+00
3.8451834251e+00 1.7840938928e+02 5.7282538578e+00
3.8579158205e+00 1.7894900747e+02 5.9584438925e+00
3.8706482160e+00 1.7944694981e+02 6.1722394761e+00
3.8833806114e+00 1.7990296375e+02 6.3681535713e+00
3.8961130069e+00 1.8031732125e+02 6.5445352754e+00
3.9088454023e+00 1.8068906386e+02 6.7010222221e+00
3.9215777978e+00 1.8101913405e+02 6.8368309819e+00
3.9343101932e+00 1.8130815704e+02 6.9514379850e+00
3.9470425887e+00 1.8155572854e+02 7.0448058929e+00
3.9597749841e+00 1.8176269703e+02 7.1171338615e+00
3.9725073796e+00 1.8193016017e+02 7.1684660100e+00
3.9852397750e+00 1.8205964593e+02 7.1999137387e+00
3.9979721705e+00 1.8215169221e+02 7.2117968834e+00
4.0107045659e+00 1.8220861385e+02 7.2051622615e+00
4.0234369614e+00 1.8223127596e+02 7.1815397404e+00
4.0361693568e+00 1.8222168295e+02 7.1416214884e+00
4.0489017523e+00 1.8218154466e+02 7.0871035809e+00
4.0616341477e+00 1.8211340589e+02 7.0195783944e+00
4.0743665432e+00 1.8201946111e+02 6.9402467695e+00
4.0870989386e+00 1.8190138219e+02 6.8511332416e+00
4.0998313340e+00 1.8176084498e+02 6.7534427765e+00
4.1125637295e+00 1.8160100344e+02 6.6482016966e+00
4.1252961249e+00 1.8142362953e+02 6.5372490477e+00
4.1380285204e+00 1.8123082971e+02 6.4215963288e+00
4.1507609158e+00 1.8102487045e+02 6.3022864256e+00
4.1634933113e+00 1.8080687718e+02 6.1804645355e+00
4.1762257067e+00 1.8057947177e+02 6.0561928581e+00
4.1889581022e+00 1.8034360260e+02 5.9309314131e+00
4.2016904976e+00 1.8010072392e+02 5.8039940148e+00
4.2144228931e+00 1.7985201680e+02 5.6756575880e+00
4.2271552885e+00 1.7959857998e+02 5.5465113875e+00
4.2398876840e+00 1.7934086840e+02 5.4154253631e+00
4.2526200794e+00 1.7907881674e+02 5.2824390600e+00
4.2653524749e+00 1.7881253094e+02 5.1475272645e+00
4.2780848703e+00 1.7854233567e+02 5.0097456690e+00
4.2908172658e+00 1.7826728510e+02 4.8682748897e+00
4.3035496612e+00 1.7798644019e+02 4.7237381849e+00
4.3162820567e+00 1.7769924538e+02 4.5746621968e+00
4.3290144521e+00 1.7740301758e+02 4.4212154919e+00
4.3417468475e+00 1.7709740770e+02 4.2636292345e+00
4.3544792430e+00 1.7678013444e+02 4.1014318995e+00
4.3672116384e+00 1.7644930298e+02 3.9346284273e+00
4.3799440339e+00 1.7610207792e+02 3.7636196010e+00
4.3926764293e+00 1.7573601432e+02 3.5888137300e+00
4.4054088248e+00 1.7534947305e+02 3.4109269143e+00
4.4181412202e+00 1.7493953140e+02 3.2304620932e+00
4.4308736157e+00 1.7450305028e+02 3.0483694533e+00
4.4436060111e+00 1.7403888964e+02 2.8653283473e+00
4.4563384066e+00 1.7354269255e+02 2.6828676848e+00
4.4690708020e+00 1.7301365541e+02 2.5019214657e+00
4.4818031975e+00 1.7244823886e+02 2.3233522163e+00
4.4945355929e+00 1.7184474148e+02 2.1485955977e+00
