# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
3.0303101165e+00 6.8438346333e-06 2.1610377120e-07
3.0430425119e+00 6.8847788441e-06 2.1974981478e-07
3.0557749074e+00 6.9275598912e-06 2.2361515833e-07
3.0685073028e+00 6.9722630235e-06 2.2761334444e-07
3.0812396983e+00 7.0189669643e-06 2.3166700827e-07
3.0939720937e+00 7.0677543394e-06 2.3571780120e-07
3.1067044892e+00 7.1186652475e-06 2.3971356235e-07
3.1194368846e+00 7.1717394635e-06 2.4362097922e-07
3.1321692800e+00 7.2270145756e-06 2.4741032262e-07
3.1449016755e+00 7.2844831567e-06 2.5106220230e-07
3.1576340709e+00 7.3441547970e-06 2.5456406038e-07
3.1703664664e+00 7.4059963535e-06 2.5790838179e-07
3.1830988618e+00 7.4699786687e-06 2.6108741866e-07
3.1958312573e+00 7.5360513442e-06 2.6410674943e-07
3.2085636527e+00 7.6041487371e-06 2.6695412668e-07
3.2212960482e+00 7.6741903713e-06 2.6963202878e-07
3.2340284436e+00 7.7460871173e-06 2.7213765489e-07
3.2467608391e+00 7.8197433197e-06 2.7446289549e-07
3.2594932345e+00 7.8950377287e-06 2.7659642948e-07
3.2722256300e+00 7.9718660994e-06 2.7852165171e-07
3.2849580254e+00 8.0500879528e-06 2.8022617331e-07
3.2976904209e+00 8.1295733769e-06 2.8168265831e-07
3.3104228163e+00 8.2101946449e-06 2.8286342870e-07
3.3231552118e+00 8.2918049161e-06 2.8374003525e-07
3.3358876072e+00 8.3742507635e-06 2.8426958264e-07
3.3486200027e+00 8.4574110867e-06 2.8441686300e-07
3.3613523981e+00 8.5411261681e-06 2.8413679078e-07
3.3740847935e+00 8.6252643416e-06 2.8338842898e-07
3.3868171890e+00 8.7096768328e-06 2.8212467405e-07
3.3995495844e+00 8.7942426649e-06 2.8029853821e-07
3.4122819799e+00 8.8788261410e-06 2.7786959101e-07
3.4250143753e+00 8.9633043721e-06 2.7479658710e-07
3.4377467708e+00 9.0475525986e-06 2.7104607756e-07
3.4504791662e+00 9.1314631633e-06 2.6658681417e-07
3.4632115617e+00 9.2149243293e-06 2.6140240772e-07
