# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
5.1948173425e+00 2.8852071496e-05
5.2075497380e+00 2.8949868382e-05
5.2202821334e+00 2.9047226423e-05
5.2330145289e+00 2.9144128080e-05
5.2457469243e+00 2.9240553581e-05
5.2584793198e+00 2.9336481165e-05
5.2712117152e+00 2.9431887355e-05
5.2839441107e+00 2.9526747240e-05
5.2966765061e+00 2.9621034787e-05
5.3094089015e+00 2.9714723154e-05
5.3221412970e+00 2.9807785030e-05
5.3348736924e+00 2.9900192966e-05
5.3476060879e+00 2.9991919721e-05
5.3603384833e+00 3.0082938595e-05
5.3730708788e+00 3.0173223768e-05
5.3858032742e+00 3.0262750621e-05
5.3985356697e+00 3.0351496058e-05
5.4112680651e+00 3.0439438797e-05
5.4240004606e+00 3.0526559657e-05
5.4367328560e+00 3.0612841812e-05
5.4494652515e+00 3.0698271028e-05
5.4621976469e+00 3.0782835874e-05
5.4749300424e+00 3.0866527896e-05
5.4876624378e+00 3.0949341771e-05
5.5003948333e+00 3.1031275423e-05
5.5131272287e+00 3.1112330110e-05
5.5258596242e+00 3.1192510477e-05
5.5385920196e+00 3.1271824572e-05
5.5513244150e+00 3.1350283832e-05
5.5640568105e+00 3.1427903039e-05
5.5767892059e+00 3.1504700239e-05
5.5895216014e+00 3.1580696638e-05
5.6022539968e+00 3.1655916456e-05
5.6149863923e+00 3.1730386767e-05
5.6277187877e+00 3.1804137305e-05
5.6404511832e+00 3.1877200256e-05
5.6531835786e+00 3.1949610023e-05
5.6659159741e+00 3.2021402977e-05
5.6786483695e+00 3.2092617195e-05
5.6913807650e+00 3.2163292188e-05
5.7041131604e+00 3.2233468617e-05
5.7168455559e+00 3.2303188007e-05
5.7295779513e+00 3.2372492467e-05
5.7423103468e+00 3.2441424399e-05
5.7550427422e+00 3.2510026219e-05
5.7677751377e+00 3.2578340089e-05
5.7805075331e+00 3.2646407655e-05
5.7932399285e+00 3.2714269797e-05
5.8059723240e+00 3.2781966405e-05
5.8187047194e+00 3.2849536167e-05
5.8314371149e+00 3.2917016371e-05
5.8441695103e+00 3.2984442742e-05
5.8569019058e+00 3.3051849296e-05
5.8696343012e+00 3.3119268216e-05
5.8823666967e+00 3.3186729755e-05
5.8950990921e+00 3.3254262172e-05
5.9078314876e+00 3.3321891686e-05
5.9205638830e+00 3.3389642458e-05
5.9332962785e+00 3.3457536595e-05
5.9460286739e+00 3.3525594186e-05
5.9587610694e+00 3.3593833354e-05
5.9714934648e+00 3.3662270335e-05
5.9842258603e+00 3.3730919576e-05
5.9969582557e+00 3.3799793846e-05
6.0096906511e+00 3.3868904376e-05
6.0224230466e+00 3.3938260997e-05
6.0351554420e+00 3.4007872303e-05
6.0478878375e+00 3.4077745817e-05
6.0606202329e+00 3.4147888164e-05
6.0733526284e+00 3.4218305252e-05
6.0860850238e+00 3.4289002447e-05
6.0988174193e+00 3.4359984752e-05
6.1115498147e+00 3.4431256981e-05
6.1242822102e+00 3.4502823925e-05
6.1370146056e+00 3.4574690512e-05
6.1497470011e+00 3.4646861948e-05
6.1624793965e+00 3.4719343856e-05
6.1752117920e+00 3.4792142389e-05
6.1879441874e+00 3.4865264332e-05
6.2006765829e+00 3.4938717185e-05
6.2134089783e+00 3.5012509226e-05
6.2261413738e+00 3.5086649548e-05
6.2388737692e+00 3.5161148081e-05
6.2516061646e+00 3.5236015589e-05
6.2643385601e+00 3.5311263644e-05
6.2770709555e+00 3.5386904582e-05
6.2898033510e+00 3.5462951434e-05
6.3025357464e+00 3.5539417837e-05
6.3152681419e+00 3.5616317924e-05
6.3280005373e+00 3.5693666202e-05
6.3407329328e+00 3.5771477399e-05
6.3534653282e+00 3.5849766313e-05
6.3661977237e+00 3.5928547635e-05
6.3789301191e+00 3.6007835764e-05
6.3916625146e+00 3.6087644618e-05
6.4043949100e+00 3.6167987429e-05
6.4171273055e+00 3.6248876542e-05
6.4298597009e+00 3.6330323210e-05
6.4425920964e+00 3.6412337387e-05
6.4553244918e+00 3.6494927528e-05
6.4680568873e+00 3.6578100392e-05
6.4807892827e+00 3.6661860857e-05
6.4935216781e+00 3.6746211741e-05
6.5062540736e+00 3.6831153646e-05
6.5189864690e+00 3.6916684809e-05
6.5317188645e+00 3.7002800972e-05
6.5444512599e+00 3.7089495269e-05
6.5571836554e+00 3.7176758143e-05
6.5699160508e+00 3.7264577281e-05
6.5826484463e+00 3.7352937571e-05
6.5953808417e+00 3.7441821080e-05
6.6081132372e+00 3.7531207064e-05
6.6208456326e+00 3.7621072004e-05
6.6335780281e+00 3.7711389660e-05
6.6463104235e+00 3.7802131161e-05
6.6590428190e+00 3.7893265107e-05
6.6717752144e+00 3.7984757711e-05
6.6845076099e+00 3.8076572949e-05
6.6972400053e+00 3.8168672745e-05
6.7099724008e+00 3.8261017164e-05
6.7227047962e+00 3.8353564634e-05
6.7354371916e+00 3.8446272181e-05
6.7481695871e+00 3.8539095676e-05
6.7609019825e+00 3.8631990100e-05
6.7736343780e+00 3.8724909816e-05
6.7863667734e+00 3.8817808846e-05
6.7990991689e+00 3.8910641156e-05
6.8118315643e+00 3.9003360945e-05
6.8245639598e+00 3.9095922929e-05
6.8372963552e+00 3.9188282625e-05
6.8500287507e+00 3.9280396629e-05
6.8627611461e+00 3.9372222887e-05
6.8754935416e+00 3.9463720951e-05
6.8882259370e+00 3.9554852231e-05
6.9009583325e+00 3.9645580220e-05
6.9136907279e+00 3.9735870710e-05
6.9264231234e+00 3.9825691991e-05
6.9391555188e+00 3.9915015022e-05
6.9518879143e+00 4.0003813587e-05
6.9646203097e+00 4.0092064424e-05
6.9773527051e+00 4.0179747334e-05
6.9900851006e+00 4.0266845263e-05
7.0028174960e+00 4.0353344359e-05
7.0155498915e+00 4.0439234007e-05
7.0282822869e+00 4.0524506840e-05
7.0410146824e+00 4.0609158721e-05
7.0537470778e+00 4.0693188707e-05
7.0664794733e+00 4.0776598990e-05
7.0792118687e+00 4.0859394813e-05
7.0919442642e+00 4.0941584374e-05
7.1046766596e+00 4.1023178699e-05
7.1174090551e+00 4.1104191513e-05
7.1301414505e+00 4.1184639086e-05
7.1428738460e+00 4.1264540071e-05
7.1556062414e+00 4.1343915328e-05
7.1683386369e+00 4.1422787741e-05
7.1810710323e+00 4.1501182030e-05
7.1938034278e+00 4.1579124558e-05
7.2065358232e+00 4.1656643127e-05
7.2192682186e+00 4.1733766792e-05
7.2320006141e+00 4.1810525655e-05
7.2447330095e+00 4.1886950678e-05
7.2574654050e+00 4.1963073495e-05
7.2701978004e+00 4.2038926229e-05
7.2829301959e+00 4.2114541321e-05
7.2956625913e+00 4.2189951363e-05
7.3083949868e+00 4.2265188942e-05
7.3211273822e+00 4.2340286499e-05
7.3338597777e+00 4.2415276195e-05
7.3465921731e+00 4.2490189792e-05
