# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
5.0038314108e+00 4.3796902208e+02
5.0165638063e+00 4.3963825521e+02
5.0292962017e+00 4.4129924398e+02
5.0420285972e+00 4.4295236758e+02
5.0547609926e+00 4.4459797302e+02
5.0674933880e+00 4.4623637120e+02
5.0802257835e+00 4.4786783350e+02
5.0929581789e+00 4.4949258880e+02
5.1056905744e+00 4.5111082101e+02
5.1184229698e+00 4.5272266705e+02
5.1311553653e+00 4.5432821549e+02
5.1438877607e+00 4.5592750564e+02
5.1566201562e+00 4.5752052733e+02
5.1693525516e+00 4.5910722120e+02
5.1820849471e+00 4.6068747960e+02
5.1948173425e+00 4.6226114793e+02
5.2075497380e+00 4.6382802680e+02
5.2202821334e+00 4.6538787457e+02
5.2330145289e+00 4.6694041028e+02
5.2457469243e+00 4.6848531712e+02
5.2584793198e+00 4.7002224647e+02
5.2712117152e+00 4.7155082215e+02
5.2839441107e+00 4.7307064506e+02
5.2966765061e+00 4.7458129810e+02
5.3094089015e+00 4.7608235124e+02
5.3221412970e+00 4.7757336687e+02
5.3348736924e+00 4.7905390522e+02
5.3476060879e+00 4.8052352985e+02
5.3603384833e+00 4.8198181299e+02
5.3730708788e+00 4.8342834093e+02
5.3858032742e+00 4.8486271926e+02
5.3985356697e+00 4.8628457790e+02
5.4112680651e+00 4.8769357592e+02
5.4240004606e+00 4.8908940599e+02
5.4367328560e+00 4.9047179852e+02
5.4494652515e+00 4.9184052546e+02
5.4621976469e+00 4.9319540366e+02
5.4749300424e+00 4.9453629768e+02
5.4876624378e+00 4.9586312224e+02
5.5003948333e+00 4.9717584406e+02
5.5131272287e+00 4.9847448332e+02
5.5258596242e+00 4.9975911442e+02
5.5385920196e+00 5.0102986632e+02
5.5513244150e+00 5.0228692225e+02
5.5640568105e+00 5.0353051904e+02
5.5767892059e+00 5.0476094584e+02
5.5895216014e+00 5.0597854238e+02
5.6022539968e+00 5.0718369673e+02
5.6149863923e+00 5.0837684265e+02
5.6277187877e+00 5.0955845654e+02
5.6404511832e+00 5.1072905407e+02
5.6531835786e+00 5.1188918643e+02
5.6659159741e+00 5.1303943637e+02
5.6786483695e+00 5.1418041394e+02
5.6913807650e+00 5.1531275217e+02
5.7041131604e+00 5.1643710251e+02
5.7168455559e+00 5.1755413029e+02
5.7295779513e+00 5.1866451015e+02
5.7423103468e+00 5.1976892146e+02
5.7550427422e+00 5.2086804379e+02
5.7677751377e+00 5.2196255265e+02
5.7805075331e+00 5.2305311528e+02
5.7932399285e+00 5.2414038667e+02
5.8059723240e+00 5.2522500591e+02
5.8187047194e+00 5.2630759285e+02
5.8314371149e+00 5.2738874491e+02
5.8441695103e+00 5.2846903447e+02
5.8569019058e+00 5.2954900653e+02
5.8696343012e+00 5.3062917670e+02
5.8823666967e+00 5.3171002972e+02
5.8950990921e+00 5.3279201832e+02
5.9078314876e+00 5.3387556260e+02
5.9205638830e+00 5.3496104964e+02
5.9332962785e+00 5.3604883364e+02
5.9460286739e+00 5.3713923646e+02
5.9587610694e+00 5.3823254847e+02
5.9714934648e+00 5.3932902979e+02
