# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
2.3936903441e+00 5.3910343025e-06 5.4633109262e-06 5.1592977697e-06 4.9212565019e-06
2.4064227395e+00 5.4383490723e-06 5.5484567551e-06 5.1532196359e-06 4.9254353831e-06
2.4191551350e+00 5.4870441688e-06 5.6315295979e-06 5.1477616684e-06 4.9293422354e-06
2.4318875304e+00 5.5370669998e-06 5.7122895057e-06 5.1432356310e-06 4.9332249073e-06
2.4446199259e+00 5.5883227272e-06 5.7905170968e-06 5.1399331195e-06 4.9372854775e-06
2.4573523213e+00 5.6406906479e-06 5.8659852767e-06 5.1381398473e-06 4.9417605679e-06
2.4700847168e+00 5.6940500587e-06 5.9384926600e-06 5.1381188390e-06 4.9468470754e-06
2.4828171122e+00 5.7482457698e-06 6.0078635698e-06 5.1401247156e-06 4.9527496695e-06
2.4955495077e+00 5.8031312132e-06 6.0739094748e-06 5.1443675605e-06 4.9596514298e-06
2.5082819031e+00 5.8585253340e-06 6.1364761224e-06 5.1510448522e-06 4.9677406176e-06
2.5210142986e+00 5.9142643211e-06 6.1954349685e-06 5.1603347415e-06 4.9771605878e-06
2.5337466940e+00 5.9701412545e-06 6.2506660387e-06 5.1723716817e-06 4.9880676490e-06
2.5464790895e+00 6.0259750797e-06 6.3020664979e-06 5.1872682775e-06 5.0005896115e-06
2.5592114849e+00 6.0815674986e-06 6.3495763588e-06 5.2051110833e-06 5.0148214697e-06
2.5719438804e+00 6.1367288349e-06 6.3931013558e-06 5.2259404352e-06 5.0308841251e-06
2.5846762758e+00 6.1912607905e-06 6.4326414889e-06 5.2497790221e-06 5.0488293928e-06
2.5974086713e+00 6.2449823107e-06 6.4681710493e-06 5.2766302054e-06 5.0687349953e-06
2.6101410667e+00 6.2977209624e-06 6.4996986067e-06 5.3064284390e-06 5.0906268402e-06
2.6228734622e+00 6.3492956910e-06 6.5272327306e-06 5.3391266643e-06 5.1145394707e-06
2.6356058576e+00 6.3995685500e-06 6.5508505475e-06 5.3746240413e-06 5.1404728870e-06
2.6483382530e+00 6.4483843496e-06 6.5706034748e-06 5.4127903181e-06 5.1684357247e-06
2.6610706485e+00 6.4956396300e-06 6.5865943479e-06 5.4534851590e-06 5.1983934406e-06
2.6738030439e+00 6.5412309314e-06 6.5989260019e-06 5.4965489008e-06 5.2303114914e-06
2.6865354394e+00 6.5850892805e-06 6.6077269808e-06 5.5417899471e-06 5.2641639695e-06
2.6992678348e+00 6.6271370825e-06 6.6131601071e-06 5.5890057778e-06 5.2998817882e-06
2.7120002303e+00 6.6673657156e-06 6.6153882030e-06 5.6379896705e-06 5.3374131325e-06
2.7247326257e+00 6.7057665584e-06 6.6145997998e-06 5.6885096933e-06 5.3766716440e-06
2.7374650212e+00 6.7423482323e-06 6.6109919983e-06 5.7403490401e-06 5.4176055078e-06
2.7501974166e+00 6.7771710890e-06 6.6047961777e-06 5.7932690560e-06 5.4601197296e-06
2.7629298121e+00 6.8102868584e-06 6.5962351476e-06 5.8470252039e-06 5.5041624945e-06
2.7756622075e+00 6.8418162436e-06 6.5855659960e-06 5.9013947955e-06 5.5496388081e-06
2.7883946030e+00 6.8718540829e-06 6.5730629500e-06 5.9561509405e-06 5.5964882197e-06
2.8011269984e+00 6.9005469442e-06 6.5589830976e-06 6.0110583457e-06 5.6446330068e-06
2.8138593939e+00 6.9280586391e-06 6.5436178053e-06 6.0659321375e-06 5.6940127184e-06
2.8265917893e+00 6.9545616006e-06 6.5272670090e-06 6.1205538291e-06 5.7445669037e-06
2.8393241848e+00 6.9802627484e-06 6.5102220752e-06 6.1747469506e-06 5.7962610195e-06
2.8520565802e+00 7.0053517588e-06 6.4928172181e-06 6.2283518385e-06 5.8490346148e-06
2.8647889757e+00 7.0300614165e-06 6.4753438043e-06 6.2812004260e-06 5.9028790537e-06
2.8775213711e+00 7.0546072627e-06 6.4581360481e-06 6.3331834698e-06 5.9577597930e-06
2.8902537665e+00 7.0792307038e-06 6.4414938854e-06 6.3841833232e-06 6.0136681969e-06
2.9029861620e+00 7.1041645245e-06 6.4257601003e-06 6.4341159527e-06 6.0706042652e-06
2.9157185574e+00 7.1296328876e-06 6.4112431984e-06 6.4829057284e-06 6.1285852697e-06
2.9284509529e+00 7.1558771995e-06 6.3982516852e-06 6.5305106335e-06 6.1876284821e-06
2.9411833483e+00 7.1831043799e-06 6.3871026359e-06 6.5769138614e-06 6.2477770815e-06
