# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
8.14873309e+00 1.50536286e+01 2.14453545e+00 1.51641556e+00
8.18056407e+00 1.51018657e+01 2.11956823e+00 1.49876107e+00
8.21239506e+00 1.51421665e+01 2.09131257e+00 1.47878130e+00
8.24422605e+00 1.51745056e+01 2.05987568e+00 1.45655206e+00
8.27605704e+00 1.51988453e+01 2.02541842e+00 1.43218710e+00
8.30788803e+00 1.52151729e+01 1.98810164e+00 1.40580015e+00
8.33971902e+00 1.52235389e+01 1.94806831e+00 1.37749231e+00
8.37155001e+00 1.52239812e+01 1.90551502e+00 1.34740259e+00
8.40338100e+00 1.52166135e+01 1.86056689e+00 1.31561946e+00
8.43521198e+00 1.52015371e+01 1.81343836e+00 1.28229456e+00
8.46704297e+00 1.51788908e+01 1.76425456e+00 1.24751636e+00
8.49887396e+00 1.51488643e+01 1.71317632e+00 1.21139859e+00
8.53070495e+00 1.51116471e+01 1.66040024e+00 1.17408027e+00
8.56253594e+00 1.50674540e+01 1.60605142e+00 1.13564985e+00
8.59436693e+00 1.50165504e+01 1.55032645e+00 1.09624635e+00
8.62619792e+00 1.49591891e+01 1.49333257e+00 1.05594559e+00
8.65802890e+00 1.48956355e+01 1.43523063e+00 1.01486131e+00
8.68985989e+00 1.48261928e+01 1.37616359e+00 9.73094608e-01
8.72169088e+00 1.47512150e+01 1.31627445e+00 9.30746586e-01
8.75352187e+00 1.46709926e+01 1.25568829e+00 8.87905705e-01
8.78535286e+00 1.45859048e+01 1.19451236e+00 8.44647788e-01
8.81718385e+00 1.44963181e+01 1.13294324e+00 8.01111848e-01
8.84901484e+00 1.44025610e+01 1.07098094e+00 7.57297884e-01
8.88084582e+00 1.43050253e+01 1.00882205e+00 7.13344909e-01
8.91267681e+00 1.42040902e+01 9.46502303e-01 6.69278197e-01
8.94450780e+00 1.41001726e+01 8.84146817e-01 6.25186210e-01
8.97633879e+00 1.39936138e+01 8.21809203e-01 5.81106861e-01
9.00816978e+00 1.38848435e+01 7.59632438e-01 5.37141248e-01
9.04000077e+00 1.37742028e+01 6.97598648e-01 4.93276735e-01
9.07183176e+00 1.36621341e+01 6.35832939e-01 4.49601783e-01
9.10366274e+00 1.35489532e+01 5.74353182e-01 4.06129030e-01
9.13549373e+00 1.34350774e+01 5.13248738e-01 3.62921663e-01
9.16732472e+00 1.33208477e+01 4.52537478e-01 3.19992319e-01
9.19915571e+00 1.32066180e+01 3.92290890e-01 2.77391549e-01
9.23098670e+00 1.30927674e+01 3.32508976e-01 2.35119351e-01
9.26281769e+00 1.29795866e+01 2.73209606e-01 1.93188365e-01
9.29464868e+00 1.28674167e+01 2.14446396e-01 1.51636501e-01
9.32647967e+00 1.27565360e+01 1.56255091e-01 1.10489035e-01
9.35831065e+00 1.26472854e+01 9.85820752e-02 6.97080539e-02
9.39014164e+00 1.25398799e+01 4.15167079e-02 2.93567457e-02
9.42197263e+00 1.24345848e+01 1.49588827e-02 1.05775274e-02
9.45380362e+00 1.23316403e+01 7.08983126e-02 5.01326776e-02
9.48563461e+00 1.22312739e+01 1.26194350e-01 8.92328805e-02
9.51746560e+00 1.21336371e+01 1.80954226e-01 1.27953960e-01
