# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
5.5385920200e+00 6.1253791400e-01 2.3896630100e-01 3.3763280988e+08 6.4584841037e+06 1.8142132402e-09 7.0862007166e-10
5.5704230100e+00 5.9816555600e-01 2.4362812500e-01 3.4460655430e+08 5.8331977905e+06 1.7357927426e-09 7.0758502438e-10
5.6022540000e+00 5.8413030200e-01 2.4821673000e-01 3.5155746260e+08 5.1925958226e+06 1.6615500000e-09 7.0647520572e-10
5.6340849900e+00 5.7043682700e-01 2.5269795100e-01 3.5839922832e+08 4.5896036936e+06 1.5916240380e-09 7.0536846439e-10
5.6659159700e+00 5.5709031300e-01 2.5703879300e-01 3.6506376757e+08 4.0876845955e+06 1.5260082278e-09 7.0430016597e-10
5.6977469600e+00 5.4409290800e-01 2.6120998100e-01 3.7145709937e+08 3.7778889784e+06 1.4647530197e-09 7.0336141021e-10
5.7295779500e+00 5.3144985600e-01 2.6518630500e-01 3.7753584145e+08 3.7048606613e+06 1.4076805369e-09 7.0254941021e-10
5.7614089400e+00 5.1916268600e-01 2.6894286400e-01 3.8321119201e+08 3.8876360310e+06 1.3547691112e-09 7.0194826352e-10
5.7932399300e+00 5.0723237900e-01 2.7245895000e-01 3.8846710996e+08 4.2471978859e+06 1.3057279909e-09 7.0151468728e-10
5.8250709200e+00 4.9566124000e-01 2.7571667600e-01 3.9322665213e+08 4.7081819473e+06 1.2604975713e-09 7.0132717910e-10
5.8569019100e+00 4.8445039500e-01 2.7870015100e-01 3.9750014488e+08 5.1912921836e+06 1.2187426879e-09 7.0131284005e-10
5.8887328900e+00 4.7359849000e-01 2.8139469000e-01 4.0122419137e+08 5.6447011578e+06 1.1803836862e-09 7.0153686597e-10
5.9205638800e+00 4.6310329500e-01 2.8378870700e-01 4.0442430666e+08 6.0412141833e+06 1.1450926351e-09 7.0191876392e-10
5.9523948700e+00 4.5296666200e-01 2.8587373000e-01 4.0704678793e+08 6.3615557603e+06 1.1128122747e-09 7.0252702623e-10
5.9842258600e+00 4.4318624700e-01 2.8764242800e-01 4.0912700266e+08 6.6106336071e+06 1.0832485857e-09 7.0328174290e-10
