# coord_A   rho_avg_e_per_A3
2.579062434375000024e+01 5.547368025510603040e+00
2.585885350868055710e+01 4.272689231137056787e+00
2.592708267361111041e+01 3.036468873579193595e+00
2.599531183854166727e+01 1.880749499890508991e+00
2.606354100347222413e+01 8.344930011136478809e-01
2.613177016840277744e+01 -9.610516005899683023e-02
2.619999933333333431e+01 -9.275096395610082922e-01
2.626822849826389117e+01 -1.692006349499264317e+00
2.633645766319444448e+01 -2.427954483544934927e+00
2.640468682812500134e+01 -3.171043105912516147e+00
2.647291599305555820e+01 -3.945365920934762904e+00
2.654114515798611151e+01 -4.753811872869353472e+00
2.660937432291666838e+01 -5.570645588313317909e+00
2.667760348784722169e+01 -6.340666424151782721e+00
2.674583265277777855e+01 -6.990726333913396928e+00
2.681406181770833541e+01 -7.455693898219744042e+00
2.688229098263888872e+01 -7.711430865462675754e+00
2.695052014756944558e+01 -7.797980559897808917e+00
2.701874931250000245e+01 -7.816012503595440641e+00
2.708697847743055576e+01 -7.892104800709425660e+00
2.715520764236111262e+01 -8.127157765681777946e+00
2.722343680729166593e+01 -8.553684408937145989e+00
2.729166597222222279e+01 -9.122991408495767729e+00
2.735989513715277965e+01 -9.726317169258798856e+00
2.742812430208333296e+01 -1.023630031905074134e+01
2.749635346701388983e+01 -1.054757052992123256e+01
2.756458263194444669e+01 -1.060000603916836681e+01
2.763281179687500000e+01 -1.037979265836384890e+01
2.770104096180555686e+01 -9.904293073830249483e+00
2.776927012673611372e+01 -9.203085565283837255e+00
2.783749929166666703e+01 -8.309929989246295889e+00
2.790572845659722390e+01 -7.265248966571944855e+00
2.797395762152777721e+01 -6.118180833572070654e+00
2.804218678645833407e+01 -4.928025781125382920e+00
2.811041595138889093e+01 -3.762853180807356868e+00
2.817864511631944424e+01 -2.695835100581338573e+00
2.824687428125000110e+01 -1.800779279883532036e+00
2.831510344618055797e+01 -1.145367196143864508e+00
2.838333261111111128e+01 -7.836425049401538612e-01
2.845156177604166814e+01 -7.508991108981670770e-01
2.851979094097222500e+01 -1.052695381460648116e+00
2.858802010590277831e+01 -1.653484937588326709e+00
2.865624927083333517e+01 -2.473804079209057427e+00
2.872447843576388848e+01 -3.397765660149304701e+00
2.879270760069444535e+01 -4.290965981354131209e+00
2.886093676562500221e+01 -5.026680340190137208e+00
2.892916593055555552e+01 -5.514607411002124593e+00
2.899739509548611238e+01 -5.722304467344303092e+00
2.906562426041666924e+01 -5.678987928971329424e+00
2.913385342534722255e+01 -5.457136125633542001e+00
2.920208259027777942e+01 -5.138633002439963349e+00
2.927031175520833273e+01 -4.780917120309397639e+00
2.933854092013888959e+01 -4.398361713427366482e+00
2.940677008506944645e+01 -3.965703048304934697e+00
2.947499924999999976e+01 -3.438675330299102662e+00
2.954322841493055662e+01 -2.779570373277898909e+00
2.961145757986111349e+01 -1.975374607760373324e+00
2.967968674479166680e+01 -1.041725352385288073e+00
2.974791590972222366e+01 -1.302468058260785634e-02
2.981614507465278052e+01 1.075156449362485889e+00
2.988437423958333383e+01 2.202259972397185628e+00
2.995260340451389069e+01 3.363425144106611864e+00
3.002083256944444400e+01 4.555043837761726166e+00
3.008906173437500087e+01 5.761750981570365582e+00
3.015729089930555773e+01 6.950129094705935096e+00
3.022552006423611104e+01 8.068988568253196547e+00
3.029374922916666790e+01 9.051600234406556922e+00
3.036197839409722476e+01 9.822211464449138063e+00
3.043020755902777807e+01 1.030535442101007781e+01
3.049843672395833494e+01 1.044966536256088574e+01
3.056666588888889180e+01 1.025417977102614842e+01
3.063489505381944511e+01 9.777101940163904104e+00
3.070312421875000197e+01 9.117012353813455761e+00
3.077135338368055528e+01 8.370644966416799448e+00
3.083958254861111214e+01 7.586457827200739246e+00
3.090781171354166901e+01 6.738302111935191796e+00
3.097604087847222232e+01 5.740485696049575814e+00
3.104427004340277918e+01 4.504988863956222112e+00
3.111249920833333604e+01 3.009390158633804546e+00
3.118072837326388935e+01 1.336619750627058512e+00
3.124895753819444622e+01 -3.379287888781969396e-01
3.131718670312499953e+01 -1.806835981520160894e+00
3.138541586805555639e+01 -2.906977325912293963e+00
3.145364503298611325e+01 -3.572590081248160576e+00
3.152187419791666656e+01 -3.841700138700403500e+00
3.159010336284722342e+01 -3.819408933203562562e+00
3.165833252777778029e+01 -3.622889787284685248e+00
3.172656169270833360e+01 -3.336564424315927813e+00
3.179479085763889046e+01 -2.994006425394179161e+00
3.186302002256944732e+01 -2.585228297951450482e+00
3.193124918750000063e+01 -2.079567277042952966e+00
3.199947835243055749e+01 -1.451374929418211224e+00
3.206770751736111436e+01 -6.968800826816373695e-01
3.213593668229167122e+01 1.621915655128682854e-01
3.220416584722222098e+01 1.086165416169683207e+00
3.227239501215277784e+01 2.030383079383931921e+00
3.234062417708333470e+01 2.956628253438768894e+00
3.240885334201389156e+01 3.837904601863065590e+00
3.247708250694444843e+01 4.656648890212254699e+00
3.254531167187499818e+01 5.397576290901318963e+00
3.261354083680555505e+01 6.039383022275903734e+00
3.268177000173611191e+01 6.550113606879348183e+00
3.274999916666666877e+01 6.888933792405194545e+00
3.281822833159722563e+01 7.013797412989057456e+00
3.288645749652778250e+01 6.891784716397877375e+00
3.295468666145833225e+01 6.508019865800339865e+00
3.302291582638888912e+01 5.870221381264714822e+00
3.309114499131944598e+01 5.008293579197361289e+00
3.315937415625000284e+01 3.970492170069119364e+00
3.322760332118055970e+01 2.818386273826072763e+00
3.329583248611110946e+01 1.622009069666336067e+00
3.336406165104166632e+01 4.549596997408926757e-01
3.343229081597222319e+01 -6.118644462405857798e-01
3.350051998090278005e+01 -1.518832493085239710e+00
3.356874914583333691e+01 -2.227576632991394412e+00
3.363697831076388667e+01 -2.729138565689050999e+00
3.370520747569444353e+01 -3.045402994012230469e+00
3.377343664062500039e+01 -3.222934292530435396e+00
3.384166580555555726e+01 -3.319625488454962525e+00
3.390989497048611412e+01 -3.387447661115728259e+00
3.397812413541667098e+01 -3.457870418925468758e+00
3.404635330034722074e+01 -3.536112808995810042e+00
3.411458246527777760e+01 -3.606842201505106704e+00
3.418281163020833446e+01 -3.648786222729233142e+00
3.425104079513889133e+01 -3.651417412468619172e+00
3.431926996006944819e+01 -3.625621591193791460e+00
3.438749912499999795e+01 -3.602868438683211494e+00
3.445572828993055481e+01 -3.622772406092044317e+00
3.452395745486111167e+01 -3.714548675290526347e+00
3.459218661979166853e+01 -3.881009332264545364e+00
3.466041578472222540e+01 -4.092831123874869803e+00
3.472864494965278226e+01 -4.296233062425112159e+00
3.479687411458333202e+01 -4.431098061951927569e+00
3.486510327951388888e+01 -4.451857957299681701e+00
3.493333244444444574e+01 -4.342339891556504128e+00
3.500156160937500260e+01 -4.118686208695687689e+00
3.506979077430555947e+01 -3.819917664091422971e+00
3.513801993923610922e+01 -3.491069223881626105e+00
3.520624910416666609e+01 -3.166616373799511219e+00
3.527447826909722295e+01 -2.861006665298936102e+00
3.534270743402777981e+01 -2.569214818655844113e+00
3.541093659895833667e+01 -2.275420660207690293e+00
3.547916576388889354e+01 -1.964512434660735885e+00
3.554739492881944329e+01 -1.630600088183241203e+00
3.561562409375000016e+01 -1.279013017199462476e+00
3.568385325868055702e+01 -9.219270906020149425e-01
3.575208242361111388e+01 -5.708657441586660886e-01
3.582031158854167074e+01 -2.303961193750257153e-01
3.588854075347222050e+01 1.038876100072706338e-01
3.595676991840277736e+01 4.426268924229649349e-01
3.602499908333333423e+01 7.972528407473264966e-01
3.609322824826389109e+01 1.175001784890268741e+00
3.616145741319444795e+01 1.576889931054721306e+00
3.622968657812500481e+01 1.999246796883893396e+00
