# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
3.845000 35.480182 35.393939 25.418801 32.097641
3.855000 35.723449 35.647836 25.495829 32.289038
3.865000 35.859222 35.784964 25.567405 32.403864
3.875000 35.922059 35.853188 25.576008 32.450418
3.885000 35.933023 35.872696 25.554026 32.453248
3.895000 35.852429 35.790825 25.574312 32.405855
3.905000 35.679630 35.605757 25.642039 32.309142
3.915000 35.507176 35.423603 25.704904 32.211894
3.925000 35.420382 35.339353 25.733909 32.164548
3.935000 35.415057 35.336457 25.740553 32.164022
3.945000 35.462062 35.377588 25.743198 32.194282
3.955000 35.590055 35.506665 25.760032 32.285584
3.965000 35.827808 35.760541 25.815286 32.467878
3.975000 36.114810 36.063753 25.892339 32.690301
3.985000 36.349963 36.305472 25.925536 32.860324
3.995000 36.504990 36.464197 25.898127 32.955771
4.005000 36.608792 36.576297 25.886567 33.023885
4.015000 36.643949 36.619255 25.952246 33.071817
4.025000 36.563724 36.533841 26.040555 33.046040
4.035000 36.396260 36.352541 26.068010 32.938937
4.045000 36.240013 36.190552 26.051157 32.827240
4.055000 36.151161 36.103257 26.060442 32.771620
4.065000 36.112820 36.060193 26.107073 32.760029
4.075000 36.126932 36.067911 26.156287 32.783710
4.085000 36.247617 36.193836 26.200408 32.880620
4.095000 36.484462 36.446368 26.244119 33.058317
4.105000 36.755177 36.730146 26.262735 33.249353
4.115000 36.978630 36.960910 26.250371 33.396637
4.125000 37.156256 37.146487 26.268207 33.523650
4.135000 37.294637 37.299064 26.352906 33.648869
4.145000 37.341900 37.355695 26.433107 33.710234
4.155000 37.262235 37.270018 26.431744 33.654666
4.165000 37.106654 37.107685 26.394218 33.536186
4.175000 36.964346 36.966537 26.419823 33.450235
4.185000 36.862515 36.863685 26.506620 33.410940
4.195000 36.786872 36.781712 26.567815 33.378800
4.205000 36.775694 36.766966 26.572884 33.371848
4.215000 36.890784 36.888137 26.571954 33.450292
4.225000 37.113446 37.124646 26.596176 33.611423
4.235000 37.357079 37.379775 26.628909 33.788588
4.245000 37.575430 37.604293 26.667270 33.948998
4.255000 37.776378 37.817312 26.721311 34.105000
4.265000 37.939243 37.995076 26.759611 34.231310
4.275000 37.995631 38.054211 26.748676 34.266173
4.285000 37.920822 37.973721 26.734173 34.209572
4.295000 37.786726 37.833330 26.783885 34.134647
4.305000 37.659563 37.703238 26.871868 34.078223
4.315000 37.537673 37.578087 26.912232 34.009331
4.325000 37.431185 37.460638 26.891490 33.927771
4.335000 37.406165 37.429218 26.882564 33.905982
4.345000 37.513139 37.544084 26.929716 33.995646
4.355000 37.713775 37.756252 26.996630 34.155552
4.365000 37.934276 37.984319 27.038455 34.319016
4.375000 38.155565 38.214724 27.054702 34.474997
4.385000 38.382938 38.458689 27.060248 34.633959
4.395000 38.565357 38.656508 27.067732 34.763199
4.405000 38.626202 38.722119 27.100261 34.816194
4.415000 38.569196 38.661833 27.166658 34.799229
4.425000 38.465191 38.554671 27.222690 34.747517
4.435000 38.347515 38.436222 27.226301 34.670012
4.445000 38.209846 38.290988 27.207366 34.569400
4.455000 38.084707 38.154207 27.230328 34.489747
4.465000 38.052600 38.118373 27.300784 34.490585
4.475000 38.147113 38.219211 27.359657 34.575327
4.485000 38.318292 38.399053 27.375391 34.697578
4.495000 38.518568 38.603370 27.375337 34.832425
4.505000 38.747987 38.841240 27.388852 34.992693
4.515000 38.992808 39.105194 27.422085 35.173363
4.525000 39.180801 39.307692 27.474973 35.321155
4.535000 39.248995 39.377478 27.531826 35.386100
4.545000 39.216686 39.343750 27.555292 35.371910
4.555000 39.136942 39.265763 27.538277 35.313661
4.565000 39.019355 39.147403 27.539043 35.235267
4.575000 38.863458 38.981011 27.602726 35.149065
4.585000 38.725180 38.831131 27.682057 35.079456
4.595000 38.684279 38.789185 27.705181 35.059548
4.605000 38.756254 38.866521 27.685191 35.102655
4.615000 38.895019 39.008597 27.691330 35.198315
4.625000 39.076884 39.196076 27.741867 35.338276
4.635000 39.312045 39.444907 27.795364 35.517439
4.645000 39.567226 39.717913 27.827734 35.704291
4.655000 39.758093 39.919479 27.849552 35.842375
4.665000 39.838585 40.000613 27.861943 35.900380
4.675000 39.836413 39.997870 27.864835 35.899706
4.685000 39.781876 39.944520 27.890016 35.872137
4.695000 39.663366 39.822704 27.958875 35.814982
4.705000 39.495417 39.643237 28.019905 35.719520
4.715000 39.353539 39.491877 28.016231 35.620549
4.725000 39.304320 39.443600 27.987495 35.578472
4.735000 39.347986 39.490121 28.014772 35.617627
4.745000 39.453384 39.597108 28.096604 35.715699
4.755000 39.624887 39.774823 28.152578 35.850763
4.765000 39.867931 40.032688 28.150690 36.017103
4.775000 40.124179 40.307283 28.143310 36.191591
4.785000 40.314140 40.507748 28.170915 36.330934
4.795000 40.413541 40.610897 28.215245 36.413227
4.805000 40.443030 40.646150 28.255353 36.448177
4.815000 40.405136 40.613257 28.293862 36.437418
4.825000 40.283637 40.488960 28.320771 36.364456
4.835000 40.112636 40.307627 28.319593 36.246619
4.845000 39.972903 40.160101 28.318247 36.150417
4.855000 39.913024 40.099489 28.365078 36.125863
4.865000 39.925367 40.111598 28.441348 36.159437
4.875000 40.003207 40.187176 28.474582 36.221655
4.885000 40.167470 40.356125 28.453710 36.325768
4.895000 40.408851 40.613924 28.449609 36.490795
4.905000 40.658619 40.880693 28.502111 36.680474
4.915000 40.849020 41.080953 28.568808 36.832927
4.925000 40.969928 41.209143 28.600882 36.926651
4.935000 41.028786 41.277851 28.605674 36.970771
4.945000 41.004675 41.259203 28.612092 36.958657
4.955000 40.885019 41.134384 28.630831 36.883411
4.965000 40.718888 40.959387 28.667558 36.781944
4.975000 40.582805 40.818850 28.720088 36.707248
4.985000 40.506526 40.742887 28.760727 36.670047
4.995000 40.486452 40.721309 28.760367 36.656043
5.005000 40.541334 40.773638 28.745737 36.686903
5.015000 40.698715 40.938255 28.772682 36.803217
5.025000 40.934956 41.189281 28.839595 36.987944
5.035000 41.176086 41.442005 28.890409 37.169500
5.045000 41.372665 41.646241 28.895693 37.304866
5.055000 41.521897 41.804380 28.887753 37.404677
5.065000 41.609291 41.902861 28.905561 37.472571
5.075000 41.597677 41.895626 28.948874 37.480726
5.085000 41.485011 41.777334 28.999054 37.420466
5.095000 41.333830 41.616834 29.039157 37.329940
5.105000 41.206261 41.483714 29.053878 37.247951
5.115000 41.114833 41.388769 29.047626 37.183743
5.125000 41.069719 41.335669 29.058322 37.154570
5.135000 41.109968 41.372520 29.115386 37.199291
5.145000 41.259925 41.531450 29.181969 37.324448
5.155000 41.482559 41.767159 29.200052 37.483257
5.165000 41.710129 42.005465 29.182110 37.632568
5.175000 41.913050 42.217684 29.190571 37.773768
5.185000 42.086706 42.402608 29.243632 37.910982
5.195000 42.193424 42.521525 29.297735 38.004228
5.205000 42.189586 42.520693 29.322492 38.010923
5.215000 42.088887 42.414454 29.331726 37.945022
5.225000 41.952781 42.273739 29.342203 37.856241
