# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
3.0048453256e+00 4.2322802412e+01 3.2836493798e+00
3.0175777210e+00 4.2858418935e+01 3.3020106406e+00
3.0303101165e+00 4.3372867476e+01 3.3176001244e+00
3.0430425119e+00 4.3864916760e+01 3.3307023451e+00
3.0557749074e+00 4.4333706998e+01 3.3415983472e+00
3.0685073028e+00 4.4778520221e+01 3.3505678967e+00
3.0812396983e+00 4.5198812721e+01 3.3579121169e+00
3.0939720937e+00 4.5594293428e+01 3.3639120457e+00
3.1067044892e+00 4.5964903436e+01 3.3689222077e+00
3.1194368846e+00 4.6310718554e+01 3.3732010734e+00
3.1321692800e+00 4.6632087243e+01 3.3770657794e+00
3.1449016755e+00 4.6929576738e+01 3.3807787967e+00
3.1576340709e+00 4.7203865172e+01 3.3846656968e+00
3.1703664664e+00 4.7455940962e+01 3.3889749996e+00
3.1830988618e+00 4.7686809209e+01 3.3939922887e+00
3.1958312573e+00 4.7897761556e+01 3.3999525773e+00
3.2085636527e+00 4.8090248097e+01 3.4071819407e+00
3.2212960482e+00 4.8265748573e+01 3.4158407414e+00
3.2340284436e+00 4.8425884628e+01 3.4262063594e+00
3.2467608391e+00 4.8572396960e+01 3.4384527372e+00
3.2594932345e+00 4.8707147094e+01 3.4527865803e+00
3.2722256300e+00 4.8832027893e+01 3.4693883722e+00
3.2849580254e+00 4.8948796827e+01 3.4883176578e+00
3.2976904209e+00 4.9059601411e+01 3.5097399136e+00
3.3104228163e+00 4.9166279496e+01 3.5336602615e+00
3.3231552118e+00 4.9270703443e+01 3.5600443728e+00
3.3358876072e+00 4.9374930157e+01 3.5888764466e+00
3.3486200027e+00 4.9480660385e+01 3.6200240858e+00
3.3613523981e+00 4.9589631158e+01 3.6533034156e+00
3.3740847935e+00 4.9703656495e+01 3.6884740038e+00
3.3868171890e+00 4.9824280026e+01 3.7252111151e+00
3.3995495844e+00 4.9952996887e+01 3.7631803389e+00
3.4122819799e+00 5.0091202716e+01 3.8019677859e+00
3.4250143753e+00 5.0240082546e+01 3.8411097097e+00
3.4377467708e+00 5.0400823379e+01 3.8801271422e+00
3.4504791662e+00 5.0574374309e+01 3.9184672098e+00
3.4632115617e+00 5.0761549623e+01 3.9556251984e+00
3.4759439571e+00 5.0963111088e+01 3.9910618211e+00
3.4886763526e+00 5.1179506988e+01 4.0242270452e+00
3.5014087480e+00 5.1411214347e+01 4.0545695575e+00
3.5141411435e+00 5.1658435800e+01 4.0816776996e+00
3.5268735389e+00 5.1921369805e+01 4.1050430229e+00
3.5396059344e+00 5.2199926739e+01 4.1242633154e+00
3.5523383298e+00 5.2494020415e+01 4.1390286826e+00
3.5650707253e+00 5.2803349646e+01 4.1490194189e+00
3.5778031207e+00 5.3127647732e+01 4.1540446200e+00
3.5905355162e+00 5.3466364379e+01 4.1539663562e+00
3.6032679116e+00 5.3819031821e+01 4.1487197184e+00
3.6160003070e+00 5.4185072725e+01 4.1383228384e+00
