# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
8.7853528587e-01 2.6438089682e-07 1.8686000137e-07 1.4825621251e-07 1.0334106057e-07 2.1285941453e-07 3.0142102329e-07 7.7127371749e-08 1.4839251820e-07
8.9126768131e-01 2.7065871280e-07 1.9750433230e-07 1.5426106232e-07 1.0700299385e-07 2.2170501454e-07 3.0326082414e-07 7.5817868909e-08 1.5416830482e-07
9.0400007676e-01 2.7687701173e-07 2.0767778200e-07 1.6038174738e-07 1.1027777937e-07 2.3063274579e-07 3.0474674396e-07 7.4668073165e-08 1.6026543582e-07
9.1673247221e-01 2.8306856252e-07 2.1734511923e-07 1.6661469291e-07 1.1313723395e-07 2.3961289527e-07 3.0592349352e-07 7.3708305028e-08 1.6667431145e-07
9.2946486766e-01 2.8926988477e-07 2.2647690142e-07 1.7295859582e-07 1.1556177772e-07 2.4861705809e-07 3.0684054007e-07 7.2967836187e-08 1.7338097741e-07
9.4219726310e-01 2.9551769548e-07 2.3505107162e-07 1.7941218245e-07 1.1753578631e-07 2.5761654906e-07 3.0755210730e-07 7.2474698813e-08 1.8036653109e-07
9.5492965855e-01 3.0185414020e-07 2.4305285865e-07 1.8597592671e-07 1.1904917312e-07 2.6657987985e-07 3.0811527282e-07 7.2253873957e-08 1.8761137713e-07
9.6766205400e-01 3.0832106844e-07 2.5047188275e-07 1.9264973975e-07 1.2010203704e-07 2.7547668341e-07 3.0858901678e-07 7.2328054328e-08 1.9508740903e-07
9.8039444945e-01 3.1495875042e-07 2.5730654705e-07 1.9943370054e-07 1.2070050913e-07 2.8427621891e-07 3.0903422195e-07 7.2717739642e-08 2.0276830167e-07
9.9312684489e-01 3.2181061486e-07 2.6355954628e-07 2.0632869771e-07 1.2085714823e-07 2.9294802585e-07 3.0951177109e-07 7.3440092454e-08 2.1061892194e-07
