# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
5.0038314108e+00 1.9046521372e+02
5.0165638063e+00 1.9211162117e+02
5.0292962017e+00 1.9375857383e+02
5.0420285972e+00 1.9540600344e+02
5.0547609926e+00 1.9705386250e+02
5.0674933880e+00 1.9870212361e+02
5.0802257835e+00 2.0035077884e+02
5.0929581789e+00 2.0199983903e+02
5.1056905744e+00 2.0364933314e+02
5.1184229698e+00 2.0529930758e+02
5.1311553653e+00 2.0694982556e+02
5.1438877607e+00 2.0860096654e+02
5.1566201562e+00 2.1025282560e+02
5.1693525516e+00 2.1190551299e+02
5.1820849471e+00 2.1355915370e+02
5.1948173425e+00 2.1521388705e+02
5.2075497380e+00 2.1686986641e+02
5.2202821334e+00 2.1852725893e+02
5.2330145289e+00 2.2018624531e+02
5.2457469243e+00 2.2184701967e+02
5.2584793198e+00 2.2350978955e+02
5.2712117152e+00 2.2517477583e+02
5.2839441107e+00 2.2684221274e+02
5.2966765061e+00 2.2851234791e+02
5.3094089015e+00 2.3018544235e+02
5.3221412970e+00 2.3186177060e+02
5.3348736924e+00 2.3354162078e+02
5.3476060879e+00 2.3522529454e+02
5.3603384833e+00 2.3691310713e+02
5.3730708788e+00 2.3860538736e+02
5.3858032742e+00 2.4030247742e+02
5.3985356697e+00 2.4200473272e+02
5.4112680651e+00 2.4371252165e+02
5.4240004606e+00 2.4542622516e+02
5.4367328560e+00 2.4714623632e+02
5.4494652515e+00 2.4887295970e+02
5.4621976469e+00 2.5060681062e+02
5.4749300424e+00 2.5234821431e+02
5.4876624378e+00 2.5409760494e+02
5.5003948333e+00 2.5585542446e+02
5.5131272287e+00 2.5762212140e+02
5.5258596242e+00 2.5939814944e+02
5.5385920196e+00 2.6118396583e+02
5.5513244150e+00 2.6298002979e+02
5.5640568105e+00 2.6478680075e+02
5.5767892059e+00 2.6660473652e+02
5.5895216014e+00 2.6843429131e+02
5.6022539968e+00 2.7027591365e+02
5.6149863923e+00 2.7213004441e+02
5.6277187877e+00 2.7399711461e+02
5.6404511832e+00 2.7587754325e+02
5.6531835786e+00 2.7777173524e+02
5.6659159741e+00 2.7968007926e+02
5.6786483695e+00 2.8160294562e+02
5.6913807650e+00 2.8354068425e+02
5.7041131604e+00 2.8549362280e+02
5.7168455559e+00 2.8746206477e+02
5.7295779513e+00 2.8944628782e+02
5.7423103468e+00 2.9144654215e+02
5.7550427422e+00 2.9346304913e+02
5.7677751377e+00 2.9549600000e+02
5.7805075331e+00 2.9754555486e+02
5.7932399285e+00 2.9961184175e+02
5.8059723240e+00 3.0169495603e+02
5.8187047194e+00 3.0379495998e+02
5.8314371149e+00 3.0591188254e+02
5.8441695103e+00 3.0804571933e+02
5.8569019058e+00 3.1019643287e+02
5.8696343012e+00 3.1236395307e+02
5.8823666967e+00 3.1454817788e+02
5.8950990921e+00 3.1674897417e+02
5.9078314876e+00 3.1896617878e+02
5.9205638830e+00 3.2119959987e+02
5.9332962785e+00 3.2344901825e+02
5.9460286739e+00 3.2571418903e+02
5.9587610694e+00 3.2799484337e+02
5.9714934648e+00 3.3029069038e+02
5.9842258603e+00 3.3260141896e+02
5.9969582557e+00 3.3492669998e+02
6.0096906511e+00 3.3726618830e+02
6.0224230466e+00 3.3961952490e+02
6.0351554420e+00 3.4198633916e+02
6.0478878375e+00 3.4436625101e+02
6.0606202329e+00 3.4675887300e+02
6.0733526284e+00 3.4916381252e+02
6.0860850238e+00 3.5158067389e+02
6.0988174193e+00 3.5400906028e+02
6.1115498147e+00 3.5644857574e+02
6.1242822102e+00 3.5889882706e+02
6.1370146056e+00 3.6135942542e+02
6.1497470011e+00 3.6382998801e+02
6.1624793965e+00 3.6631013970e+02
6.1752117920e+00 3.6879951444e+02
6.1879441874e+00 3.7129775651e+02
6.2006765829e+00 3.7380452174e+02
6.2134089783e+00 3.7631947863e+02
6.2261413738e+00 3.7884230922e+02
6.2388737692e+00 3.8137271009e+02
6.2516061646e+00 3.8391039312e+02
6.2643385601e+00 3.8645508627e+02
6.2770709555e+00 3.8900653428e+02
6.2898033510e+00 3.9156449916e+02
6.3025357464e+00 3.9412876077e+02
6.3152681419e+00 3.9669911744e+02
6.3280005373e+00 3.9927538660e+02
6.3407329328e+00 4.0185740507e+02
6.3534653282e+00 4.0444502979e+02
6.3661977237e+00 4.0703813831e+02
6.3789301191e+00 4.0963662918e+02
6.3916625146e+00 4.1224042257e+02
6.4043949100e+00 4.1484946121e+02
6.4171273055e+00 4.1746371094e+02
6.4298597009e+00 4.2008316114e+02
6.4425920964e+00 4.2270782557e+02
6.4553244918e+00 4.2533774315e+02
6.4680568873e+00 4.2797297874e+02
6.4807892827e+00 4.3061362404e+02
6.4935216781e+00 4.3325979834e+02
6.5062540736e+00 4.3591164919e+02
6.5189864690e+00 4.3856935328e+02
6.5317188645e+00 4.4123311703e+02
6.5444512599e+00 4.4390317738e+02
6.5571836554e+00 4.4657980219e+02
6.5699160508e+00 4.4926329080e+02
6.5826484463e+00 4.5195397430e+02
6.5953808417e+00 4.5465221574e+02
6.6081132372e+00 4.5735841014e+02
6.6208456326e+00 4.6007298418e+02
6.6335780281e+00 4.6279639578e+02
6.6463104235e+00 4.6552913375e+02
6.6590428190e+00 4.6827171697e+02
6.6717752144e+00 4.7102469300e+02
6.6845076099e+00 4.7378863664e+02
6.6972400053e+00 4.7656414858e+02
6.7099724008e+00 4.7935185348e+02
6.7227047962e+00 4.8215239758e+02
6.7354371916e+00 4.8496644624e+02
6.7481695871e+00 4.8779468123e+02
6.7609019825e+00 4.9063779758e+02
6.7736343780e+00 4.9349650030e+02
6.7863667734e+00 4.9637150136e+02
6.7990991689e+00 4.9926351551e+02
6.8118315643e+00 5.0217325641e+02
6.8245639598e+00 5.0510143300e+02
6.8372963552e+00 5.0804874515e+02
6.8500287507e+00 5.1101587941e+02
6.8627611461e+00 5.1400350485e+02
6.8754935416e+00 5.1701226874e+02
6.8882259370e+00 5.2004279250e+02
6.9009583325e+00 5.2309566768e+02
6.9136907279e+00 5.2617145174e+02
6.9264231234e+00 5.2927066417e+02
6.9391555188e+00 5.3239378304e+02
6.9518879143e+00 5.3554124180e+02
6.9646203097e+00 5.3871342613e+02
6.9773527051e+00 5.4191067100e+02
6.9900851006e+00 5.4513325847e+02
7.0028174960e+00 5.4838141590e+02
7.0155498915e+00 5.5165531408e+02
7.0282822869e+00 5.5495506658e+02
7.0410146824e+00 5.5828072907e+02
7.0537470778e+00 5.6163229859e+02
7.0664794733e+00 5.6500971466e+02
7.0792118687e+00 5.6841285993e+02
7.0919442642e+00 5.7184156127e+02
7.1046766596e+00 5.7529559192e+02
7.1174090551e+00 5.7877467373e+02
7.1301414505e+00 5.8227847976e+02
7.1428738460e+00 5.8580663757e+02
7.1556062414e+00 5.8935873272e+02
7.1683386369e+00 5.9293431298e+02
7.1810710323e+00 5.9653289262e+02
7.1938034278e+00 6.0015395666e+02
7.2065358232e+00 6.0379696596e+02
7.2192682186e+00 6.0746136233e+02
7.2320006141e+00 6.1114657362e+02
7.2447330095e+00 6.1485201910e+02
7.2574654050e+00 6.1857711504e+02
7.2701978004e+00 6.2232127983e+02
7.2829301959e+00 6.2608393957e+02
7.2956625913e+00 6.2986453341e+02
7.3083949868e+00 6.3366251839e+02
7.3211273822e+00 6.3747737470e+02
7.3338597777e+00 6.4130861022e+02
7.3465921731e+00 6.4515576512e+02
7.3593245686e+00 6.4901841614e+02
7.3720569640e+00 6.5289618043e+02
7.3847893595e+00 6.5678871894e+02
7.3975217549e+00 6.6069573955e+02
7.4102541504e+00 6.6461700006e+02
7.4229865458e+00 6.6855231033e+02
7.4357189413e+00 6.7250153374e+02
7.4484513367e+00 6.7646458896e+02
7.4611837321e+00 6.8044145105e+02
7.4739161276e+00 6.8443215192e+02
7.4866485230e+00 6.8843678050e+02
7.4993809185e+00 6.9245548254e+02
7.5121133139e+00 6.9648845970e+02
7.5248457094e+00 7.0053596848e+02
7.5375781048e+00 7.0459831915e+02
7.5503105003e+00 7.0867587362e+02
7.5630428957e+00 7.1276904308e+02
7.5757752912e+00 7.1687828633e+02
7.5885076866e+00 7.2100410692e+02
7.6012400821e+00 7.2514704995e+02
7.6139724775e+00 7.2930769916e+02
7.6267048730e+00 7.3348667380e+02
7.6394372684e+00 7.3768462521e+02
7.6521696639e+00 7.4190223319e+02
7.6649020593e+00 7.4614020262e+02
7.6776344548e+00 7.5039925969e+02
7.6903668502e+00 7.5468014818e+02
7.7030992456e+00 7.5898362594e+02
7.7158316411e+00 7.6331046123e+02
7.7285640365e+00 7.6766142923e+02
7.7412964320e+00 7.7203730828e+02
7.7540288274e+00 7.7643887632e+02
7.7667612229e+00 7.8086690732e+02
7.7794936183e+00 7.8532216846e+02
7.7922260138e+00 7.8980541679e+02
7.8049584092e+00 7.9431739578e+02
7.8176908047e+00 7.9885883287e+02
7.8304232001e+00 8.0343043676e+02
7.8431555956e+00 8.0803289442e+02
7.8558879910e+00 8.1266686876e+02
7.8686203865e+00 8.1733299640e+02
7.8813527819e+00 8.2203188558e+02
7.8940851774e+00 8.2676411399e+02
7.9068175728e+00 8.3153022717e+02
7.9195499683e+00 8.3633073683e+02
7.9322823637e+00 8.4116611942e+02
7.9450147591e+00 8.4603681491e+02
7.9577471546e+00 8.5094322616e+02
7.9704795500e+00 8.5588571798e+02
7.9832119455e+00 8.6086461615e+02
7.9959443409e+00 8.6588020744e+02
8.0086767364e+00 8.7093273927e+02
8.0214091318e+00 8.7602241993e+02
8.0341415273e+00 8.8114941907e+02
8.0468739227e+00 8.8631386809e+02
8.0596063182e+00 8.9151586090e+02
8.0723387136e+00 8.9675545512e+02
8.0850711091e+00 9.0203267320e+02
8.0978035045e+00 9.0734750383e+02
8.1105359000e+00 9.1269990369e+02
8.1232682954e+00 9.1808979958e+02
8.1360006909e+00 9.2351709058e+02
8.1487330863e+00 9.2898165044e+02
8.1614654818e+00 9.3448333015e+02
8.1741978772e+00 9.4002196034e+02
8.1869302726e+00 9.4559735470e+02
8.1996626681e+00 9.5120931292e+02
8.2123950635e+00 9.5685762344e+02
8.2251274590e+00 9.6254206665e+02
8.2378598544e+00 9.6826241843e+02
8.2505922499e+00 9.7401845333e+02
8.2633246453e+00 9.7980994757e+02
8.2760570408e+00 9.8563668252e+02
8.2887894362e+00 9.9149844760e+02
8.3015218317e+00 9.9739504297e+02
8.3142542271e+00 1.0033262824e+03
8.3269866226e+00 1.0092919960e+03
8.3397190180e+00 1.0152920320e+03
8.3524514135e+00 1.0213262584e+03
8.3651838089e+00 1.0273945654e+03
8.3779162044e+00 1.0334968660e+03
8.3906485998e+00 1.0396330967e+03
8.4033809953e+00 1.0458032181e+03
8.4161133907e+00 1.0520072142e+03
8.4288457861e+00 1.0582450922e+03
8.4415781816e+00 1.0645168812e+03
8.4543105770e+00 1.0708226306e+03
8.4670429725e+00 1.0771624076e+03
8.4797753679e+00 1.0835362948e+03
8.4925077634e+00 1.0899443870e+03
8.5052401588e+00 1.0963867870e+03
8.5179725543e+00 1.1028636022e+03
8.5307049497e+00 1.1093749390e+03
8.5434373452e+00 1.1159208984e+03
8.5561697406e+00 1.1225015703e+03
8.5689021361e+00 1.1291170278e+03
8.5816345315e+00 1.1357673212e+03
8.5943669270e+00 1.1424524721e+03
8.6070993224e+00 1.1491724664e+03
8.6198317179e+00 1.1559272486e+03
8.6325641133e+00 1.1627167148e+03
8.6452965088e+00 1.1695407065e+03
8.6580289042e+00 1.1763990048e+03
8.6707612996e+00 1.1832913234e+03
8.6834936951e+00 1.1902173042e+03
8.6962260905e+00 1.1971765105e+03
8.7089584860e+00 1.2041684235e+03
8.7216908814e+00 1.2111924367e+03
8.7344232769e+00 1.2182478527e+03
8.7471556723e+00 1.2253338800e+03
8.7598880678e+00 1.2324496305e+03
8.7726204632e+00 1.2395941172e+03
8.7853528587e+00 1.2467662538e+03
8.7980852541e+00 1.2539648544e+03
