# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
4.5963947565e+00 8.7123113782e-06
4.6091271519e+00 8.8042207591e-06
4.6218595474e+00 8.8968810736e-06
4.6345919428e+00 8.9902665585e-06
4.6473243383e+00 9.0843503953e-06
4.6600567337e+00 9.1791048416e-06
4.6727891292e+00 9.2745013727e-06
4.6855215246e+00 9.3705108238e-06
4.6982539201e+00 9.4671035343e-06
4.7109863155e+00 9.5642494964e-06
4.7237187110e+00 9.6619185035e-06
4.7364511064e+00 9.7600802999e-06
4.7491835019e+00 9.8587047224e-06
4.7619158973e+00 9.9577618418e-06
4.7746482928e+00 1.0057222103e-05
4.7873806882e+00 1.0157056462e-05
4.8001130837e+00 1.0257236505e-05
4.8128454791e+00 1.0357734571e-05
4.8255778745e+00 1.0458523865e-05
4.8383102700e+00 1.0559578556e-05
4.8510426654e+00 1.0660873874e-05
4.8637750609e+00 1.0762386196e-05
4.8765074563e+00 1.0864093112e-05
4.8892398518e+00 1.0965973499e-05
4.9019722472e+00 1.1068007567e-05
4.9147046427e+00 1.1170176905e-05
4.9274370381e+00 1.1272464513e-05
4.9401694336e+00 1.1374854824e-05
4.9529018290e+00 1.1477333722e-05
4.9656342245e+00 1.1579888544e-05
4.9783666199e+00 1.1682508077e-05
4.9910990154e+00 1.1785182547e-05
5.0038314108e+00 1.1887903598e-05
5.0165638063e+00 1.1990664269e-05
5.0292962017e+00 1.2093458968e-05
5.0420285972e+00 1.2196283437e-05
5.0547609926e+00 1.2299134710e-05
5.0674933880e+00 1.2402011076e-05
5.0802257835e+00 1.2504912042e-05
5.0929581789e+00 1.2607838283e-05
5.1056905744e+00 1.2710791608e-05
5.1184229698e+00 1.2813774913e-05
5.1311553653e+00 1.2916792142e-05
5.1438877607e+00 1.3019848256e-05
5.1566201562e+00 1.3122949189e-05
5.1693525516e+00 1.3226101822e-05
5.1820849471e+00 1.3329313958e-05
5.1948173425e+00 1.3432594290e-05
5.2075497380e+00 1.3535952392e-05
5.2202821334e+00 1.3639398697e-05
5.2330145289e+00 1.3742944482e-05
5.2457469243e+00 1.3846601864e-05
5.2584793198e+00 1.3950383797e-05
5.2712117152e+00 1.4054304067e-05
5.2839441107e+00 1.4158377293e-05
