# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
2.3172959714e+00 1.2741897118e-06 1.0177096004e-07
2.3300283669e+00 1.2896146885e-06 9.9163364532e-08
2.3427607623e+00 1.3043003985e-06 9.6269018670e-08
2.3554931578e+00 1.3182898515e-06 9.3107409602e-08
2.3682255532e+00 1.3316326471e-06 8.9703090124e-08
2.3809579487e+00 1.3443880591e-06 8.6085923662e-08
2.3936903441e+00 1.3566264764e-06 8.2293880122e-08
2.4064227395e+00 1.3684264799e-06 7.8369108226e-08
2.4191551350e+00 1.3798697120e-06 7.4365669639e-08
2.4318875304e+00 1.3910504469e-06 7.0351645054e-08
2.4446199259e+00 1.4020690694e-06 6.6402075237e-08
2.4573523213e+00 1.4130265939e-06 6.2614854411e-08
2.4700847168e+00 1.4240313816e-06 5.9105982046e-08
2.4828171122e+00 1.4351936388e-06 5.6006176161e-08
2.4955495077e+00 1.4466237032e-06 5.3468343667e-08
2.5082819031e+00 1.4584405024e-06 5.1645893401e-08
2.5210142986e+00 1.4707534978e-06 5.0680687917e-08
2.5337466940e+00 1.4836715831e-06 5.0674239018e-08
2.5464790895e+00 1.4973076981e-06 5.1669610708e-08
2.5592114849e+00 1.5117618133e-06 5.3640747654e-08
2.5719438804e+00 1.5271374599e-06 5.6506745352e-08
2.5846762758e+00 1.5435231241e-06 6.0145834625e-08
2.5974086713e+00 1.5610083100e-06 6.4430332460e-08
2.6101410667e+00 1.5796638034e-06 6.9231715085e-08
2.6228734622e+00 1.5995596229e-06 7.4438250395e-08
2.6356058576e+00 1.6207574060e-06 7.9950613730e-08
2.6483382530e+00 1.6432956052e-06 8.5688107025e-08
2.6610706485e+00 1.6672116572e-06 9.1583189162e-08
2.6738030439e+00 1.6925265328e-06 9.7578599872e-08
2.6865354394e+00 1.7192498971e-06 1.0362512112e-07
2.6992678348e+00 1.7473799494e-06 1.0968395568e-07
2.7120002303e+00 1.7768959118e-06 1.1571701241e-07
2.7247326257e+00 1.8077705909e-06 1.2169420138e-07
2.7374650212e+00 1.8399639556e-06 1.2758757860e-07
2.7501974166e+00 1.8734148990e-06 1.3337249700e-07
2.7629298121e+00 1.9080607530e-06 1.3902567603e-07
2.7756622075e+00 1.9438148861e-06 1.4452726282e-07
2.7883946030e+00 1.9805982063e-06 1.4985939008e-07
2.8011269984e+00 2.0182955949e-06 1.5500348541e-07
2.8138593939e+00 2.0568092566e-06 1.5994400788e-07
2.8265917893e+00 2.0960131919e-06 1.6466829678e-07
2.8393241848e+00 2.1357846581e-06 1.6916463529e-07
2.8520565802e+00 2.1759906067e-06 1.7342228049e-07
2.8647889757e+00 2.2164903090e-06 1.7743404401e-07
2.8775213711e+00 2.2571495236e-06 1.8119160013e-07
2.8902537665e+00 2.2978223143e-06 1.8469252394e-07
2.9029861620e+00 2.3383641521e-06 1.8793409507e-07
2.9157185574e+00 2.3786349831e-06 1.9091593361e-07
2.9284509529e+00 2.4184903598e-06 1.9364037949e-07
2.9411833483e+00 2.4577927780e-06 1.9611132392e-07
2.9539157438e+00 2.4964104340e-06 1.9833485069e-07
2.9666481392e+00 2.5342155275e-06 2.0031912687e-07
2.9793805347e+00 2.5710871640e-06 2.0207496380e-07
2.9921129301e+00 2.6069086558e-06 2.0361312657e-07
3.0048453256e+00 2.6415815531e-06 2.0494927401e-07
3.0175777210e+00 2.6750121070e-06 2.0609529377e-07
3.0303101165e+00 2.7071214594e-06 2.0706831282e-07
3.0430425119e+00 2.7378327601e-06 2.0788608911e-07
3.0557749074e+00 2.7670923453e-06 2.0856616407e-07
3.0685073028e+00 2.7948554030e-06 2.0912599932e-07
3.0812396983e+00 2.8210879975e-06 2.0958438949e-07
3.0939720937e+00 2.8457719618e-06 2.0995887559e-07
3.1067044892e+00 2.8689036190e-06 2.1027158531e-07
3.1194368846e+00 2.8904877010e-06 2.1053865110e-07
3.1321692800e+00 2.9105459569e-06 2.1077986707e-07
3.1449016755e+00 2.9291137907e-06 2.1101161538e-07
3.1576340709e+00 2.9462335282e-06 2.1125421661e-07
3.1703664664e+00 2.9619668615e-06 2.1152318213e-07
3.1830988618e+00 2.9763765241e-06 2.1183633669e-07
3.1958312573e+00 2.9895431340e-06 2.1220834864e-07
3.2085636527e+00 3.0015571989e-06 2.1265957001e-07
3.2212960482e+00 3.0125110771e-06 2.1320000984e-07
3.2340284436e+00 3.0225059835e-06 2.1384698083e-07
3.2467608391e+00 3.0316505640e-06 2.1461133961e-07
3.2594932345e+00 3.0400610058e-06 2.1550598773e-07
3.2722256300e+00 3.0478554522e-06 2.1654219008e-07
3.2849580254e+00 3.0551435958e-06 2.1772366316e-07
3.2976904209e+00 3.0620594740e-06 2.1906073520e-07
3.3104228163e+00 3.0687177963e-06 2.2055372588e-07
3.3231552118e+00 3.0752354264e-06 2.2220049258e-07
3.3358876072e+00 3.0817407463e-06 2.2400004908e-07
3.3486200027e+00 3.0883399080e-06 2.2594413181e-07
3.3613523981e+00 3.0951413287e-06 2.2802126420e-07
3.3740847935e+00 3.1022582305e-06 2.3021643965e-07
3.3868171890e+00 3.1097869591e-06 2.3250938979e-07
3.3995495844e+00 3.1178208337e-06 2.3487924234e-07
3.4122819799e+00 3.1264469630e-06 2.3730016436e-07
3.4250143753e+00 3.1357393111e-06 2.3974321109e-07
3.4377467708e+00 3.1457719648e-06 2.4217848768e-07
3.4504791662e+00 3.1566041618e-06 2.4457148648e-07
3.4632115617e+00 3.1682867261e-06 2.4689070571e-07
3.4759439571e+00 3.1808672032e-06 2.4910248573e-07
3.4886763526e+00 3.1943735729e-06 2.5117249621e-07
3.5014087480e+00 3.2088356087e-06 2.5306632686e-07
3.5141411435e+00 3.2242659582e-06 2.5475828401e-07
3.5268735389e+00 3.2406770079e-06 2.5621663278e-07
3.5396059344e+00 3.2580631643e-06 2.5741626909e-07
3.5523383298e+00 3.2764190477e-06 2.5833785082e-07
3.5650707253e+00 3.2957258598e-06 2.5896142353e-07
3.5778031207e+00 3.3159669542e-06 2.5927507192e-07
3.5905355162e+00 3.3371079845e-06 2.5927018707e-07
3.6032679116e+00 3.3591197549e-06 2.5894271770e-07
3.6160003070e+00 3.3819662311e-06 2.5829379549e-07
3.6287327025e+00 3.4055979677e-06 2.5732947466e-07
3.6414650979e+00 3.4299779681e-06 2.5606041823e-07
3.6541974934e+00 3.4550555432e-06 2.5450103674e-07
3.6669298888e+00 3.4807807346e-06 2.5267154063e-07
3.6796622843e+00 3.5071072371e-06 2.5059065549e-07
3.6923946797e+00 3.5339876563e-06 2.4828573428e-07
3.7051270752e+00 3.5613700126e-06 2.4578245255e-07
3.7178594706e+00 3.5892149415e-06 2.4310837742e-07
3.7305918661e+00 3.6174768792e-06 2.4029033582e-07
3.7433242615e+00 3.6461114210e-06 2.3735526543e-07
3.7560566570e+00 3.6750870487e-06 2.3432991878e-07
3.7687890524e+00 3.7043737718e-06 2.3123299561e-07
3.7815214479e+00 3.7339413498e-06 2.2808511991e-07
3.7942538433e+00 3.7637702103e-06 2.2490131502e-07
3.8069862388e+00 3.7938468261e-06 2.2169150759e-07
3.8197186342e+00 3.8241552097e-06 2.1845916416e-07
3.8324510297e+00 3.8547010214e-06 2.1520532595e-07
3.8451834251e+00 3.8854799800e-06 2.1192726628e-07
3.8579158205e+00 3.9165082433e-06 2.0861595953e-07
3.8706482160e+00 3.9478031811e-06 2.0525834547e-07
3.8833806114e+00 3.9793814900e-06 2.0184157511e-07
3.8961130069e+00 4.0112782683e-06 1.9834879393e-07
3.9088454023e+00 4.0435286304e-06 1.9476425748e-07
3.9215777978e+00 4.0761706585e-06 1.9107224270e-07
3.9343101932e+00 4.1092592924e-06 1.8726012798e-07
3.9470425887e+00 4.1428439190e-06 1.8331690560e-07
3.9597749841e+00 4.1769819497e-06 1.7923879113e-07
3.9725073796e+00 4.2117376584e-06 1.7502570469e-07
3.9852397750e+00 4.2471713987e-06 1.7068118302e-07
3.9979721705e+00 4.2833578628e-06 1.6621928393e-07
4.0107045659e+00 4.3203637089e-06 1.6165809967e-07
4.0234369614e+00 4.3582647303e-06 1.5702725301e-07
4.0361693568e+00 4.3971312962e-06 1.5235650050e-07
4.0489017523e+00 4.4370448388e-06 1.4769108098e-07
4.0616341477e+00 4.4780667960e-06 1.4307496338e-07
4.0743665432e+00 4.5202830835e-06 1.3856284605e-07
4.0870989386e+00 4.5637459447e-06 1.3420949619e-07
4.0998313340e+00 4.6085363648e-06 1.3007227086e-07
4.1125637295e+00 4.6547136572e-06 1.2620946810e-07
4.1252961249e+00 4.7023291666e-06 1.2267410725e-07
4.1380285204e+00 4.7514398810e-06 1.1951460515e-07
4.1507609158e+00 4.8020894528e-06 1.1676959407e-07
4.1634933113e+00 4.8543222183e-06 1.1446367876e-07
4.1762257067e+00 4.9081617650e-06 1.1261024084e-07
4.1889581022e+00 4.9636351867e-06 1.1120882476e-07
4.2016904976e+00 5.0207579610e-06 1.1023722728e-07
4.2144228931e+00 5.0795283890e-06 1.0966834180e-07
4.2271552885e+00 5.1399411991e-06 1.0945964646e-07
4.2398876840e+00 5.2019894039e-06 1.0956196132e-07
4.2526200794e+00 5.2656346977e-06 1.0992842418e-07
4.2653524749e+00 5.3308484785e-06 1.1050377672e-07
4.2780848703e+00 5.3975753835e-06 1.1124409594e-07
4.2908172658e+00 5.4657593963e-06 1.1210622476e-07
4.3035496612e+00 5.5353303914e-06 1.1305574794e-07
4.3162820567e+00 5.6062012449e-06 1.1406847896e-07
