# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
2.595000 2.404613 7.083726 2.108890 3.865743
2.605000 2.495348 7.025359 2.737276 4.085994
2.615000 2.557118 7.434636 3.506278 4.499344
2.625000 2.608105 7.618937 4.335162 4.854068
2.635000 2.639114 7.119251 5.101364 4.953243
2.645000 2.612829 6.289460 5.662017 4.854769
2.655000 2.509287 5.891390 5.914146 4.771608
2.665000 2.362428 6.191670 5.837757 4.797285
2.675000 2.241712 6.644430 5.482728 4.789624
2.685000 2.196296 6.546393 4.921094 4.554594
2.695000 2.223057 5.887067 4.218291 4.109472
2.705000 2.288223 5.379754 3.447584 3.705187
2.715000 2.369083 5.632595 2.716292 3.572657
2.725000 2.465104 6.439443 2.156243 3.686930
2.735000 2.568889 7.026115 1.873408 3.822804
2.745000 2.641150 6.952485 1.899353 3.830996
2.755000 2.632192 6.599158 2.190957 3.807435
2.765000 2.531246 6.674199 2.677394 3.960946
2.775000 2.386756 7.345092 3.301986 4.344611
2.785000 2.271305 8.034874 4.016274 4.774151
2.795000 2.226720 8.114413 4.743024 5.028052
2.805000 2.247609 7.652890 5.364098 5.088199
2.815000 2.312556 7.324742 5.762418 5.133239
2.825000 2.414787 7.585114 5.878843 5.292915
2.835000 2.553569 8.108796 5.722977 5.461781
2.845000 2.702006 8.171120 5.334950 5.402692
2.855000 2.800449 7.518723 4.752812 5.023995
2.865000 2.796954 6.692897 4.027392 4.505748
2.875000 2.693544 6.415818 3.258975 4.122779
2.885000 2.544186 6.763112 2.591433 3.966244
2.895000 2.406802 7.100229 2.150923 3.885985
2.905000 2.303427 6.850718 1.991092 3.715079
2.915000 2.229954 6.181308 2.100177 3.503813
2.925000 2.194106 5.797014 2.450310 3.480477
2.935000 2.224835 6.103040 3.020520 3.782798
2.945000 2.337346 6.737026 3.762806 4.279059
2.955000 2.499120 7.020379 4.563372 4.694290
2.965000 2.645510 6.776702 5.266452 4.896221
2.975000 2.733768 6.531982 5.750651 5.005467
2.985000 2.772163 6.859484 5.976332 5.202659
2.995000 2.790580 7.661553 5.955993 5.469375
3.005000 2.793384 8.255893 5.697023 5.582100
3.015000 2.753638 8.168801 5.195487 5.372642
3.025000 2.654003 7.689986 4.488221 4.944070
3.035000 2.520775 7.525530 3.690131 4.578812
3.045000 2.405622 7.958077 2.958416 4.440705
3.055000 2.338011 8.510364 2.416811 4.421729
3.065000 2.307803 8.508980 2.119216 4.312000
3.075000 2.296742 7.876034 2.078512 4.083763
3.085000 2.315516 7.214129 2.306769 3.945472
3.095000 2.394746 7.094255 2.807714 4.098905
3.105000 2.539628 7.399567 3.532056 4.490417
3.115000 2.707808 7.502333 4.359473 4.856538
3.125000 2.838575 7.047576 5.140008 5.008720
3.135000 2.898852 6.395881 5.754118 5.016284
3.145000 2.895678 6.198153 6.133648 5.075826
3.155000 2.848135 6.616527 6.240222 5.234961
3.165000 2.760479 7.127921 6.046754 5.311718
3.175000 2.630996 7.149983 5.555676 5.112218
3.185000 2.481672 6.741161 4.832084 4.684972
3.195000 2.365591 6.534336 4.004057 4.301328
3.205000 2.332958 6.980372 3.219031 4.177453
3.215000 2.389448 7.801513 2.594064 4.261675
3.225000 2.495095 8.302510 2.200859 4.332821
3.235000 2.602930 8.168326 2.082646 4.284634
3.245000 2.691780 7.806633 2.266159 4.254857
3.255000 2.760924 7.838445 2.746223 4.448530
3.265000 2.803158 8.349309 3.459628 4.870698
3.275000 2.798233 8.792714 4.284912 5.291953
3.285000 2.737512 8.652252 5.080254 5.490006
3.295000 2.647571 8.061336 5.729627 5.479511
3.305000 2.579669 7.638709 6.160878 5.459752
3.315000 2.570208 7.744762 6.331361 5.548777
3.325000 2.613054 8.055552 6.210979 5.626528
3.335000 2.672923 7.964591 5.793375 5.476963
3.345000 2.721216 7.330818 5.125817 5.059284
3.355000 2.754088 6.675005 4.318449 4.582514
3.365000 2.776913 6.583551 3.513501 4.291322
3.375000 2.780089 7.028383 2.836965 4.215146
3.385000 2.743309 7.410302 2.373633 4.175748
3.395000 2.665572 7.270742 2.177465 4.037926
3.405000 2.579930 6.828731 2.285350 3.898003
3.415000 2.530626 6.710435 2.704156 3.981739
3.425000 2.536236 7.198752 3.381875 4.372288
3.435000 2.579451 7.898434 4.200589 4.892825
3.445000 2.633788 8.207078 5.013165 5.284677
3.455000 2.692377 8.020490 5.696686 5.469851
3.465000 2.764146 7.830934 6.173778 5.589619
3.475000 2.846811 8.108616 6.394324 5.783250
3.485000 2.913823 8.715469 6.318128 5.982473
3.495000 2.935072 9.056433 5.934051 5.975185
3.505000 2.907553 8.786513 5.297155 5.663741
3.515000 2.856532 8.226954 4.528808 5.204098
3.525000 2.805172 7.988829 3.767222 4.853741
3.535000 2.750425 8.250783 3.116980 4.706062
3.545000 2.675686 8.553441 2.643051 4.624059
3.555000 2.584605 8.353775 2.399345 4.445908
3.565000 2.511947 7.678400 2.438963 4.209770
3.575000 2.495662 7.102787 2.782154 4.126868
3.585000 2.543371 7.085589 3.379025 4.335995
3.595000 2.632245 7.449420 4.115263 4.732310
3.605000 2.738000 7.618765 4.862963 5.073242
3.615000 2.853885 7.321733 5.525241 5.233620
3.625000 2.976871 6.914274 6.033572 5.308239
3.635000 3.083057 6.944450 6.322555 5.450021
3.645000 3.129412 7.486850 6.331590 5.649284
3.655000 3.085767 8.046843 6.041053 5.724555
3.665000 2.963284 8.146205 5.502207 5.537232
3.675000 2.807461 7.887340 4.821185 5.171995
3.685000 2.663853 7.820729 4.110970 4.865184
3.695000 2.555291 8.272185 3.461315 4.762930
3.705000 2.490782 8.933638 2.946893 4.790438
3.715000 2.484620 9.209038 2.643561 4.779073
3.725000 2.553298 8.905619 2.615413 4.691443
3.735000 2.690568 8.450647 2.877378 4.672864
3.745000 2.854758 8.380035 3.375883 4.870225
3.755000 2.989991 8.708132 4.012993 5.237039
3.765000 3.061689 8.926459 4.689616 5.559255
3.775000 3.070921 8.625211 5.325356 5.673829
3.785000 3.037099 7.988889 5.847572 5.624520
3.795000 2.973852 7.578908 6.182055 5.578271
3.805000 2.886585 7.671623 6.268595 5.608934
3.815000 2.789105 7.945337 6.089298 5.607913
3.825000 2.712148 7.887304 5.682352 5.427268
3.835000 2.686347 7.428106 5.125482 5.079978
3.845000 2.715704 7.039976 4.504208 4.753296
3.855000 2.773935 7.179683 3.894164 4.615927
3.865000 2.828873 7.741470 3.365079 4.645141
3.875000 2.867575 8.174463 2.989844 4.677294
3.885000 2.896768 8.126451 2.835779 4.619666
3.895000 2.922021 7.848923 2.936913 4.569286
3.905000 2.934352 7.884517 3.275654 4.698174
3.915000 2.921738 8.411491 3.791910 5.041713
3.925000 2.888707 9.023708 4.407786 5.440067
3.935000 2.857391 9.204033 5.045203 5.702209
3.945000 2.847237 8.923341 5.624547 5.798375
3.955000 2.857244 8.651987 6.060313 5.856515
3.965000 2.871851 8.780358 6.276349 5.976186
3.975000 2.882352 9.148968 6.234727 6.088682
3.985000 2.897462 9.246835 5.952083 6.032127
3.995000 2.929884 8.835384 5.487491 5.750920
4.005000 2.975117 8.247907 4.913520 5.378848
4.015000 3.009908 8.004126 4.299483 5.104506
4.025000 3.013556 8.201296 3.717949 4.977600
4.035000 2.986364 8.408819 3.253474 4.882886
4.045000 2.943963 8.192646 2.988896 4.708502
4.055000 2.896836 7.645628 2.972135 4.504867
4.065000 2.842758 7.290870 3.195621 4.443083
4.075000 2.782294 7.473362 3.611134 4.622263
4.085000 2.735275 7.962519 4.160292 4.952695
4.095000 2.733334 8.232998 4.785704 5.250679
4.105000 2.793567 8.085648 5.415990 5.431735
4.115000 2.901402 7.868564 5.954264 5.574743
4.125000 3.021327 8.040622 6.300946 5.787632
4.135000 3.122819 8.608125 6.395457 6.042133
4.145000 3.192250 9.108469 6.235179 6.178633
4.155000 3.222519 9.154335 5.859635 6.078830
4.165000 3.200726 8.885794 5.322447 5.802989
4.175000 3.115359 8.789988 4.683745 5.529697
4.185000 2.977520 9.104083 4.025824 5.369142
4.195000 2.827719 9.519134 3.456001 5.267618
4.205000 2.714880 9.542033 3.077352 5.111422
4.215000 2.667313 9.083110 2.950193 4.900205
